"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",415,"unknown"
1,"peaks[1]",451,"unknown"
1,"peaks[2]",486,"unknown"
1,"peaks[3]",521,"unknown"
1,"peaks[4]",556,"unknown"
1,"peaks[5]",591,"unknown"
1,"peaks[6]",626,"unknown"
1,"peaks[7]",663,"unknown"
1,"peaks[8]",698,"unknown"
1,"peaks[9]",734,"unknown"
1,"peaks[10]",772,"unknown"
1,"peaks[11]",809,"unknown"
1,"peaks[12]",846,"unknown"
1,"peaks[13]",882,"unknown"
1,"peaks[14]",919,"unknown"
1,"peaks[15]",955,"unknown"
1,"peaks[16]",992,"unknown"
1,"peaks[17]",1027,"unknown"
1,"peaks[18]",1064,"unknown"
1,"peaks[19]",1100,"unknown"
1,"peaks[20]",1139,"unknown"
1,"peaks[21]",1175,"unknown"
1,"peaks[22]",1212,"unknown"
1,"peaks[23]",1248,"unknown"
1,"peaks[24]",1285,"unknown"
1,"peaks[25]",1322,"unknown"
1,"peaks[26]",1359,"unknown"
1,"peaks[27]",1395,"unknown"
1,"peaks[28]",1433,"unknown"
1,"peaks[29]",1468,"unknown"
1,"peaks[30]",1506,"unknown"
1,"peaks[31]",1542,"unknown"
1,"peaks[32]",1580,"unknown"
1,"peaks[33]",1617,"unknown"
1,"peaks[34]",1654,"unknown"
1,"peaks[35]",1691,"unknown"
1,"peaks[36]",1728,"unknown"
1,"peaks[37]",1767,"unknown"
1,"peaks[38]",1804,"unknown"
1,"peaks[39]",1843,"unknown"
1,"peaks[40]",1882,"unknown"
1,"peaks[41]",1922,"unknown"
1,"peaks[42]",1960,"unknown"
1,"peaks[43]",1999,"unknown"
1,"peaks[44]",2038,"unknown"
1,"peaks[45]",2077,"unknown"
1,"peaks[46]",2115,"unknown"
1,"peaks[47]",2154,"unknown"
1,"peaks[48]",2192,"unknown"
1,"peaks[49]",2228,"unknown"
1,"peaks[50]",2268,"unknown"
1,"peaks[51]",2306,"unknown"
1,"peaks[52]",2344,"unknown"
1,"peaks[53]",2383,"unknown"
1,"peaks[54]",2421,"unknown"
1,"peaks[55]",2459,"unknown"
1,"peaks[56]",2497,"unknown"
1,"peaks[57]",2535,"unknown"
1,"peaks[58]",2571,"unknown"
1,"peaks[59]",2610,"unknown"
1,"peaks[60]",2646,"unknown"
1,"peaks[61]",2685,"unknown"
1,"peaks[62]",2724,"unknown"
1,"peaks[63]",2762,"unknown"
1,"peaks[64]",2800,"unknown"
1,"peaks[65]",2838,"unknown"
1,"peaks[66]",2875,"unknown"
1,"peaks[67]",2914,"unknown"
1,"peaks[68]",2952,"unknown"
