"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",41,"left"
1,"peaks[1]",81,"right"
1,"peaks[2]",118,"left"
1,"peaks[3]",154,"right"
1,"peaks[4]",192,"left"
1,"peaks[5]",228,"right"
1,"peaks[6]",265,"left"
1,"peaks[7]",300,"right"
1,"peaks[8]",337,"left"
1,"peaks[9]",374,"right"
1,"peaks[10]",411,"left"
1,"peaks[11]",448,"right"
1,"peaks[12]",485,"left"
1,"peaks[13]",521,"right"
1,"peaks[14]",558,"left"
1,"peaks[15]",594,"right"
1,"peaks[16]",630,"left"
1,"peaks[17]",666,"right"
1,"peaks[18]",704,"left"
1,"peaks[19]",739,"right"
1,"peaks[20]",776,"left"
1,"peaks[21]",812,"right"
1,"peaks[22]",849,"left"
1,"peaks[23]",886,"right"
1,"peaks[24]",923,"left"
1,"peaks[25]",959,"right"
1,"peaks[26]",995,"left"
1,"peaks[27]",1032,"right"
1,"peaks[28]",1069,"left"
1,"peaks[29]",1105,"right"
1,"peaks[30]",1141,"left"
1,"peaks[31]",1177,"right"
1,"peaks[32]",1215,"left"
1,"peaks[33]",1251,"right"
1,"peaks[34]",1288,"left"
1,"peaks[35]",1324,"right"
1,"peaks[36]",1361,"left"
1,"peaks[37]",1397,"right"
1,"peaks[38]",1434,"left"
1,"peaks[39]",1471,"right"
1,"peaks[40]",1507,"left"
1,"peaks[41]",1544,"right"
1,"peaks[42]",1581,"left"
1,"peaks[43]",1618,"right"
1,"peaks[44]",1655,"left"
1,"peaks[45]",1690,"right"
1,"peaks[46]",1728,"left"
1,"peaks[47]",1763,"right"
1,"peaks[48]",1800,"left"
1,"peaks[49]",1837,"right"
1,"peaks[50]",1873,"left"
1,"peaks[51]",1910,"right"
1,"peaks[52]",1947,"left"
1,"peaks[53]",1984,"right"
1,"peaks[54]",2021,"left"
1,"peaks[55]",2057,"right"
1,"peaks[56]",2095,"left"
1,"peaks[57]",2133,"right"
1,"peaks[58]",2169,"left"
1,"peaks[59]",2206,"right"
1,"peaks[60]",2242,"left"
1,"peaks[61]",2280,"right"
1,"peaks[62]",2317,"left"
1,"peaks[63]",2354,"right"
1,"peaks[64]",2392,"left"
1,"peaks[65]",2427,"right"
1,"peaks[66]",2464,"left"
1,"peaks[67]",2501,"right"
1,"peaks[68]",2538,"left"
1,"peaks[69]",2575,"right"
1,"peaks[70]",2612,"left"
1,"peaks[71]",2649,"right"
1,"peaks[72]",2685,"left"
1,"peaks[73]",2722,"right"
1,"peaks[74]",2758,"left"
1,"peaks[75]",2794,"right"
1,"peaks[76]",2830,"left"
1,"peaks[77]",2868,"right"
1,"peaks[78]",2904,"left"
1,"peaks[79]",2941,"right"
