"x","y","z","interval_no","runtype","packet_no"
0.5229492,-3.7661133,1.4833984,1,4,1
4.6762695,-2.824707,1.1206055,1,4,2
7.3378906,2.0561523,4.743164,1,4,3
7.6171875,3.390625,4.7475586,1,4,4
7.4936523,4.982422,3.3330078,1,4,5
3.380371,2.1186523,3.8217773,1,4,6
1.1489258,0.3232422,2.1855469,1,4,7
3.0859375,0.22021484,2.503418,1,4,8
5.4765625,0.1352539,2.6582031,1,4,9
5.067871,-0.092285156,2.022461,1,4,10
3.1030273,0.045410156,1.6230469,1,4,11
2.6938477,-0.35107422,1.5458984,1,4,12
3.0698242,-0.31591797,1.5200195,1,4,13
3.4169922,0.046875,1.6020508,1,4,14
3.3388672,0.6538086,1.7983398,1,4,15
3.2573242,0.9082031,1.9516602,1,4,16
3.1230469,0.5053711,1.7060547,1,4,17
2.722168,0.38476562,1.8652344,1,4,18
2.1386719,0.49804688,1.6723633,1,4,19
1.6025391,0.43847656,1.6044922,1,4,20
1.3222656,0.2553711,1.4941406,1,4,21
0.85546875,0.049804688,1.6396484,1,4,22
0.03564453,-0.041015625,1.8369141,1,4,23
-1.1079102,0.0703125,1.7182617,1,4,24
-1.762207,-0.36816406,1.2558594,1,4,25
-1.4887695,-0.4580078,1.1469727,1,4,26
-1.9277344,-0.8041992,1.3530273,1,4,27
-2.274414,-0.8588867,0.8300781,1,4,28
-1.9755859,-0.9086914,0.040527344,1,4,29
-1.5166016,-0.89404297,-0.07470703,1,4,30
-0.94433594,-0.9121094,0.28564453,1,4,31
-0.37158203,-0.6279297,1.40625,1,4,32
0.2553711,-0.14404297,2.258789,1,4,33
0.39404297,-0.030273438,4.355957,1,4,34
0.4633789,-0.41503906,5.456543,1,4,35
0.13769531,3.3266602,4.0668945,1,4,36
4.9692383,5.6538086,2.8413086,1,4,37
6.8916016,-0.32714844,3.3110352,1,4,38
6.8129883,-2.2797852,3.5878906,1,4,39
9.092285,-3.9179688,2.7080078,1,4,40
3.0092773,-1.5517578,3.3867188,1,4,41
-0.14746094,-0.7475586,1.578125,1,4,42
2.5253906,0.7866211,2.2607422,1,4,43
5.626953,1.7817383,3.3789062,1,4,44
6.2055664,2.067871,2.489746,1,4,45
3.5214844,1.2314453,2.3173828,1,4,46
2.3388672,0.9477539,1.0893555,1,4,47
2.8916016,1.2871094,1.8544922,1,4,48
3.5644531,0.9980469,1.7817383,1,4,49
4.1674805,0.52441406,1.4140625,1,4,50
3.8198242,0.029785156,1.5341797,1,4,51
3.6503906,-0.21044922,1.4394531,1,4,52
3.321289,-0.41992188,1.3789062,1,4,53
2.5483398,-0.26464844,1.2548828,1,4,54
1.8925781,-0.34326172,1.2583008,1,4,55
