"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",64,"left"
1,"peaks[1]",99,"right"
1,"peaks[2]",133,"left"
1,"peaks[3]",169,"right"
1,"peaks[4]",205,"left"
1,"peaks[5]",239,"right"
1,"peaks[6]",275,"left"
1,"peaks[7]",310,"right"
1,"peaks[8]",345,"left"
1,"peaks[9]",381,"right"
1,"peaks[10]",417,"left"
1,"peaks[11]",451,"right"
1,"peaks[12]",488,"left"
1,"peaks[13]",522,"right"
1,"peaks[14]",557,"left"
1,"peaks[15]",591,"right"
1,"peaks[16]",627,"left"
1,"peaks[17]",662,"right"
1,"peaks[18]",696,"left"
1,"peaks[19]",733,"right"
1,"peaks[20]",767,"left"
1,"peaks[21]",802,"right"
1,"peaks[22]",837,"left"
1,"peaks[23]",872,"right"
1,"peaks[24]",907,"left"
1,"peaks[25]",942,"right"
1,"peaks[26]",977,"left"
1,"peaks[27]",1012,"right"
1,"peaks[28]",1048,"left"
1,"peaks[29]",1085,"right"
1,"peaks[30]",1120,"left"
1,"peaks[31]",1155,"right"
1,"peaks[32]",1190,"left"
1,"peaks[33]",1225,"right"
1,"peaks[34]",1260,"left"
1,"peaks[35]",1295,"right"
1,"peaks[36]",1330,"left"
1,"peaks[37]",1363,"right"
1,"peaks[38]",1399,"left"
1,"peaks[39]",1433,"right"
1,"peaks[40]",1469,"left"
1,"peaks[41]",1504,"right"
1,"peaks[42]",1539,"left"
1,"peaks[43]",1576,"right"
1,"peaks[44]",1609,"left"
1,"peaks[45]",1644,"right"
1,"peaks[46]",1680,"left"
1,"peaks[47]",1714,"right"
1,"peaks[48]",1749,"left"
1,"peaks[49]",1784,"right"
1,"peaks[50]",1820,"left"
1,"peaks[51]",1855,"right"
1,"peaks[52]",1890,"left"
1,"peaks[53]",1925,"right"
1,"peaks[54]",1961,"left"
1,"peaks[55]",1996,"right"
1,"peaks[56]",2030,"left"
1,"peaks[57]",2066,"right"
1,"peaks[58]",2102,"left"
1,"peaks[59]",2137,"right"
1,"peaks[60]",2171,"left"
1,"peaks[61]",2206,"right"
1,"peaks[62]",2242,"left"
1,"peaks[63]",2276,"right"
1,"peaks[64]",2310,"left"
1,"peaks[65]",2345,"right"
1,"peaks[66]",2380,"left"
1,"peaks[67]",2414,"right"
1,"peaks[68]",2449,"left"
1,"peaks[69]",2484,"right"
1,"peaks[70]",2520,"left"
1,"peaks[71]",2553,"right"
1,"peaks[72]",2588,"left"
1,"peaks[73]",2623,"right"
1,"peaks[74]",2658,"left"
1,"peaks[75]",2693,"right"
1,"peaks[76]",2728,"left"
1,"peaks[77]",2763,"right"
1,"peaks[78]",2798,"left"
1,"peaks[79]",2834,"right"
1,"peaks[80]",2869,"left"
1,"peaks[81]",2904,"right"
1,"peaks[82]",2940,"left"
