"x","y","z","interval_no","runtype","packet_no"
7.666504,-3.3935547,3.479004,1,4,1
5.4663086,-1.7324219,3.334961,1,4,2
1.4472656,0.24560547,2.133789,1,4,3
2.9145508,0.69091797,2.0957031,1,4,4
4.4990234,0.3125,2.9267578,1,4,5
4.3476562,0.19628906,2.5498047,1,4,6
3.4091797,0.110839844,1.8798828,1,4,7
3.3510742,0.3178711,2.0732422,1,4,8
3.0146484,0.3100586,1.934082,1,4,9
3.3979492,0.19970703,2.0410156,1,4,10
3.1914062,0.16064453,1.9501953,1,4,11
2.7958984,0.1616211,1.7773438,1,4,12
2.644043,0.056152344,1.7597656,1,4,13
2.8583984,0.0029296875,1.6865234,1,4,14
2.5932617,0.03515625,1.6557617,1,4,15
2.190918,0.0073242188,1.3310547,1,4,16
1.9306641,-0.41357422,1.1889648,1,4,17
1.4389648,-0.58154297,1.0673828,1,4,18
0.8857422,-0.58691406,1.0991211,1,4,19
0.41748047,-0.38623047,1.2348633,1,4,20
0.032714844,-0.1821289,1.3105469,1,4,21
-0.3178711,0.04638672,1.3056641,1,4,22
-0.5698242,0.2578125,1.3144531,1,4,23
-0.7060547,0.34765625,1.3427734,1,4,24
-0.9746094,0.484375,1.2075195,1,4,25
-1.1582031,0.6611328,1.0200195,1,4,26
-1.2832031,0.65527344,0.81640625,1,4,27
-1.175293,0.5751953,0.8105469,1,4,28
-0.6923828,0.5551758,0.9199219,1,4,29
-0.2680664,0.5131836,1.4526367,1,4,30
-0.057128906,0.6479492,2.6230469,1,4,31
0.10205078,1.0634766,3.6049805,1,4,32
0.6245117,0.8222656,3.8691406,1,4,33
0.7988281,-2.915039,3.1455078,1,4,34
2.3535156,-4.283203,1.3789062,1,4,35
7.8398438,0.10058594,4.0751953,1,4,36
7.351074,-0.2841797,3.3862305,1,4,37
7.041992,3.1015625,3.5146484,1,4,38
3.2973633,2.5024414,3.4262695,1,4,39
1.8413086,0.2290039,2.0229492,1,4,40
3.3320312,0.13867188,2.6357422,1,4,41
4.9262695,-0.0048828125,3.1279297,1,4,42
3.9487305,-0.29736328,2.274414,1,4,43
3.1240234,-0.52783203,2.1811523,1,4,44
2.3051758,-0.7871094,1.9145508,1,4,45
2.9042969,-0.69677734,1.8803711,1,4,46
3.1113281,-0.27783203,1.9624023,1,4,47
3.2373047,0.17382812,1.9008789,1,4,48
3.2373047,0.5449219,1.7905273,1,4,49
3.0600586,0.55126953,1.5986328,1,4,50
2.8632812,0.41503906,1.612793,1,4,51
2.3256836,0.2685547,1.4609375,1,4,52
1.9482422,0.31298828,1.3706055,1,4,53
1.5991211,0.32470703,1.1416016,1,4,54
0.9946289,0.31396484,1.1704102,1,4,55
0.48388672,0.2685547,1.2724609,1,4,56
0.13232422,-0.026855469,1.2358398,1,4,57
-0.2631836,-0.17529297,1.2460938,1,4,58
-0.6044922,-0.22216797,1.3012695,1,4,59
-0.8510742,-0.37548828,1.3398438,1,4,60
-0.99853516,-0.48339844,1.3876953,1,4,61
-1.2270508,-0.45947266,1.1816406,1,4,62
-1.3759766,-0.53759766,0.8598633,1,4,63
-1.2963867,-0.6069336,0.7182617,1,4,64
-0.9550781,-0.76171875,0.82177734,1,4,65
-0.5253906,-0.7338867,1.2607422,1,4,66
-0.27294922,-0.2163086,2.599121,1,4,67
-0.014160156,-0.31884766,3.2910156,1,4,68
0.39208984,-0.6166992,3.440918,1,4,69
0.9628906,1.715332,2.569336,1,4,70
2.099121,4.7060547,1.175293,1,4,71
5.6870117,1.1533203,3.0361328,1,4,72
5.7368164,-1.03125,3.4677734,1,4,73
