"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",64,"right"
1,"peaks[1]",100,"left"
1,"peaks[2]",137,"right"
1,"peaks[3]",173,"left"
1,"peaks[4]",210,"right"
1,"peaks[5]",247,"left"
1,"peaks[6]",284,"right"
1,"peaks[7]",320,"left"
1,"peaks[8]",357,"right"
1,"peaks[9]",394,"left"
1,"peaks[10]",432,"right"
1,"peaks[11]",468,"left"
1,"peaks[12]",505,"right"
1,"peaks[13]",541,"left"
1,"peaks[14]",578,"right"
1,"peaks[15]",614,"left"
1,"peaks[16]",650,"right"
1,"peaks[17]",687,"left"
1,"peaks[18]",724,"right"
1,"peaks[19]",761,"left"
1,"peaks[20]",798,"right"
1,"peaks[21]",834,"left"
1,"peaks[22]",871,"right"
1,"peaks[23]",907,"left"
1,"peaks[24]",944,"right"
1,"peaks[25]",980,"left"
1,"peaks[26]",1018,"right"
1,"peaks[27]",1054,"left"
1,"peaks[28]",1090,"right"
1,"peaks[29]",1127,"left"
1,"peaks[30]",1164,"right"
1,"peaks[31]",1201,"left"
1,"peaks[32]",1238,"right"
1,"peaks[33]",1275,"left"
1,"peaks[34]",1312,"right"
1,"peaks[35]",1349,"left"
1,"peaks[36]",1385,"right"
1,"peaks[37]",1422,"left"
1,"peaks[38]",1458,"right"
1,"peaks[39]",1496,"left"
1,"peaks[40]",1532,"right"
1,"peaks[41]",1569,"left"
1,"peaks[42]",1606,"right"
1,"peaks[43]",1642,"left"
1,"peaks[44]",1679,"right"
1,"peaks[45]",1715,"left"
1,"peaks[46]",1754,"right"
1,"peaks[47]",1790,"left"
1,"peaks[48]",1827,"right"
1,"peaks[49]",1862,"left"
1,"peaks[50]",1899,"right"
1,"peaks[51]",1935,"left"
1,"peaks[52]",1973,"right"
1,"peaks[53]",2010,"left"
1,"peaks[54]",2048,"right"
1,"peaks[55]",2085,"left"
1,"peaks[56]",2122,"right"
1,"peaks[57]",2158,"left"
1,"peaks[58]",2195,"right"
1,"peaks[59]",2232,"left"
1,"peaks[60]",2268,"right"
1,"peaks[61]",2305,"left"
1,"peaks[62]",2342,"right"
1,"peaks[63]",2378,"left"
1,"peaks[64]",2416,"right"
1,"peaks[65]",2452,"left"
1,"peaks[66]",2488,"right"
1,"peaks[67]",2525,"left"
1,"peaks[68]",2562,"right"
1,"peaks[69]",2598,"left"
1,"peaks[70]",2634,"right"
1,"peaks[71]",2671,"left"
1,"peaks[72]",2708,"right"
1,"peaks[73]",2745,"left"
1,"peaks[74]",2782,"right"
1,"peaks[75]",2818,"left"
1,"peaks[76]",2855,"right"
1,"peaks[77]",2892,"left"
1,"peaks[78]",2927,"right"
1,"peaks[79]",2963,"left"
