"x","y","z","interval_no","runtype","packet_no"
-1.9726562,-1.0019531,0.75,1,4,1
-1.5229492,-1.1645508,0.8535156,1,4,2
-0.96191406,-1.0385742,1.065918,1,4,3
-0.32763672,-0.9580078,1.0742188,1,4,4
-0.31445312,-0.46826172,1.590332,1,4,5
-0.3305664,-0.2368164,2.9921875,1,4,6
-0.067871094,-0.25585938,3.9697266,1,4,7
0.4897461,1.956543,3.7495117,1,4,8
2.6572266,5.567871,1.8168945,1,4,9
6.5063477,1.1088867,2.9726562,1,4,10
5.9067383,-0.8051758,3.9780273,1,4,11
7.2841797,-3.1679688,3.6767578,1,4,12
6.2734375,-2.3798828,3.293457,1,4,13
1.9047852,-0.6640625,3.1855469,1,4,14
1.5541992,0.9067383,1.9443359,1,4,15
4.074707,1.1616211,2.5551758,1,4,16
5.2509766,0.6586914,2.8481445,1,4,17
5.3964844,0.41308594,2.2875977,1,4,18
3.7246094,0.30419922,1.8764648,1,4,19
3.046875,0.4946289,1.5698242,1,4,20
2.817871,0.5966797,1.4580078,1,4,21
3.1381836,0.49804688,1.7504883,1,4,22
3.4868164,0.49365234,1.8193359,1,4,23
2.6503906,0.61376953,1.7045898,1,4,24
2.5410156,0.56933594,1.5693359,1,4,25
2.661621,0.72998047,1.7363281,1,4,26
2.3950195,0.49023438,1.5043945,1,4,27
1.9736328,0.068847656,1.4101562,1,4,28
1.2294922,-0.29833984,1.25,1,4,29
0.40527344,-0.56152344,1.246582,1,4,30
0.036621094,-0.48779297,1.3613281,1,4,31
-0.30078125,-0.46972656,1.2231445,1,4,32
-0.48828125,-0.41845703,1.003418,1,4,33
-0.82958984,-0.36376953,1.0332031,1,4,34
-1.3066406,-0.18115234,1.2695312,1,4,35
-1.5493164,0.009765625,1.1118164,1,4,36
-1.5283203,0.32226562,0.95166016,1,4,37
-1.2641602,0.42822266,0.8339844,1,4,38
-0.86816406,0.39941406,0.80078125,1,4,39
-0.48242188,0.43164062,1.1030273,1,4,40
-0.17871094,0.6303711,1.3740234,1,4,41
-0.16699219,0.73095703,2.644043,1,4,42
-0.12207031,1.1455078,4.165039,1,4,43
0.17480469,0.91552734,4.222168,1,4,44
1.4375,-4.7529297,3.0385742,1,4,45
6.224121,-2.456543,1.5683594,1,4,46
9.783691,1.8276367,5.7958984,1,4,47
8.530273,3.1367188,3.6362305,1,4,48
3.2875977,3.6796875,3.2680664,1,4,49
1.0532227,1.6831055,2.2548828,1,4,50
1.4433594,0.11621094,1.9326172,1,4,51
3.5917969,-0.15136719,2.5288086,1,4,52
5.9731445,0.018066406,2.8554688,1,4,53
4.5717773,0.43115234,2.415039,1,4,54
2.682129,0.18847656,1.6079102,1,4,55
2.2260742,-0.11816406,1.434082,1,4,56
2.415039,-0.24511719,1.5849609,1,4,57
3.6186523,0.12841797,1.7207031,1,4,58
3.1723633,0.30126953,1.7905273,1,4,59
2.7773438,0.60009766,1.480957,1,4,60
2.7314453,0.7573242,1.4672852,1,4,61
2.7128906,0.7763672,1.6489258,1,4,62
2.2734375,0.8833008,1.3779297,1,4,63
1.6743164,0.9013672,1.2128906,1,4,64
1.1206055,0.75927734,1.2001953,1,4,65
0.40234375,0.44335938,1.2919922,1,4,66
-0.18798828,0.040527344,1.4580078,1,4,67
-0.5463867,-0.11328125,1.4467773,1,4,68
-0.72216797,-0.20507812,1.3569336,1,4,69
-1.0239258,-0.42578125,1.4458008,1,4,70
-1.309082,-0.55859375,1.5708008,1,4,71
-1.6040039,-0.7583008,1.4775391,1,4,72
-1.5717773,-0.8847656,1.1669922,1,4,73
-1.4516602,-0.9008789,0.91796875,1,4,74
-1.0800781,-0.8823242,0.6455078,1,4,75
-0.6298828,-0.64404297,0.8876953,1,4,76
-0.104003906,-0.4296875,2.3632812,1,4,77
0.095703125,-0.7573242,3.5078125,1,4,78
0.59375,-0.84277344,3.555664,1,4,79
1.0053711,2.5166016,2.5043945,1,4,80
3.868164,3.375,2.1425781,1,4,81
7.8569336,-0.0859375,3.9824219,1,4,82
7.791504,-1.9287109,4.1098633,1,4,83
5.807617,-2.1582031,3.3447266,1,4,84
2.3149414,-0.76464844,3.0004883,1,4,85
1.8242188,1.074707,1.6430664,1,4,86
3.4638672,1.8544922,2.3125,1,4,87
5.258301,1.3535156,2.708496,1,4,88
4.5097656,0.8745117,2.4550781,1,4,89
3.1064453,0.43066406,1.6020508,1,4,90
2.9204102,0.79345703,1.722168,1,4,91
3.0273438,0.85791016,1.4418945,1,4,92
3.6308594,0.90771484,1.8623047,1,4,93
3.6137695,0.7714844,1.9648438,1,4,94
3.1694336,0.47558594,1.8623047,1,4,95
2.6391602,0.390625,1.7045898,1,4,96
2.7270508,0.42822266,1.7333984,1,4,97
2.6171875,0.19580078,1.4296875,1,4,98
1.9448242,0.07080078,1.449707,1,4,99
1.449707,-0.23388672,1.3227539,1,4,100
0.7060547,-0.55908203,1.3144531,1,4,101
0.2290039,-0.6098633,1.3066406,1,4,102
-0.05078125,-0.55371094,1.3422852,1,4,103
-0.18603516,-0.46484375,1.3745117,1,4,104
-0.4970703,-0.62402344,1.2919922,1,4,105
-1.230957,-0.48779297,1.3544922,1,4,106
-1.7978516,-0.2211914,1.3828125,1,4,107
-1.7568359,0.036621094,1.0917969,1,4,108
-1.5771484,0.3095703,1.0854492,1,4,109
-1.1367188,0.3725586,0.88183594,1,4,110
-0.7236328,0.49072266,0.96484375,1,4,111
-0.31982422,0.8286133,1.8740234,1,4,112
-0.053710938,1.1147461,3.2573242,1,4,113
0.2631836,1.5351562,3.8432617,1,4,114
0.9321289,-0.453125,3.2993164,1,4,115
2.3027344,-4.5776367,2.2089844,1,4,116
7.2333984,-0.016601562,2.1879883,1,4,117
8.923828,2.2050781,5.2788086,1,4,118
6.3564453,3.2373047,3.572754,1,4,119
2.630371,3.209961,3.1254883,1,4,120
1.5898438,1.2373047,2.2807617,1,4,121
2.4404297,-0.030761719,2.0864258,1,4,122
4.4086914,-0.103027344,2.859375,1,4,123
4.904297,0.06689453,2.5751953,1,4,124
3.5048828,0.23486328,1.8891602,1,4,125
2.9941406,0.3256836,1.8505859,1,4,126
