"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",37,"left"
1,"peaks[1]",74,"right"
1,"peaks[2]",109,"left"
1,"peaks[3]",145,"right"
1,"peaks[4]",181,"left"
1,"peaks[5]",217,"right"
1,"peaks[6]",254,"left"
1,"peaks[7]",291,"right"
1,"peaks[8]",327,"left"
1,"peaks[9]",362,"right"
1,"peaks[10]",398,"left"
1,"peaks[11]",435,"right"
1,"peaks[12]",469,"left"
1,"peaks[13]",505,"right"
1,"peaks[14]",541,"left"
1,"peaks[15]",576,"right"
1,"peaks[16]",612,"left"
1,"peaks[17]",647,"right"
1,"peaks[18]",683,"left"
1,"peaks[19]",718,"right"
1,"peaks[20]",754,"left"
1,"peaks[21]",791,"right"
1,"peaks[22]",827,"left"
1,"peaks[23]",862,"right"
1,"peaks[24]",897,"left"
1,"peaks[25]",933,"right"
1,"peaks[26]",969,"left"
1,"peaks[27]",1004,"right"
1,"peaks[28]",1041,"left"
1,"peaks[29]",1076,"right"
1,"peaks[30]",1112,"left"
1,"peaks[31]",1148,"right"
1,"peaks[32]",1183,"left"
1,"peaks[33]",1220,"right"
1,"peaks[34]",1255,"left"
1,"peaks[35]",1291,"right"
1,"peaks[36]",1326,"left"
1,"peaks[37]",1362,"right"
1,"peaks[38]",1397,"left"
1,"peaks[39]",1433,"right"
1,"peaks[40]",1469,"left"
1,"peaks[41]",1505,"right"
1,"peaks[42]",1541,"left"
1,"peaks[43]",1576,"right"
1,"peaks[44]",1612,"left"
1,"peaks[45]",1647,"right"
1,"peaks[46]",1684,"left"
1,"peaks[47]",1720,"right"
1,"peaks[48]",1755,"left"
1,"peaks[49]",1791,"right"
1,"peaks[50]",1827,"left"
1,"peaks[51]",1862,"right"
1,"peaks[52]",1898,"left"
1,"peaks[53]",1933,"right"
1,"peaks[54]",1969,"left"
1,"peaks[55]",2004,"right"
1,"peaks[56]",2040,"left"
1,"peaks[57]",2077,"right"
1,"peaks[58]",2113,"left"
1,"peaks[59]",2148,"right"
1,"peaks[60]",2184,"left"
1,"peaks[61]",2220,"right"
1,"peaks[62]",2256,"left"
1,"peaks[63]",2292,"right"
1,"peaks[64]",2328,"left"
1,"peaks[65]",2364,"right"
1,"peaks[66]",2400,"left"
1,"peaks[67]",2435,"right"
1,"peaks[68]",2471,"left"
1,"peaks[69]",2507,"right"
1,"peaks[70]",2543,"left"
1,"peaks[71]",2579,"right"
1,"peaks[72]",2615,"left"
1,"peaks[73]",2650,"right"
1,"peaks[74]",2686,"left"
1,"peaks[75]",2721,"right"
1,"peaks[76]",2757,"left"
1,"peaks[77]",2791,"right"
1,"peaks[78]",2827,"left"
1,"peaks[79]",2863,"right"
1,"peaks[80]",2900,"left"
1,"peaks[81]",2936,"right"
