"x","y","z","interval_no","runtype","packet_no"
5.6450195,0.8413086,2.400879,1,4,1
4.4560547,0.43603516,2.194336,1,4,2
3.7768555,0.375,2.0952148,1,4,3
3.4350586,0.011230469,2.244629,1,4,4
3.1611328,-0.32080078,1.9780273,1,4,5
2.9189453,-0.49072266,1.7905273,1,4,6
2.5073242,-0.4272461,1.6567383,1,4,7
2.109375,-0.3544922,1.5371094,1,4,8
1.7949219,-0.22851562,1.3598633,1,4,9
1.5185547,0.06933594,1.1987305,1,4,10
1.1811523,0.39111328,1.15625,1,4,11
0.7324219,0.27294922,1.0615234,1,4,12
0.31152344,0.0859375,1.1977539,1,4,13
0.10595703,0.0009765625,1.5576172,1,4,14
0.07080078,-0.2890625,1.7709961,1,4,15
-0.064941406,-0.44335938,1.8061523,1,4,16
-0.35742188,-0.4404297,1.8540039,1,4,17
-0.7050781,-0.34814453,1.6445312,1,4,18
-0.86376953,-0.2788086,1.3793945,1,4,19
-0.9267578,-0.17675781,1.1464844,1,4,20
-0.9614258,0.04296875,0.91748047,1,4,21
-0.8745117,0.21826172,0.75341797,1,4,22
-0.7807617,0.36035156,0.7089844,1,4,23
-0.6503906,0.3701172,1.2016602,1,4,24
-0.8095703,0.32910156,3.1733398,1,4,25
-1.1152344,-0.028320312,5.833496,1,4,26
-1.0849609,-0.63378906,4.508301,1,4,27
2.9248047,6.813965,4.0151367,1,4,28
12.538574,5.63916,0.2890625,1,4,29
4.71875,-0.2548828,3.0688477,1,4,30
-0.6767578,-2.2841797,1.2944336,1,4,31
6.9521484,-2.8935547,2.1108398,1,4,32
4.934082,-2.8891602,2.3725586,1,4,33
1.9379883,-1.5996094,2.5864258,1,4,34
4.208008,-1.331543,2.2382812,1,4,35
5.3168945,-1.2885742,2.4179688,1,4,36
4.1567383,-1.003418,1.9536133,1,4,37
3.7236328,-0.70410156,1.9672852,1,4,38
3.5737305,-0.47021484,2.125,1,4,39
3.2529297,-0.22216797,2.0458984,1,4,40
3.027832,0.07519531,1.9335938,1,4,41
2.9213867,0.046875,1.9243164,1,4,42
2.4667969,0.088378906,1.7827148,1,4,43
1.9179688,0.043945312,1.6870117,1,4,44
1.4926758,0.0078125,1.5341797,1,4,45
1.1977539,-0.029785156,1.4038086,1,4,46
0.9213867,0.032226562,1.3105469,1,4,47
0.6147461,0.033691406,1.4995117,1,4,48
0.35302734,0.09375,1.6333008,1,4,49
0.115234375,0.2319336,1.7954102,1,4,50
-0.091308594,0.23242188,2.0419922,1,4,51
-0.22998047,0.23339844,2.0717773,1,4,52
-0.37158203,0.29052734,1.8227539,1,4,53
-0.6503906,0.33251953,1.5991211,1,4,54
-0.7993164,0.39404297,1.4477539,1,4,55
-0.7602539,0.26953125,1.3354492,1,4,56
-0.6503906,-0.05126953,1.1142578,1,4,57
-0.5058594,-0.33447266,0.84814453,1,4,58
-0.44140625,-0.44628906,0.6225586,1,4,59
-0.48876953,-0.37304688,0.8647461,1,4,60
-0.5620117,-0.16894531,2.1074219,1,4,61
-0.99853516,0.02734375,5.407715,1,4,62
-0.69628906,0.4477539,5.7001953,1,4,63
0.3408203,-5.4257812,4.8481445,1,4,64
10.803223,-6.1625977,-2.522461,1,4,65
5.5839844,0.33447266,3.2763672,1,4,66
-0.70214844,1.2148438,1.9526367,1,4,67
6.875,2.262207,1.3188477,1,4,68
6.098633,4.3129883,3.2324219,1,4,69
2.0874023,2.2011719,2.302246,1,4,70
3.0058594,1.987793,2.0405273,1,4,71
5.779785,1.2646484,2.5844727,1,4,72
5.051758,0.52978516,2.239746,1,4,73
4.0322266,0.6230469,2.0322266,1,4,74
3.8432617,0.27441406,2.0688477,1,4,75
3.3515625,-0.09667969,2.0922852,1,4,76
3.0498047,-0.4086914,1.8525391,1,4,77
2.737793,-0.41503906,1.6870117,1,4,78
2.322754,-0.34765625,1.5683594,1,4,79
1.8579102,-0.3413086,1.5297852,1,4,80
1.5351562,-0.36083984,1.3994141,1,4,81
1.2822266,-0.091796875,1.3544922,1,4,82
1.019043,0.27978516,1.2719727,1,4,83
0.6435547,0.31396484,1.175293,1,4,84
0.24804688,0.1171875,1.3813477,1,4,85
0.03466797,-0.104003906,1.6357422,1,4,86
-0.08642578,-0.37695312,1.8618164,1,4,87
-0.21484375,-0.52490234,1.9140625,1,4,88
-0.44726562,-0.55908203,1.8032227,1,4,89
-0.73046875,-0.4951172,1.5893555,1,4,90
-0.86865234,-0.5083008,1.3310547,1,4,91
-0.88623047,-0.38378906,1.1479492,1,4,92
-0.8364258,-0.12597656,0.9580078,1,4,93
-0.73779297,0.09326172,0.7753906,1,4,94
-0.6791992,0.27539062,1.0922852,1,4,95
-0.62939453,0.296875,2.1054688,1,4,96
-1.0239258,0.087890625,4.8720703,1,4,97
-1.0507812,-0.58691406,5.086426,1,4,98
-1.4360352,0.8803711,4.5737305,1,4,99
8.3203125,7.661621,-2.053711,1,4,100
11.258789,1.9560547,1.8886719,1,4,101
-0.35107422,-2.241211,3.1801758,1,4,102
3.421875,-1.8598633,1.5854492,1,4,103
6.7353516,-2.802246,2.3886719,1,4,104
2.9194336,-1.6235352,2.7138672,1,4,105
2.9326172,-1.0639648,2.380371,1,4,106
5.0688477,-1.1386719,2.387207,1,4,107
4.5649414,-0.9667969,2.0981445,1,4,108
3.7509766,-0.8720703,1.9824219,1,4,109
3.7631836,-0.6479492,2.137207,1,4,110
3.3378906,-0.44091797,2.128418,1,4,111
2.9604492,-0.13769531,2.1279297,1,4,112
2.9541016,-0.057128906,1.934082,1,4,113
2.6103516,0.034179688,1.894043,1,4,114
2.1674805,0.103515625,1.715332,1,4,115
1.7026367,0.052246094,1.5405273,1,4,116
1.3188477,0.076171875,1.3081055,1,4,117
0.9658203,-0.013183594,1.2851562,1,4,118
0.6640625,0.,1.3193359,1,4,119
0.34570312,-0.045898438,1.5234375,1,4,120
0.123046875,0.05126953,1.7192383,1,4,121
-0.05859375,0.040039062,1.9467773,1,4,122
-0.21240234,0.084472656,1.9624023,1,4,123
-0.3876953,0.20214844,1.7895508,1,4,124
-0.60058594,0.27539062,1.6171875,1,4,125
-0.765625,0.35058594,1.5219727,1,4,126
-0.7578125,0.2944336,1.3857422,1,4,127
-0.6958008,0.07128906,1.1357422,1,4,128
-0.54052734,-0.24804688,0.8754883,1,4,129
-0.4272461,-0.37158203,0.7446289,1,4,130
-0.4873047,-0.20703125,1.0693359,1,4,131
-0.7236328,-0.028320312,2.8642578,1,4,132
-1.2089844,0.21533203,6.234375,1,4,133
-0.8769531,0.62646484,5.076172,1,4,134
1.3842773,-7.3120117,3.3305664,1,4,135
12.852539,-4.3413086,-0.9838867,1,4,136
4.3427734,0.98339844,4.665039,1,4,137
1.5258789,2.0961914,1.2646484,1,4,138
7.269043,3.411621,2.9355469,1,4,139
3.8320312,3.3735352,3.2041016,1,4,140
1.40625,1.6352539,2.2041016,1,4,141
3.6577148,1.5415039,2.3623047,1,4,142
6.070801,0.62939453,2.5683594,1,4,143
4.515625,0.27392578,2.234375,1,4,144
3.4707031,0.3334961,2.116211,1,4,145
3.5009766,-0.043945312,2.224121,1,4,146
2.9990234,-0.37939453,2.1245117,1,4,147
2.6767578,-0.55371094,1.8339844,1,4,148
2.4736328,-0.42578125,1.746582,1,4,149
2.1123047,-0.27490234,1.527832,1,4,150
1.7397461,-0.25146484,1.46875,1,4,151
1.4121094,0.03564453,1.1567383,1,4,152
1.0307617,0.33789062,1.1484375,1,4,153
0.54248047,0.31201172,1.1088867,1,4,154
0.21826172,0.12451172,1.237793,1,4,155
0.14648438,0.091796875,1.5356445,1,4,156
0.07080078,-0.05029297,1.7729492,1,4,157
-0.072753906,-0.25097656,1.8100586,1,4,158
-0.30615234,-0.33544922,1.7197266,1,4,159
-0.62353516,-0.42871094,1.6293945,1,4,160
-0.78125,-0.41015625,1.4370117,1,4,161
-0.8149414,-0.3671875,1.2412109,1,4,162
-0.8339844,-0.27978516,1.0522461,1,4,163
-0.8046875,-0.083984375,0.8774414,1,4,164
-0.7426758,0.118652344,0.77197266,1,4,165
-0.68408203,0.18359375,1.2475586,1,4,166
-0.7705078,0.2084961,2.7314453,1,4,167
-1.1616211,0.052246094,5.6450195,1,4,168
-1.109375,-0.6503906,4.9174805,1,4,169
-0.2998047,3.959961,5.883789,1,4,170
11.095215,7.13916,-0.5571289,1,4,171
6.705078,0.13964844,2.432129,1,4,172
-0.88378906,-2.7304688,1.6157227,1,4,173
7.10791,-3.5708008,2.0332031,1,4,174
4.8950195,-3.046875,2.5019531,1,4,175
1.4975586,-1.3789062,2.8911133,1,4,176
4.151367,-1.362793,2.4848633,1,4,177
5.686035,-0.9638672,2.5913086,1,4,178
4.248047,-0.7006836,2.2495117,1,4,179
3.8671875,-0.38476562,2.135254,1,4,180
3.621582,-0.19970703,2.2338867,1,4,181
3.2895508,-0.103027344,2.180664,1,4,182
3.1206055,0.20166016,2.078125,1,4,183
2.9511719,0.16113281,1.96875,1,4,184
2.5371094,0.21142578,1.9643555,1,4,185
2.0810547,0.20947266,1.7441406,1,4,186
1.6674805,0.13183594,1.4995117,1,4,187
1.2924805,0.17236328,1.375,1,4,188
1.0620117,0.09765625,1.2739258,1,4,189
0.8076172,-0.034179688,1.40625,1,4,190
0.49951172,0.,1.5385742,1,4,191
0.2211914,0.10986328,1.8071289,1,4,192
0.02734375,0.115234375,1.9404297,1,4,193
-0.09765625,0.2421875,2.0234375,1,4,194
-0.2890625,0.27294922,1.8798828,1,4,195
-0.54541016,0.24414062,1.703125,1,4,196
-0.7216797,0.27001953,1.5830078,1,4,197
-0.7128906,0.20703125,1.4511719,1,4,198
-0.7036133,-0.110839844,1.2382812,1,4,199
-0.5571289,-0.39941406,0.96972656,1,4,200
-0.43408203,-0.47851562,0.7192383,1,4,201
-0.43310547,-0.41308594,0.5361328,1,4,202
-0.46777344,-0.24609375,0.97753906,1,4,203
-0.71533203,-0.021972656,2.949707,1,4,204
-1.0654297,0.3774414,6.364258,1,4,205
-0.46728516,0.7260742,5.1308594,1,4,206
3.671875,-7.724121,2.894043,1,4,207
13.272461,-3.8481445,-0.6567383,1,4,208
1.8017578,0.49658203,4.9472656,1,4,209
2.1782227,2.5820312,1.3261719,1,4,210
7.8046875,2.8442383,2.5141602,1,4,211
4.242676,3.4770508,2.947754,1,4,212
2.057129,1.9887695,1.9174805,1,4,213
4.397461,1.5229492,2.387207,1,4,214
5.595703,0.68603516,2.4111328,1,4,215
4.137207,0.33740234,2.177246,1,4,216
3.7109375,0.21972656,2.1450195,1,4,217
3.3886719,-0.17578125,2.1728516,1,4,218
2.9541016,-0.5283203,1.9580078,1,4,219
2.6367188,-0.66845703,1.831543,1,4,220
2.3305664,-0.5205078,1.7109375,1,4,221
1.9985352,-0.46240234,1.590332,1,4,222
1.7680664,-0.17480469,1.4248047,1,4,223
1.4042969,0.31982422,1.4443359,1,4,224
0.99121094,0.4794922,1.1416016,1,4,225
0.4794922,0.25195312,1.1459961,1,4,226
0.20605469,0.15429688,1.3867188,1,4,227
0.072753906,0.068359375,1.6186523,1,4,228
-0.009765625,-0.09326172,1.784668,1,4,229
-0.17871094,-0.20507812,1.8066406,1,4,230
-0.5102539,-0.27246094,1.7675781,1,4,231
-0.7519531,-0.2944336,1.5664062,1,4,232
-0.8388672,-0.21923828,1.4370117,1,4,233
-0.9189453,-0.18261719,1.2241211,1,4,234
-0.94384766,-0.018066406,0.9638672,1,4,235
-0.87158203,0.15234375,0.7480469,1,4,236
-0.7631836,0.2680664,0.6958008,1,4,237
-0.6123047,0.29296875,1.2114258,1,4,238
-0.7397461,0.17773438,3.067871,1,4,239
-1.0014648,-0.114746094,5.804199,1,4,240
-0.7392578,-0.92089844,4.3100586,1,4,241
-0.0009765625,3.7524414,6.0029297,1,4,242
11.853027,6.753418,-1.2021484,1,4,243
7.23584,-0.29638672,2.9125977,1,4,244
-0.5161133,-3.2089844,1.831543,1,4,245
6.7094727,-3.1669922,2.1044922,1,4,246
4.397949,-2.6386719,2.6201172,1,4,247
2.222168,-1.2905273,2.4580078,1,4,248
4.4677734,-0.9838867,2.3310547,1,4,249
5.4155273,-0.8457031,2.3916016,1,4,250
4.1723633,-0.64501953,2.0395508,1,4,251
3.671875,-0.4038086,2.1225586,1,4,252
3.584961,-0.103027344,2.2543945,1,4,253
3.2050781,0.11230469,2.0673828,1,4,254
3.0073242,0.25830078,2.0581055,1,4,1
2.9106445,0.19580078,1.9760742,1,4,2
2.3950195,0.24902344,1.887207,1,4,3
1.9057617,0.17333984,1.7817383,1,4,4
1.4897461,0.036132812,1.5170898,1,4,5
1.2226562,0.0146484375,1.4555664,1,4,6
1.0327148,-0.016601562,1.3881836,1,4,7
0.7841797,-0.1977539,1.3999023,1,4,8
0.46435547,-0.1928711,1.4521484,1,4,9
0.17675781,0.0107421875,1.7265625,1,4,10
-0.04345703,0.014160156,1.8984375,1,4,11
-0.20458984,0.11816406,1.9013672,1,4,12
-0.41455078,0.15966797,1.6557617,1,4,13
-0.64697266,0.21582031,1.4858398,1,4,14
-0.7836914,0.2607422,1.3847656,1,4,15
-0.765625,0.14990234,1.25,1,4,16
-0.6953125,-0.12402344,1.0581055,1,4,17
-0.5048828,-0.4633789,0.7753906,1,4,18
-0.39648438,-0.5473633,0.57470703,1,4,19
-0.43115234,-0.4765625,0.63720703,1,4,20
-0.4248047,-0.24316406,1.5449219,1,4,21
-0.78759766,-0.0048828125,4.348633,1,4,22
-0.80810547,0.41015625,6.944336,1,4,23
-0.52783203,-1.7094727,5.8808594,1,4,24
10.42334,-8.657227,-2.3930664,1,4,25
8.035156,-0.90771484,2.4316406,1,4,26
-1.7895508,1.0063477,2.7646484,1,4,27
4.9492188,2.4672852,2.753418,1,4,28
7.6538086,4.4189453,2.8652344,1,4,29
2.928711,3.277832,2.7626953,1,4,30
1.6772461,2.0009766,1.9238281,1,4,31
4.9057617,1.4482422,2.6694336,1,4,32
5.6381836,0.44335938,2.3413086,1,4,33
4.01416,0.3408203,2.1777344,1,4,34
3.774414,0.22070312,2.1118164,1,4,35
3.3950195,-0.21044922,2.1523438,1,4,36
2.9814453,-0.4736328,1.9291992,1,4,37
2.7548828,-0.5131836,1.7421875,1,4,38
2.4082031,-0.3178711,1.6088867,1,4,39
2.012207,-0.18310547,1.5175781,1,4,40
1.6845703,-0.107421875,1.3427734,1,4,41
1.246582,0.08691406,1.2104492,1,4,42
0.74609375,0.2368164,1.1923828,1,4,43
0.36132812,0.24853516,1.1557617,1,4,44
0.19384766,0.16259766,1.309082,1,4,45
-0.022460938,0.13720703,1.5932617,1,4,46
-0.10058594,-0.21240234,1.7915039,1,4,47
-0.20800781,-0.4736328,1.8305664,1,4,48
-0.38476562,-0.5258789,1.8374023,1,4,49
-0.6640625,-0.5253906,1.6484375,1,4,50
-0.80859375,-0.484375,1.4106445,1,4,51
-0.8618164,-0.40527344,1.2177734,1,4,52
-0.89501953,-0.18457031,1.0732422,1,4,53
-0.8613281,0.068359375,0.84814453,1,4,54
-0.7426758,0.30664062,0.91308594,1,4,55
-0.5654297,0.3701172,1.1967773,1,4,56
-0.8027344,0.30517578,3.105957,1,4,57
-1.2348633,-0.09472656,6.1938477,1,4,58
-1.3344727,-0.8261719,5.,1,4,59
3.3730469,6.320801,3.7001953,1,4,60
13.2265625,5.9052734,0.609375,1,4,61
4.3828125,-0.43359375,3.4121094,1,4,62
-0.22460938,-2.862793,1.1137695,1,4,63
7.0742188,-3.328125,2.3564453,1,4,64
4.4335938,-2.5390625,2.6132812,1,4,65
1.6572266,-1.3842773,2.7773438,1,4,66
4.225586,-1.1508789,2.347168,1,4,67
5.5126953,-0.89746094,2.597168,1,4,68
3.9785156,-0.5776367,2.121582,1,4,69
3.584961,-0.2758789,2.099121,1,4,70
3.5332031,-0.13134766,2.1884766,1,4,71
3.1220703,0.044433594,2.1455078,1,4,72
2.9335938,0.19042969,2.1132812,1,4,73
2.9394531,0.06982422,1.9580078,1,4,74
2.540039,0.04638672,1.84375,1,4,75
2.0014648,0.029296875,1.6689453,1,4,76
1.5498047,-0.016113281,1.4912109,1,4,77
1.1938477,-0.07470703,1.3061523,1,4,78
0.99121094,-0.03515625,1.1347656,1,4,79
0.74853516,-0.091308594,1.2441406,1,4,80
0.5839844,-0.100097656,1.3798828,1,4,81
0.34179688,0.010253906,1.6074219,1,4,82
0.12890625,0.07080078,1.9072266,1,4,83
-0.06201172,0.14404297,2.1240234,1,4,84
-0.2890625,0.19091797,1.9018555,1,4,85
-0.5708008,0.20654297,1.6845703,1,4,86
-0.8120117,0.2626953,1.5551758,1,4,87
-0.87939453,0.24853516,1.4365234,1,4,88
-0.7753906,-0.013671875,1.3022461,1,4,89
-0.6826172,-0.3256836,1.0893555,1,4,90
-0.52197266,-0.4428711,0.89697266,1,4,91
-0.59375,-0.3720703,0.9550781,1,4,92
-0.6044922,-0.1694336,1.4370117,1,4,93
-1.0288086,0.024902344,3.8554688,1,4,94
-1.1474609,0.34814453,6.1762695,1,4,95
-1.015625,-0.6689453,5.267578,1,4,96
9.091797,-8.770996,-0.7817383,1,4,97
10.776855,-1.5522461,1.4516602,1,4,98
-0.24169922,1.5292969,3.6835938,1,4,99
4.7338867,2.4892578,1.3535156,1,4,100
6.8476562,3.7583008,2.7114258,1,4,101
2.8310547,2.7172852,2.7104492,1,4,102
1.8935547,1.9111328,1.949707,1,4,103
4.8896484,1.3979492,2.5029297,1,4,104
5.7998047,0.60791016,2.4311523,1,4,105
4.0444336,0.51953125,2.1489258,1,4,106
3.6757812,0.17919922,2.1601562,1,4,107
3.4628906,-0.119628906,2.1723633,1,4,108
3.0673828,-0.46826172,1.8510742,1,4,109
2.772461,-0.54248047,1.7338867,1,4,110
2.4521484,-0.40527344,1.6240234,1,4,111
2.022461,-0.26904297,1.5166016,1,4,112
1.6728516,-0.16503906,1.2207031,1,4,113
1.2919922,0.06591797,1.1782227,1,4,114
0.8876953,0.3017578,1.1225586,1,4,115
0.45361328,0.28710938,1.0678711,1,4,116
0.17236328,0.2265625,1.3339844,1,4,117
0.09326172,0.091796875,1.6386719,1,4,118
-0.018554688,-0.16552734,1.7651367,1,4,119
-0.13574219,-0.3984375,1.8525391,1,4,120
-0.40478516,-0.46875,1.7529297,1,4,121
-0.71777344,-0.5473633,1.5673828,1,4,122
-0.8852539,-0.5629883,1.3349609,1,4,123
-0.9291992,-0.44873047,1.1210938,1,4,124
-0.9321289,-0.20654297,0.94091797,1,4,125
-0.8691406,0.041015625,0.75878906,1,4,126
-0.7988281,0.2626953,0.76660156,1,4,127
-0.66308594,0.3383789,1.4165039,1,4,128
-0.83251953,0.2211914,3.4077148,1,4,129
-1.1054688,-0.3256836,6.2382812,1,4,130
-0.9863281,-1.2783203,4.4091797,1,4,131
2.171875,6.6396484,6.9521484,1,4,132
14.661133,6.245117,-0.6743164,1,4,133
4.2851562,-0.7416992,3.5751953,1,4,134
-0.06591797,-3.1669922,0.74560547,1,4,135
6.779785,-2.880371,2.230957,1,4,136
4.1865234,-2.5737305,2.5454102,1,4,137
2.3027344,-1.3896484,2.4350586,1,4,138
4.628418,-1.125,2.4536133,1,4,139
5.119629,-0.90527344,2.4555664,1,4,140
3.8583984,-0.65185547,2.0507812,1,4,141
3.6572266,-0.26660156,2.0839844,1,4,142
3.4521484,-0.10107422,2.1743164,1,4,143
3.025879,0.0126953125,2.163086,1,4,144
2.9863281,0.15283203,2.0751953,1,4,145
2.8271484,0.075683594,1.996582,1,4,146
2.4101562,0.040527344,1.8720703,1,4,147
1.8818359,-0.011230469,1.6279297,1,4,148
1.5136719,-0.1303711,1.4838867,1,4,149
1.21875,-0.1274414,1.3588867,1,4,150
0.99658203,-0.076171875,1.2446289,1,4,151
0.7504883,-0.1875,1.3139648,1,4,152
0.4868164,-0.10498047,1.4194336,1,4,153
0.20117188,0.13964844,1.7119141,1,4,154
0.0043945312,0.15234375,2.0805664,1,4,155
-0.22216797,0.17822266,2.1923828,1,4,156
-0.42138672,0.2211914,2.010254,1,4,157
-0.63964844,0.23242188,1.7631836,1,4,158
-0.8466797,0.2836914,1.6108398,1,4,159
-0.9082031,0.26904297,1.4116211,1,4,160
-0.85791016,0.07861328,1.2851562,1,4,161
-0.67871094,-0.18847656,1.0180664,1,4,162
-0.48388672,-0.35498047,0.77246094,1,4,163
-0.46972656,-0.42626953,0.5854492,1,4,164
-0.4560547,-0.34814453,0.92529297,1,4,165
-0.6347656,-0.072265625,2.8217773,1,4,166
-0.94628906,0.3154297,6.2211914,1,4,167
