"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",59,"left"
1,"peaks[1]",94,"right"
1,"peaks[2]",130,"left"
1,"peaks[3]",164,"right"
1,"peaks[4]",202,"left"
1,"peaks[5]",236,"right"
1,"peaks[6]",273,"left"
1,"peaks[7]",308,"right"
1,"peaks[8]",345,"left"
1,"peaks[9]",380,"right"
1,"peaks[10]",417,"left"
1,"peaks[11]",453,"right"
1,"peaks[12]",490,"left"
1,"peaks[13]",524,"right"
1,"peaks[14]",561,"left"
1,"peaks[15]",597,"right"
1,"peaks[16]",634,"left"
1,"peaks[17]",669,"right"
1,"peaks[18]",705,"left"
1,"peaks[19]",740,"right"
1,"peaks[20]",777,"left"
1,"peaks[21]",813,"right"
1,"peaks[22]",849,"left"
1,"peaks[23]",885,"right"
1,"peaks[24]",922,"left"
1,"peaks[25]",957,"right"
1,"peaks[26]",993,"left"
1,"peaks[27]",1029,"right"
1,"peaks[28]",1066,"left"
1,"peaks[29]",1101,"right"
1,"peaks[30]",1137,"left"
1,"peaks[31]",1173,"right"
1,"peaks[32]",1210,"left"
1,"peaks[33]",1245,"right"
1,"peaks[34]",1282,"left"
1,"peaks[35]",1317,"right"
1,"peaks[36]",1355,"left"
1,"peaks[37]",1390,"right"
1,"peaks[38]",1425,"left"
1,"peaks[39]",1460,"right"
1,"peaks[40]",1497,"left"
1,"peaks[41]",1531,"right"
1,"peaks[42]",1567,"left"
1,"peaks[43]",1603,"right"
1,"peaks[44]",1640,"left"
1,"peaks[45]",1675,"right"
1,"peaks[46]",1711,"left"
1,"peaks[47]",1747,"right"
1,"peaks[48]",1784,"left"
1,"peaks[49]",1819,"right"
1,"peaks[50]",1857,"left"
1,"peaks[51]",1892,"right"
1,"peaks[52]",1928,"left"
1,"peaks[53]",1963,"right"
1,"peaks[54]",2000,"left"
1,"peaks[55]",2034,"right"
1,"peaks[56]",2071,"left"
1,"peaks[57]",2106,"right"
1,"peaks[58]",2142,"left"
1,"peaks[59]",2177,"right"
1,"peaks[60]",2214,"left"
1,"peaks[61]",2248,"right"
1,"peaks[62]",2284,"left"
1,"peaks[63]",2319,"right"
1,"peaks[64]",2355,"left"
1,"peaks[65]",2389,"right"
1,"peaks[66]",2426,"left"
1,"peaks[67]",2460,"right"
1,"peaks[68]",2498,"left"
1,"peaks[69]",2533,"right"
1,"peaks[70]",2570,"left"
1,"peaks[71]",2605,"right"
1,"peaks[72]",2642,"left"
1,"peaks[73]",2677,"right"
1,"peaks[74]",2713,"left"
1,"peaks[75]",2749,"right"
1,"peaks[76]",2787,"left"
1,"peaks[77]",2821,"right"
1,"peaks[78]",2857,"left"
1,"peaks[79]",2892,"right"
1,"peaks[80]",2929,"left"
1,"peaks[81]",2963,"right"
