"x","y","z","interval_no","runtype","packet_no"
-0.6791992,-0.45654297,1.4892578,1,4,1
-0.92578125,-0.3017578,1.2749023,1,4,2
-0.9916992,-0.28515625,1.1142578,1,4,3
-1.0932617,-0.16748047,0.92041016,1,4,4
-1.1625977,0.11279297,0.73583984,1,4,5
-1.0786133,0.30908203,0.64208984,1,4,6
-1.0263672,0.32617188,0.94091797,1,4,7
-1.074707,0.12548828,2.2749023,1,4,8
-1.3413086,-0.4555664,5.3691406,1,4,9
-1.0620117,-1.1508789,4.8164062,1,4,10
-1.2060547,-0.0126953125,2.4702148,1,4,11
-0.009277344,8.783203,4.7939453,1,4,12
15.854004,5.776367,-1.0053711,1,4,13
9.205078,-0.22460938,2.7910156,1,4,14
3.5048828,-7.1376953,1.8056641,1,4,15
3.4189453,-2.6430664,2.2250977,1,4,16
3.1386719,-2.3134766,2.3354492,1,4,17
3.4760742,-1.546875,2.1791992,1,4,18
5.7460938,-0.9086914,2.0961914,1,4,19
6.0776367,0.08642578,2.0019531,1,4,20
3.8217773,0.024902344,1.8383789,1,4,21
3.241211,-0.08154297,1.8027344,1,4,22
3.487793,0.07128906,1.887207,1,4,23
3.3579102,0.39501953,1.8007812,1,4,24
2.9501953,0.27441406,1.7021484,1,4,25
2.425293,0.22167969,1.6762695,1,4,26
1.9482422,0.15722656,1.5400391,1,4,27
1.5507812,0.1171875,1.4321289,1,4,28
1.2958984,0.14941406,1.277832,1,4,29
1.0571289,0.12890625,1.2866211,1,4,30
0.84814453,0.009277344,1.3544922,1,4,31
0.6357422,-0.05126953,1.3999023,1,4,32
0.33984375,0.00390625,1.4453125,1,4,33
0.020996094,0.09033203,1.5854492,1,4,34
-0.19335938,0.18017578,1.581543,1,4,35
-0.45214844,0.19238281,1.6298828,1,4,36
-0.63427734,0.14794922,1.5893555,1,4,37
-0.7607422,0.018066406,1.5268555,1,4,38
-0.9536133,-0.048828125,1.4790039,1,4,39
-0.9716797,-0.30664062,1.3554688,1,4,40
-0.93896484,-0.6044922,1.1308594,1,4,41
-0.8691406,-0.6855469,0.70410156,1,4,42
-0.859375,-0.6166992,0.53808594,1,4,43
-1.0307617,-0.4189453,0.7998047,1,4,44
-1.4399414,-0.09472656,2.5263672,1,4,45
-1.456543,0.3076172,5.4560547,1,4,46
-0.89208984,0.33544922,4.194824,1,4,47
0.06982422,-10.198242,2.8242188,1,4,48
11.070801,-0.3305664,-0.18554688,1,4,49
10.362305,0.36669922,1.8354492,1,4,50
8.38916,1.3271484,-0.2607422,1,4,51
4.463379,8.047852,4.930176,1,4,52
3.3579102,3.508789,2.7202148,1,4,53
1.6972656,2.1816406,1.8344727,1,4,54
2.7236328,1.7460938,2.2016602,1,4,55
6.006836,0.8486328,1.96875,1,4,56
6.263672,-0.1875,1.5556641,1,4,57
3.6464844,-0.0146484375,2.149414,1,4,58
2.9106445,0.041992188,2.040039,1,4,59
3.2788086,-0.2626953,1.6860352,1,4,60
2.9047852,-0.359375,1.4990234,1,4,61
2.3666992,-0.2421875,1.3603516,1,4,62
1.9682617,-0.09277344,1.2426758,1,4,63
1.5966797,-0.026855469,1.1884766,1,4,64
1.3505859,0.09667969,1.1044922,1,4,65
1.0756836,0.26464844,1.1176758,1,4,66
0.77441406,0.2998047,1.1289062,1,4,67
0.4008789,0.33544922,1.246582,1,4,68
0.10986328,0.3251953,1.5458984,1,4,69
0.029296875,-0.019042969,1.6977539,1,4,70
-0.08642578,-0.31347656,1.6113281,1,4,71
-0.33447266,-0.41259766,1.5014648,1,4,72
-0.5957031,-0.4091797,1.4853516,1,4,73
-0.7993164,-0.2548828,1.269043,1,4,74
-0.92578125,-0.20117188,1.1176758,1,4,75
-1.0922852,-0.05419922,1.0014648,1,4,76
-1.1337891,0.22167969,0.76953125,1,4,77
-1.0551758,0.3881836,0.6386719,1,4,78
-1.0410156,0.27929688,1.0966797,1,4,79
-1.1469727,0.036132812,2.4638672,1,4,80
-1.3823242,-0.55566406,5.5288086,1,4,81
-0.9951172,-0.95166016,3.9467773,1,4,82
-1.2763672,0.6386719,2.6191406,1,4,83
1.8964844,9.524414,3.684082,1,4,84
15.927734,4.413574,-1.4765625,1,4,85
7.42041,-0.9506836,3.0776367,1,4,86
3.8481445,-7.1308594,1.671875,1,4,87
3.453125,-2.3378906,2.3486328,1,4,88
2.6591797,-2.1342773,2.2329102,1,4,89
3.3032227,-1.4868164,2.0307617,1,4,90
5.876953,-0.8144531,2.027832,1,4,91
5.8320312,0.028320312,2.0722656,1,4,92
3.7875977,-0.09033203,1.8710938,1,4,93
3.2172852,-0.10595703,1.7734375,1,4,94
3.3774414,0.0546875,1.8486328,1,4,95
3.2285156,0.34472656,1.7250977,1,4,96
