"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",10,"unknown"
1,"peaks[1]",44,"unknown"
1,"peaks[2]",78,"unknown"
1,"peaks[3]",115,"unknown"
1,"peaks[4]",149,"unknown"
1,"peaks[5]",186,"unknown"
1,"peaks[6]",220,"unknown"
1,"peaks[7]",258,"unknown"
1,"peaks[8]",292,"unknown"
1,"peaks[9]",330,"unknown"
1,"peaks[10]",363,"unknown"
1,"peaks[11]",401,"unknown"
1,"peaks[12]",435,"unknown"
1,"peaks[13]",473,"unknown"
1,"peaks[14]",507,"unknown"
1,"peaks[15]",545,"unknown"
1,"peaks[16]",579,"unknown"
1,"peaks[17]",617,"unknown"
1,"peaks[18]",651,"unknown"
1,"peaks[19]",688,"unknown"
1,"peaks[20]",723,"unknown"
1,"peaks[21]",760,"unknown"
1,"peaks[22]",795,"unknown"
1,"peaks[23]",833,"unknown"
1,"peaks[24]",866,"unknown"
1,"peaks[25]",904,"unknown"
1,"peaks[26]",938,"unknown"
1,"peaks[27]",975,"unknown"
1,"peaks[28]",1010,"unknown"
1,"peaks[29]",1047,"unknown"
1,"peaks[30]",1081,"unknown"
1,"peaks[31]",1117,"unknown"
1,"peaks[32]",1152,"unknown"
1,"peaks[33]",1189,"unknown"
1,"peaks[34]",1224,"unknown"
1,"peaks[35]",1262,"unknown"
1,"peaks[36]",1296,"unknown"
1,"peaks[37]",1334,"unknown"
1,"peaks[38]",1368,"unknown"
1,"peaks[39]",1406,"unknown"
1,"peaks[40]",1441,"unknown"
1,"peaks[41]",1478,"unknown"
1,"peaks[42]",1513,"unknown"
1,"peaks[43]",1550,"unknown"
1,"peaks[44]",1584,"unknown"
1,"peaks[45]",1622,"unknown"
1,"peaks[46]",1656,"unknown"
1,"peaks[47]",1693,"unknown"
1,"peaks[48]",1728,"unknown"
1,"peaks[49]",1766,"unknown"
1,"peaks[50]",1801,"unknown"
1,"peaks[51]",1838,"unknown"
1,"peaks[52]",1873,"unknown"
1,"peaks[53]",1910,"unknown"
1,"peaks[54]",1945,"unknown"
1,"peaks[55]",1982,"unknown"
1,"peaks[56]",2017,"unknown"
1,"peaks[57]",2054,"unknown"
1,"peaks[58]",2089,"unknown"
1,"peaks[59]",2126,"unknown"
1,"peaks[60]",2160,"unknown"
1,"peaks[61]",2198,"unknown"
1,"peaks[62]",2233,"unknown"
1,"peaks[63]",2270,"unknown"
1,"peaks[64]",2305,"unknown"
1,"peaks[65]",2342,"unknown"
1,"peaks[66]",2377,"unknown"
1,"peaks[67]",2415,"unknown"
1,"peaks[68]",2449,"unknown"
1,"peaks[69]",2487,"unknown"
1,"peaks[70]",2522,"unknown"
1,"peaks[71]",2559,"unknown"
1,"peaks[72]",2594,"unknown"
1,"peaks[73]",2631,"unknown"
1,"peaks[74]",2666,"unknown"
1,"peaks[75]",2703,"unknown"
1,"peaks[76]",2739,"unknown"
1,"peaks[77]",2776,"unknown"
1,"peaks[78]",2810,"unknown"
1,"peaks[79]",2847,"unknown"
1,"peaks[80]",2882,"unknown"
1,"peaks[81]",2919,"unknown"
1,"peaks[82]",2954,"unknown"
1,"peaks[83]",2991,"unknown"
