"x","y","z","interval_no","runtype","packet_no"
-0.87158203,-0.93115234,1.4086914,1,4,1
-0.8027344,-0.44335938,1.996582,1,4,2
0.09423828,0.18554688,4.444824,1,4,3
1.0839844,0.89208984,4.2441406,1,4,4
1.222168,0.48583984,3.7011719,1,4,5
1.3383789,-0.39208984,0.9404297,1,4,6
2.4023438,-1.590332,-0.60009766,1,4,7
4.794922,0.0014648438,1.8955078,1,4,8
6.4404297,1.8867188,1.4858398,1,4,9
9.48291,2.5708008,1.0512695,1,4,10
13.455078,2.8911133,2.9316406,1,4,11
12.043945,1.1811523,3.1464844,1,4,12
5.1313477,-1.0742188,0.13330078,1,4,13
2.2451172,-1.9296875,-0.5698242,1,4,14
3.184082,-1.5834961,1.5595703,1,4,15
2.8901367,-1.0620117,1.5078125,1,4,16
2.265625,-0.59814453,1.0874023,1,4,17
2.862793,-0.15625,1.5551758,1,4,18
3.1655273,0.2602539,1.9599609,1,4,19
3.3701172,0.2685547,1.3813477,1,4,20
2.996582,0.115722656,1.4916992,1,4,21
3.215332,0.13867188,1.3061523,1,4,22
2.9726562,0.0078125,1.4003906,1,4,23
2.4243164,0.12060547,1.3125,1,4,24
1.4975586,0.3696289,1.2041016,1,4,25
0.31298828,0.79248047,1.324707,1,4,26
-0.60498047,0.91015625,1.1015625,1,4,27
-0.8725586,0.78808594,1.1313477,1,4,28
-0.7211914,0.6323242,1.1689453,1,4,29
-1.1459961,0.21777344,1.4042969,1,4,30
-1.5932617,-0.4296875,1.2714844,1,4,31
-1.9941406,-0.6738281,1.0693359,1,4,32
-2.2685547,-0.43701172,1.0136719,1,4,33
-2.1884766,0.2475586,1.1005859,1,4,34
-1.675293,0.34375,1.4443359,1,4,35
-1.1733398,0.032226562,1.9238281,1,4,36
-0.61865234,-0.36669922,1.9277344,1,4,37
-0.5415039,0.060058594,1.5961914,1,4,38
-0.49316406,1.0917969,1.465332,1,4,39
-0.28857422,1.559082,1.0703125,1,4,40
-0.107910156,0.95996094,1.0004883,1,4,41
0.15332031,-0.28466797,1.9619141,1,4,42
0.9116211,-1.2695312,4.716797,1,4,43
1.3730469,-2.0307617,6.6875,1,4,44
1.1767578,-3.581543,3.1660156,1,4,45
0.58935547,0.14941406,1.1391602,1,4,46
1.4516602,2.116211,1.8027344,1,4,47
3.7280273,0.19042969,1.4536133,1,4,48
6.779297,-1.4526367,1.9506836,1,4,49
9.390137,-3.7841797,1.3481445,1,4,50
13.608398,-3.915039,1.0839844,1,4,51
13.387695,-1.3291016,1.7172852,1,4,52
6.2773438,1.2514648,0.9560547,1,4,53
2.7436523,1.1069336,-0.8178711,1,4,54
2.163086,0.75634766,-0.5078125,1,4,55
1.6845703,0.97558594,1.5605469,1,4,56
2.557129,0.6269531,1.0307617,1,4,57
3.7895508,-0.19970703,1.2324219,1,4,58
4.320801,-0.5449219,1.8286133,1,4,59
4.388672,-0.5527344,1.4951172,1,4,60
3.538086,0.044433594,1.590332,1,4,61
2.6523438,-0.17578125,0.8564453,1,4,62
1.6303711,-0.115722656,0.7392578,1,4,63
0.8803711,-0.37060547,1.4438477,1,4,64
0.6425781,-0.69433594,1.6103516,1,4,65
-0.111816406,-0.8100586,1.4350586,1,4,66
-0.6538086,-0.39746094,1.2495117,1,4,67
-1.0668945,0.29101562,1.3110352,1,4,68
-1.5302734,0.77783203,1.2543945,1,4,69
-2.275879,0.7709961,1.0058594,1,4,70
-2.855957,0.59375,1.0600586,1,4,71
-2.6743164,-0.2758789,0.6621094,1,4,72
-2.3701172,-0.85253906,0.87060547,1,4,73
-1.5493164,-0.7583008,1.7519531,1,4,74
-0.82666016,-0.21875,2.4155273,1,4,75
-0.7426758,0.19140625,2.109375,1,4,76
-0.9658203,0.14892578,1.6347656,1,4,77
-0.93847656,-0.6074219,1.4916992,1,4,78
-0.6401367,-0.7817383,1.0087891,1,4,79
-0.20703125,-0.203125,1.4360352,1,4,80
0.83154297,0.5341797,3.8452148,1,4,81
1.8671875,1.2456055,5.1992188,1,4,82
1.7143555,1.7817383,4.8374023,1,4,83
1.1201172,0.53271484,1.5512695,1,4,84
1.8134766,-1.390625,-0.8666992,1,4,85
4.376953,-0.3696289,1.1655273,1,4,86
6.4594727,1.7915039,2.1123047,1,4,87
8.11377,2.7421875,1.6386719,1,4,88
10.906738,3.3920898,2.4990234,1,4,89
12.213379,1.7138672,3.5410156,1,4,90
5.824707,-0.17675781,0.9042969,1,4,91
3.2583008,-1.6020508,-0.44140625,1,4,92
3.96875,-1.8164062,1.2387695,1,4,93
3.444336,-1.612793,0.9667969,1,4,94
2.6381836,-1.1669922,0.46972656,1,4,95
2.9389648,-0.57470703,0.9868164,1,4,96
3.459961,-0.11767578,1.6137695,1,4,97
3.5839844,0.18457031,1.5947266,1,4,98
3.8007812,0.39208984,1.5683594,1,4,99
3.7583008,0.58496094,1.6743164,1,4,100
3.4213867,0.63378906,1.5957031,1,4,101
2.8911133,0.2548828,1.5244141,1,4,102
2.3310547,-0.019042969,1.7089844,1,4,103
1.2700195,-0.03857422,1.6733398,1,4,104
0.21191406,-0.041503906,1.5405273,1,4,105
-0.56933594,0.03125,1.2109375,1,4,106
-0.90966797,-0.2607422,1.1938477,1,4,107
-0.89501953,-0.82714844,1.121582,1,4,108
-0.8852539,-1.0234375,1.0776367,1,4,109
-1.2358398,-1.0244141,1.0400391,1,4,110
