"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",34,"unknown"
1,"peaks[1]",72,"unknown"
1,"peaks[2]",113,"unknown"
1,"peaks[3]",151,"unknown"
1,"peaks[4]",192,"unknown"
1,"peaks[5]",231,"unknown"
1,"peaks[6]",270,"unknown"
1,"peaks[7]",314,"unknown"
1,"peaks[8]",348,"unknown"
1,"peaks[9]",385,"unknown"
1,"peaks[10]",425,"unknown"
1,"peaks[11]",462,"unknown"
1,"peaks[12]",501,"unknown"
1,"peaks[13]",538,"unknown"
1,"peaks[14]",578,"unknown"
1,"peaks[15]",614,"unknown"
1,"peaks[16]",654,"unknown"
1,"peaks[17]",696,"unknown"
1,"peaks[18]",730,"unknown"
1,"peaks[19]",767,"unknown"
1,"peaks[20]",807,"unknown"
1,"peaks[21]",843,"unknown"
1,"peaks[22]",883,"unknown"
1,"peaks[23]",920,"unknown"
1,"peaks[24]",959,"unknown"
1,"peaks[25]",996,"unknown"
1,"peaks[26]",1035,"unknown"
1,"peaks[27]",1073,"unknown"
1,"peaks[28]",1111,"unknown"
1,"peaks[29]",1149,"unknown"
1,"peaks[30]",1188,"unknown"
1,"peaks[31]",1225,"unknown"
1,"peaks[32]",1264,"unknown"
1,"peaks[33]",1300,"unknown"
1,"peaks[34]",1340,"unknown"
1,"peaks[35]",1377,"unknown"
1,"peaks[36]",1415,"unknown"
1,"peaks[37]",1453,"unknown"
1,"peaks[38]",1492,"unknown"
1,"peaks[39]",1530,"unknown"
1,"peaks[40]",1569,"unknown"
1,"peaks[41]",1605,"unknown"
1,"peaks[42]",1644,"unknown"
1,"peaks[43]",1681,"unknown"
1,"peaks[44]",1719,"unknown"
1,"peaks[45]",1756,"unknown"
1,"peaks[46]",1795,"unknown"
1,"peaks[47]",1832,"unknown"
1,"peaks[48]",1871,"unknown"
1,"peaks[49]",1907,"unknown"
1,"peaks[50]",1947,"unknown"
1,"peaks[51]",1984,"unknown"
1,"peaks[52]",2022,"unknown"
1,"peaks[53]",2060,"unknown"
1,"peaks[54]",2099,"unknown"
1,"peaks[55]",2141,"unknown"
1,"peaks[56]",2174,"unknown"
1,"peaks[57]",2212,"unknown"
1,"peaks[58]",2251,"unknown"
1,"peaks[59]",2287,"unknown"
1,"peaks[60]",2327,"unknown"
1,"peaks[61]",2364,"unknown"
1,"peaks[62]",2403,"unknown"
1,"peaks[63]",2440,"unknown"
1,"peaks[64]",2478,"unknown"
1,"peaks[65]",2516,"unknown"
1,"peaks[66]",2553,"unknown"
1,"peaks[67]",2591,"unknown"
1,"peaks[68]",2630,"unknown"
1,"peaks[69]",2667,"unknown"
1,"peaks[70]",2707,"unknown"
1,"peaks[71]",2744,"unknown"
1,"peaks[72]",2783,"unknown"
1,"peaks[73]",2820,"unknown"
1,"peaks[74]",2858,"unknown"
1,"peaks[75]",2896,"unknown"
1,"peaks[76]",2935,"unknown"
