"x","y","z","interval_no","runtype","packet_no"
3.8251953,-0.16308594,2.6015625,1,4,1
4.3759766,0.2133789,2.6655273,1,4,2
4.467285,0.10449219,1.9365234,1,4,3
4.116699,-0.16064453,1.7485352,1,4,4
3.8730469,-0.06542969,2.012207,1,4,5
3.4389648,-0.014160156,1.9790039,1,4,6
2.8095703,0.088378906,1.9990234,1,4,7
2.3950195,0.23486328,1.8325195,1,4,8
1.9067383,0.32226562,1.5878906,1,4,9
1.3520508,0.5126953,1.3144531,1,4,10
0.8720703,0.45361328,1.1303711,1,4,11
0.6171875,0.39453125,1.0351562,1,4,12
0.3857422,0.29541016,1.1767578,1,4,13
-0.03125,0.1430664,1.4912109,1,4,14
-0.421875,0.071777344,1.5722656,1,4,15
-0.5883789,-0.28271484,1.5786133,1,4,16
-0.8588867,-0.50439453,1.7211914,1,4,17
-0.88134766,-0.34423828,1.8305664,1,4,18
-0.9975586,-0.22851562,1.8706055,1,4,19
-1.1572266,-0.11279297,1.7011719,1,4,20
-1.2915039,-0.009765625,1.309082,1,4,21
-1.3139648,0.10644531,0.84716797,1,4,22
-1.1425781,0.47265625,1.0380859,1,4,23
-0.24658203,0.5390625,1.6171875,1,4,24
0.58740234,0.45117188,2.930664,1,4,25
1.6464844,0.36083984,4.0561523,1,4,26
2.1733398,0.66552734,4.188965,1,4,27
3.1645508,1.5205078,2.7856445,1,4,28
5.2460938,0.39013672,2.3588867,1,4,29
6.7509766,-3.4643555,2.7617188,1,4,30
6.645508,-1.6113281,3.5161133,1,4,31
3.834961,-1.5253906,3.3623047,1,4,32
2.5625,0.44335938,2.1044922,1,4,33
3.0292969,0.90722656,2.019043,1,4,34
3.958496,0.47216797,2.46875,1,4,35
4.2319336,0.5551758,2.59375,1,4,36
4.2993164,0.32226562,1.9135742,1,4,37
3.913086,0.3095703,1.4731445,1,4,38
3.743164,0.43310547,1.8544922,1,4,39
3.7021484,0.46533203,1.8950195,1,4,40
3.0859375,0.38867188,1.8637695,1,4,41
2.3754883,0.54052734,1.7177734,1,4,42
1.7202148,0.59033203,1.4990234,1,4,43
1.3989258,0.33203125,1.2949219,1,4,44
1.0610352,0.30810547,1.4262695,1,4,45
0.7050781,0.2163086,1.4287109,1,4,46
0.40576172,-0.06640625,1.3701172,1,4,47
-0.083984375,-0.12646484,1.5400391,1,4,48
-0.4350586,-0.29541016,1.9506836,1,4,49
-0.70751953,-0.38232422,2.1606445,1,4,50
-1.0585938,-0.23876953,2.1557617,1,4,51
-1.2050781,-0.29248047,1.972168,1,4,52
-1.2363281,-0.43701172,1.5908203,1,4,53
-1.309082,-0.5083008,1.4619141,1,4,54
-1.2348633,-0.4609375,1.3276367,1,4,55
-0.97753906,-0.6953125,1.0761719,1,4,56
-0.3720703,-0.78271484,0.91503906,1,4,57
0.21582031,-0.32958984,1.1225586,1,4,58
0.60546875,0.33642578,2.0058594,1,4,59
1.4267578,0.5439453,4.1362305,1,4,60
2.4389648,0.40771484,5.463867,1,4,61
2.3706055,-1.4213867,2.9213867,1,4,62
4.330078,-0.49414062,0.9008789,1,4,63
5.8999023,3.071289,2.1743164,1,4,64
7.826172,3.6079102,4.1152344,1,4,65
6.0668945,2.1791992,2.9594727,1,4,66
3.102539,0.8833008,2.8613281,1,4,67
2.0454102,0.20214844,1.1533203,1,4,68
2.6875,-0.099609375,1.5517578,1,4,69
3.696289,-0.063964844,2.3916016,1,4,70
4.132324,0.23242188,2.5913086,1,4,71
4.1450195,0.2475586,1.8139648,1,4,72
4.1376953,0.048339844,1.7250977,1,4,73
4.004883,0.053222656,1.9711914,1,4,74
3.4370117,0.23876953,2.052246,1,4,75
2.7890625,0.26953125,1.9018555,1,4,76
2.334961,0.40185547,1.7709961,1,4,77
1.8457031,0.33789062,1.8139648,1,4,78
1.5170898,0.39160156,1.5810547,1,4,79
1.1147461,0.3310547,1.3930664,1,4,80
0.7451172,0.16308594,1.2700195,1,4,81
0.43847656,0.34326172,1.3198242,1,4,82
0.1171875,0.3984375,1.5483398,1,4,83
-0.32080078,0.27392578,1.8027344,1,4,84
-0.60595703,0.0034179688,1.7314453,1,4,85
-0.8730469,-0.2919922,1.5737305,1,4,86
-0.9848633,-0.15527344,1.5888672,1,4,87
-1.0581055,-0.18945312,1.6259766,1,4,88
-1.2211914,-0.2705078,1.5493164,1,4,89
-1.3427734,-0.15917969,1.222168,1,4,90
-1.2924805,0.05810547,0.6713867,1,4,91
-1.1020508,0.25732422,0.7055664,1,4,92
-0.23730469,0.4350586,1.168457,1,4,93
0.69384766,0.28027344,2.0336914,1,4,94
