"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",55,"left"
1,"peaks[1]",91,"right"
1,"peaks[2]",125,"left"
1,"peaks[3]",161,"right"
1,"peaks[4]",195,"left"
1,"peaks[5]",231,"right"
1,"peaks[6]",264,"left"
1,"peaks[7]",300,"right"
1,"peaks[8]",334,"left"
1,"peaks[9]",371,"right"
1,"peaks[10]",405,"left"
1,"peaks[11]",441,"right"
1,"peaks[12]",475,"left"
1,"peaks[13]",511,"right"
1,"peaks[14]",545,"left"
1,"peaks[15]",581,"right"
1,"peaks[16]",615,"left"
1,"peaks[17]",651,"right"
1,"peaks[18]",684,"left"
1,"peaks[19]",721,"right"
1,"peaks[20]",755,"left"
1,"peaks[21]",791,"right"
1,"peaks[22]",825,"left"
1,"peaks[23]",861,"right"
1,"peaks[24]",895,"left"
1,"peaks[25]",931,"right"
1,"peaks[26]",966,"left"
1,"peaks[27]",1002,"right"
1,"peaks[28]",1036,"left"
1,"peaks[29]",1073,"right"
1,"peaks[30]",1106,"left"
1,"peaks[31]",1143,"right"
1,"peaks[32]",1177,"left"
1,"peaks[33]",1213,"right"
1,"peaks[34]",1248,"left"
1,"peaks[35]",1284,"right"
1,"peaks[36]",1318,"left"
1,"peaks[37]",1354,"right"
1,"peaks[38]",1388,"left"
1,"peaks[39]",1424,"right"
1,"peaks[40]",1459,"left"
1,"peaks[41]",1495,"right"
1,"peaks[42]",1529,"left"
1,"peaks[43]",1565,"right"
1,"peaks[44]",1599,"left"
1,"peaks[45]",1635,"right"
1,"peaks[46]",1669,"left"
1,"peaks[47]",1705,"right"
1,"peaks[48]",1739,"left"
1,"peaks[49]",1776,"right"
1,"peaks[50]",1810,"left"
1,"peaks[51]",1846,"right"
1,"peaks[52]",1880,"left"
1,"peaks[53]",1916,"right"
1,"peaks[54]",1951,"left"
1,"peaks[55]",1987,"right"
1,"peaks[56]",2021,"left"
1,"peaks[57]",2057,"right"
1,"peaks[58]",2091,"left"
1,"peaks[59]",2127,"right"
1,"peaks[60]",2160,"left"
1,"peaks[61]",2196,"right"
1,"peaks[62]",2230,"left"
1,"peaks[63]",2267,"right"
1,"peaks[64]",2300,"left"
1,"peaks[65]",2337,"right"
1,"peaks[66]",2371,"left"
1,"peaks[67]",2407,"right"
1,"peaks[68]",2441,"left"
1,"peaks[69]",2477,"right"
1,"peaks[70]",2511,"left"
1,"peaks[71]",2548,"right"
1,"peaks[72]",2582,"left"
1,"peaks[73]",2618,"right"
1,"peaks[74]",2653,"left"
1,"peaks[75]",2689,"right"
1,"peaks[76]",2722,"left"
1,"peaks[77]",2758,"right"
1,"peaks[78]",2793,"left"
1,"peaks[79]",2829,"right"
1,"peaks[80]",2863,"left"
1,"peaks[81]",2899,"right"
1,"peaks[82]",2933,"left"
