"x","y","z","interval_no","runtype","packet_no"
0.3540039,0.65722656,4.4658203,1,4,1
0.6743164,-0.079589844,4.456543,1,4,2
0.6660156,-3.0498047,3.402832,1,4,3
3.165039,-4.4189453,1.6132812,1,4,4
6.7802734,-0.93408203,2.6762695,1,4,5
9.039551,1.8984375,3.802246,1,4,6
7.132324,2.4482422,2.480957,1,4,7
2.8793945,2.6811523,3.4785156,1,4,8
1.7207031,0.7583008,1.8486328,1,4,9
2.899414,-0.4741211,2.2407227,1,4,10
4.6274414,-0.8701172,2.381836,1,4,11
4.5634766,-0.74853516,2.149414,1,4,12
3.3271484,-0.87402344,2.0073242,1,4,13
2.7148438,-1.0703125,1.6342773,1,4,14
2.765625,-0.640625,1.6259766,1,4,15
3.1762695,-0.20898438,1.7753906,1,4,16
3.5932617,0.13378906,1.8696289,1,4,17
3.4414062,0.3876953,1.8637695,1,4,18
2.9399414,0.42333984,1.7495117,1,4,19
2.2680664,0.28125,1.6123047,1,4,20
1.722168,0.14746094,1.4116211,1,4,21
1.2958984,0.059570312,1.1918945,1,4,22
0.93603516,-0.015136719,1.2177734,1,4,23
0.6801758,-0.1015625,1.3632812,1,4,24
0.40185547,-0.20605469,1.6088867,1,4,25
0.22558594,-0.35742188,1.5664062,1,4,26
-0.041992188,-0.3100586,1.6040039,1,4,27
-0.36621094,-0.22509766,1.6923828,1,4,28
-0.8701172,-0.029296875,1.5908203,1,4,29
-1.456543,0.0068359375,1.2817383,1,4,30
-1.6376953,-0.118652344,0.9433594,1,4,31
-1.4086914,-0.34423828,1.0039062,1,4,32
-0.7675781,-0.5239258,1.1479492,1,4,33
-0.26660156,-0.6152344,1.3369141,1,4,34
-0.13720703,-0.5415039,1.7958984,1,4,35
-0.16259766,-0.22998047,2.5429688,1,4,36
0.123046875,-0.08642578,3.0498047,1,4,37
0.64941406,-0.1796875,3.0561523,1,4,38
1.418457,0.90722656,2.7807617,1,4,39
2.3481445,2.665039,2.474121,1,4,40
4.491699,0.7685547,2.2265625,1,4,41
6.444824,-2.074707,3.0131836,1,4,42
6.9067383,-3.0292969,3.2539062,1,4,43
5.340332,-2.883789,2.760254,1,4,44
2.4389648,-1.1806641,2.7666016,1,4,45
2.3549805,0.43310547,1.8583984,1,4,46
4.0039062,0.80566406,2.3061523,1,4,47
4.8408203,0.55322266,2.4038086,1,4,48
3.9516602,0.40722656,2.038086,1,4,49
