"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",68,"left"
1,"peaks[1]",106,"right"
1,"peaks[2]",143,"left"
1,"peaks[3]",180,"right"
1,"peaks[4]",216,"left"
1,"peaks[5]",253,"right"
1,"peaks[6]",290,"left"
1,"peaks[7]",327,"right"
1,"peaks[8]",364,"left"
1,"peaks[9]",400,"right"
1,"peaks[10]",438,"left"
1,"peaks[11]",475,"right"
1,"peaks[12]",512,"left"
1,"peaks[13]",550,"right"
1,"peaks[14]",586,"left"
1,"peaks[15]",621,"right"
1,"peaks[16]",658,"left"
1,"peaks[17]",696,"right"
1,"peaks[18]",733,"left"
1,"peaks[19]",770,"right"
1,"peaks[20]",807,"left"
1,"peaks[21]",844,"right"
1,"peaks[22]",881,"left"
1,"peaks[23]",919,"right"
1,"peaks[24]",956,"left"
1,"peaks[25]",993,"right"
1,"peaks[26]",1030,"left"
1,"peaks[27]",1067,"right"
1,"peaks[28]",1104,"left"
1,"peaks[29]",1141,"right"
1,"peaks[30]",1179,"left"
1,"peaks[31]",1215,"right"
1,"peaks[32]",1252,"left"
1,"peaks[33]",1289,"right"
1,"peaks[34]",1326,"left"
1,"peaks[35]",1363,"right"
1,"peaks[36]",1400,"left"
1,"peaks[37]",1436,"right"
1,"peaks[38]",1473,"left"
1,"peaks[39]",1510,"right"
1,"peaks[40]",1547,"left"
1,"peaks[41]",1585,"right"
1,"peaks[42]",1623,"left"
1,"peaks[43]",1659,"right"
1,"peaks[44]",1696,"left"
1,"peaks[45]",1733,"right"
1,"peaks[46]",1771,"left"
1,"peaks[47]",1809,"right"
1,"peaks[48]",1845,"left"
1,"peaks[49]",1882,"right"
1,"peaks[50]",1918,"left"
1,"peaks[51]",1955,"right"
1,"peaks[52]",1992,"left"
1,"peaks[53]",2030,"right"
1,"peaks[54]",2066,"left"
1,"peaks[55]",2104,"right"
1,"peaks[56]",2141,"left"
1,"peaks[57]",2178,"right"
1,"peaks[58]",2214,"left"
1,"peaks[59]",2251,"right"
1,"peaks[60]",2288,"left"
1,"peaks[61]",2324,"right"
1,"peaks[62]",2361,"left"
1,"peaks[63]",2398,"right"
1,"peaks[64]",2435,"left"
1,"peaks[65]",2472,"right"
1,"peaks[66]",2509,"left"
1,"peaks[67]",2546,"right"
1,"peaks[68]",2583,"left"
1,"peaks[69]",2619,"right"
1,"peaks[70]",2656,"left"
1,"peaks[71]",2693,"right"
1,"peaks[72]",2729,"left"
1,"peaks[73]",2766,"right"
1,"peaks[74]",2804,"left"
1,"peaks[75]",2841,"right"
1,"peaks[76]",2878,"left"
1,"peaks[77]",2916,"right"
1,"peaks[78]",2952,"left"
