"x","y","z","interval_no","runtype","packet_no"
2.1142578,-2.940918,3.1103516,1,4,1
1.6098633,-0.6088867,2.425293,1,4,2
3.2270508,0.5288086,2.7983398,1,4,3
4.649414,0.39257812,3.022461,1,4,4
4.491699,0.31152344,2.5668945,1,4,5
3.4458008,0.29248047,2.1757812,1,4,6
3.0664062,0.30029297,2.025879,1,4,7
3.104004,0.1430664,2.0166016,1,4,8
3.1308594,0.009277344,2.1640625,1,4,9
3.074707,-0.14892578,1.9384766,1,4,10
2.703125,-0.22314453,1.8823242,1,4,11
2.484375,-0.25927734,1.7978516,1,4,12
2.2832031,-0.15527344,1.7612305,1,4,13
1.9448242,-0.20898438,1.5463867,1,4,14
1.5087891,-0.44580078,1.3168945,1,4,15
1.0214844,-0.7055664,1.2397461,1,4,16
0.5805664,-0.6274414,1.2109375,1,4,17
0.18701172,-0.4038086,1.3339844,1,4,18
0.1303711,0.013183594,1.6625977,1,4,19
-0.10888672,0.14257812,1.7641602,1,4,20
-0.61035156,0.171875,1.7143555,1,4,21
-1.1464844,0.15283203,1.4384766,1,4,22
-1.6533203,0.3305664,1.1967773,1,4,23
-1.5405273,0.35986328,1.1235352,1,4,24
-1.0947266,0.33691406,0.98535156,1,4,25
-0.6904297,0.42138672,0.8642578,1,4,26
-0.27246094,0.5605469,0.9145508,1,4,27
-0.092285156,0.51953125,1.3696289,1,4,28
-0.15332031,0.22314453,2.3354492,1,4,29
0.016113281,0.26611328,3.5908203,1,4,30
0.44433594,0.22558594,4.069336,1,4,31
0.90771484,-1.840332,3.5180664,1,4,32
2.0327148,-2.9355469,2.6904297,1,4,33
6.6904297,-1.0595703,3.5825195,1,4,34
10.238281,1.2133789,4.76416,1,4,35
6.1831055,3.168457,3.991211,1,4,36
2.1499023,2.4667969,2.9208984,1,4,37
1.7988281,0.40673828,2.600586,1,4,38
3.4594727,-0.5996094,2.9658203,1,4,39
4.772949,-0.7651367,2.8867188,1,4,40
4.659668,-0.46679688,2.7485352,1,4,41
3.3232422,-0.41210938,2.3955078,1,4,42
2.8168945,-0.35546875,2.0234375,1,4,43
2.887207,-0.22167969,1.9624023,1,4,44
3.072754,-0.06542969,2.0288086,1,4,45
3.1064453,0.040039062,2.0419922,1,4,46
2.8945312,0.11669922,2.0395508,1,4,47
2.512207,0.095214844,1.9428711,1,4,48
2.022461,0.055664062,1.8388672,1,4,49
1.4599609,0.16455078,1.5776367,1,4,50
1.027832,0.30615234,1.3120117,1,4,51
0.6801758,0.45654297,1.3081055,1,4,52
0.34423828,0.36523438,1.296875,1,4,53
0.12451172,-0.00048828125,1.3984375,1,4,54
0.00048828125,-0.31298828,1.5888672,1,4,55
-0.12402344,-0.40673828,1.5664062,1,4,56
-0.58251953,-0.42138672,1.7060547,1,4,57
-1.2646484,-0.3154297,1.5595703,1,4,58
-1.6743164,-0.31298828,1.1274414,1,4,59
-1.387207,-0.42089844,0.89941406,1,4,60
-0.98779297,-0.51708984,0.8833008,1,4,61
-0.49365234,-0.75341797,0.74902344,1,4,62
-0.265625,-0.796875,0.8984375,1,4,63
-0.17480469,-0.3491211,1.203125,1,4,64
