"x","y","z","interval_no","runtype","packet_no"
0.34716797,0.34228516,3.6870117,1,4,1
1.078125,-0.11425781,3.413086,1,4,2
1.5751953,-2.4365234,3.1826172,1,4,3
4.673828,-3.0732422,2.0820312,1,4,4
8.457031,0.09765625,3.053711,1,4,5
8.270996,2.5117188,3.7407227,1,4,6
4.3881836,2.8085938,3.6777344,1,4,7
1.9873047,1.5,2.4370117,1,4,8
2.440918,-0.50634766,2.315918,1,4,9
4.435547,-0.7832031,2.6323242,1,4,10
5.126953,-0.5415039,2.6054688,1,4,11
3.8134766,-0.40234375,2.2373047,1,4,12
3.2016602,-0.40722656,1.9946289,1,4,13
3.2617188,-0.29345703,1.9731445,1,4,14
3.2705078,-0.2290039,1.8496094,1,4,15
3.1914062,-0.100097656,1.8198242,1,4,16
3.0874023,0.10449219,1.8730469,1,4,17
2.9350586,0.14404297,1.7998047,1,4,18
2.7060547,0.16503906,1.6542969,1,4,19
2.3217773,0.110839844,1.453125,1,4,20
1.6298828,0.234375,1.3442383,1,4,21
0.8828125,0.3461914,1.1376953,1,4,22
0.34716797,0.3720703,1.1142578,1,4,23
0.0009765625,0.24316406,1.2036133,1,4,24
-0.067871094,-0.026367188,1.418457,1,4,25
-0.12548828,-0.34326172,1.5322266,1,4,26
-0.27441406,-0.5078125,1.6333008,1,4,27
-0.66748047,-0.47851562,1.6186523,1,4,28
-1.1796875,-0.24072266,1.456543,1,4,29
-1.4741211,-0.13964844,1.2338867,1,4,30
-1.1894531,-0.33007812,1.1391602,1,4,31
-0.64208984,-0.5830078,1.0078125,1,4,32
-0.35351562,-0.74902344,1.1318359,1,4,33
-0.20654297,-0.89160156,1.3154297,1,4,34
-0.37695312,-0.38085938,2.3457031,1,4,35
-0.11816406,-0.21386719,3.0551758,1,4,36
0.12890625,-0.234375,3.7080078,1,4,37
0.88134766,2.3535156,2.9389648,1,4,38
2.7011719,3.6499023,2.3461914,1,4,39
5.8691406,0.06201172,2.671875,1,4,40
7.548828,-1.6650391,4.3862305,1,4,41
7.1816406,-2.4941406,3.2841797,1,4,42
4.5166016,-3.256836,3.4355469,1,4,43
1.6489258,-0.8330078,2.597168,1,4,44
2.1499023,1.3208008,2.2539062,1,4,45
4.476074,0.8022461,2.9394531,1,4,46
5.1586914,0.5473633,2.5996094,1,4,47
3.675293,0.20605469,2.2026367,1,4,48
3.0268555,0.10058594,1.9121094,1,4,49
3.0419922,0.047851562,1.9628906,1,4,50
3.0424805,0.0087890625,1.9150391,1,4,51
2.9003906,-0.1953125,1.6435547,1,4,52
2.6601562,-0.26464844,1.4750977,1,4,53
2.3544922,-0.06591797,1.4853516,1,4,54
2.2612305,-0.17382812,1.4746094,1,4,55
2.1777344,-0.10449219,1.3813477,1,4,56
1.9072266,-0.22558594,1.3681641,1,4,57
1.5024414,-0.3310547,1.2216797,1,4,58
0.76171875,-0.42919922,1.1738281,1,4,59
0.19970703,-0.30615234,1.34375,1,4,60
0.12548828,-0.091796875,1.6416016,1,4,61
-0.0024414062,-0.0053710938,1.8393555,1,4,62
-0.29492188,-0.075683594,1.9443359,1,4,63
-0.72558594,0.06738281,1.7382812,1,4,64
-1.1640625,0.068847656,1.3876953,1,4,65
-1.5288086,0.071777344,1.1674805,1,4,66
-1.5117188,0.091308594,0.9536133,1,4,67
-1.0444336,0.23388672,0.87890625,1,4,68
-0.49902344,0.27490234,0.97216797,1,4,69
-0.22216797,0.017578125,1.3925781,1,4,70
-0.20263672,0.045410156,2.1733398,1,4,71
0.09326172,0.4326172,3.1206055,1,4,72
0.6303711,0.19824219,3.5703125,1,4,73
1.0024414,-1.5712891,3.1538086,1,4,74
2.165039,-2.8413086,2.7114258,1,4,75
7.0405273,-1.0166016,2.0620117,1,4,76
11.1015625,2.3657227,4.607422,1,4,77
7.163574,3.1376953,3.2358398,1,4,78
2.0419922,1.859375,3.2495117,1,4,79
0.5830078,0.26367188,1.8242188,1,4,80
2.8813477,-0.6166992,2.5048828,1,4,81
5.430664,-0.50634766,2.9384766,1,4,82
4.647461,-0.3852539,2.413086,1,4,83
3.0361328,-0.17041016,2.0795898,1,4,84
2.871582,-0.060058594,1.8466797,1,4,85
3.055664,0.0009765625,1.8901367,1,4,86
3.1992188,0.0053710938,1.7260742,1,4,87
3.1254883,0.067871094,1.7392578,1,4,88
2.9707031,0.21777344,1.6831055,1,4,89
2.71875,0.21484375,1.5629883,1,4,90
2.3447266,0.19140625,1.4829102,1,4,91
1.7954102,0.34179688,1.3393555,1,4,92
1.1513672,0.48876953,1.1518555,1,4,93
0.46923828,0.48291016,1.2578125,1,4,94
0.11035156,0.21875,1.3208008,1,4,95
-0.040039062,-0.13964844,1.4213867,1,4,96
-0.04736328,-0.41064453,1.402832,1,4,97
-0.21533203,-0.39160156,1.487793,1,4,98
-0.6381836,-0.36572266,1.5546875,1,4,99
-1.1577148,-0.2944336,1.4750977,1,4,100
-1.440918,-0.2553711,1.2070312,1,4,101
-1.2783203,-0.515625,1.2558594,1,4,102
-0.74316406,-0.70996094,1.152832,1,4,103
-0.33447266,-0.8730469,1.2407227,1,4,104
-0.29882812,-0.8383789,1.6967773,1,4,105
-0.27197266,-0.27197266,2.4970703,1,4,106
-0.053222656,-0.119628906,3.008789,1,4,107
0.19677734,0.26757812,2.9760742,1,4,108
0.9824219,2.215332,2.3461914,1,4,109
2.3041992,1.4692383,2.4916992,1,4,110
5.534668,0.31933594,3.4746094,1,4,111
8.908691,-2.496582,3.5917969,1,4,112
8.342773,-2.59375,2.9589844,1,4,113
3.1098633,-2.2514648,3.6464844,1,4,114
1.0375977,-0.2290039,1.8388672,1,4,115
2.1826172,1.0014648,1.8671875,1,4,116
4.9970703,0.5986328,2.7280273,1,4,117
5.526367,0.47460938,2.303711,1,4,118
3.7451172,0.091796875,1.9477539,1,4,119
