"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",67,"left"
1,"peaks[1]",102,"right"
1,"peaks[2]",137,"left"
1,"peaks[3]",173,"right"
1,"peaks[4]",209,"left"
1,"peaks[5]",244,"right"
1,"peaks[6]",280,"left"
1,"peaks[7]",315,"right"
1,"peaks[8]",351,"left"
1,"peaks[9]",386,"right"
1,"peaks[10]",422,"left"
1,"peaks[11]",457,"right"
1,"peaks[12]",494,"left"
1,"peaks[13]",529,"right"
1,"peaks[14]",565,"left"
1,"peaks[15]",601,"right"
1,"peaks[16]",638,"left"
1,"peaks[17]",674,"right"
1,"peaks[18]",709,"left"
1,"peaks[19]",745,"right"
1,"peaks[20]",781,"left"
1,"peaks[21]",816,"right"
1,"peaks[22]",852,"left"
1,"peaks[23]",889,"right"
1,"peaks[24]",924,"left"
1,"peaks[25]",959,"right"
1,"peaks[26]",995,"left"
1,"peaks[27]",1031,"right"
1,"peaks[28]",1067,"left"
1,"peaks[29]",1102,"right"
1,"peaks[30]",1137,"left"
1,"peaks[31]",1173,"right"
1,"peaks[32]",1208,"left"
1,"peaks[33]",1243,"right"
1,"peaks[34]",1279,"left"
1,"peaks[35]",1314,"right"
1,"peaks[36]",1350,"left"
1,"peaks[37]",1385,"right"
1,"peaks[38]",1422,"left"
1,"peaks[39]",1456,"right"
1,"peaks[40]",1491,"left"
1,"peaks[41]",1527,"right"
1,"peaks[42]",1564,"left"
1,"peaks[43]",1597,"right"
1,"peaks[44]",1633,"left"
1,"peaks[45]",1669,"right"
1,"peaks[46]",1705,"left"
1,"peaks[47]",1740,"right"
1,"peaks[48]",1777,"left"
1,"peaks[49]",1812,"right"
1,"peaks[50]",1848,"left"
1,"peaks[51]",1884,"right"
1,"peaks[52]",1919,"left"
1,"peaks[53]",1954,"right"
1,"peaks[54]",1990,"left"
1,"peaks[55]",2025,"right"
1,"peaks[56]",2059,"left"
1,"peaks[57]",2095,"right"
1,"peaks[58]",2130,"left"
1,"peaks[59]",2165,"right"
1,"peaks[60]",2200,"left"
1,"peaks[61]",2235,"right"
1,"peaks[62]",2272,"left"
1,"peaks[63]",2307,"right"
1,"peaks[64]",2342,"left"
1,"peaks[65]",2378,"right"
1,"peaks[66]",2413,"left"
1,"peaks[67]",2448,"right"
1,"peaks[68]",2484,"left"
1,"peaks[69]",2519,"right"
1,"peaks[70]",2555,"left"
1,"peaks[71]",2590,"right"
1,"peaks[72]",2627,"left"
1,"peaks[73]",2663,"right"
1,"peaks[74]",2698,"left"
1,"peaks[75]",2734,"right"
1,"peaks[76]",2769,"left"
1,"peaks[77]",2804,"right"
1,"peaks[78]",2840,"left"
1,"peaks[79]",2875,"right"
1,"peaks[80]",2910,"left"
1,"peaks[81]",2946,"right"
