"x","y","z","interval_no","runtype","packet_no"
-0.94921875,0.27246094,1.5307617,1,4,1
-1.4892578,0.28759766,1.3149414,1,4,2
-1.8393555,0.49804688,1.0092773,1,4,3
-1.6894531,0.4975586,0.6152344,1,4,4
-1.0839844,0.2861328,0.44628906,1,4,5
-0.8676758,0.16601562,0.85253906,1,4,6
-0.8125,-0.07763672,1.7685547,1,4,7
-0.72753906,-0.35302734,2.631836,1,4,8
-0.65283203,-0.63427734,4.4975586,1,4,9
-0.067871094,-1.8950195,5.992676,1,4,10
5.9453125,-5.6728516,2.7700195,1,4,11
8.58252,-0.36523438,1.9980469,1,4,12
8.830566,3.8740234,2.6572266,1,4,13
3.621582,7.604492,3.5424805,1,4,14
2.340332,7.446289,3.105957,1,4,15
2.5019531,4.23584,2.4194336,1,4,16
2.4604492,1.1225586,2.1669922,1,4,17
2.147461,-0.38378906,2.199707,1,4,18
3.8901367,-1.1464844,2.385254,1,4,19
4.6367188,-0.984375,1.8227539,1,4,20
2.7202148,-0.072753906,1.4257812,1,4,21
2.8222656,0.8798828,2.0454102,1,4,22
3.1503906,0.2626953,1.5244141,1,4,23
2.8544922,0.49169922,1.4365234,1,4,24
2.3544922,0.70410156,1.6318359,1,4,25
2.177246,0.4711914,1.6035156,1,4,26
2.1118164,0.5083008,1.2475586,1,4,27
1.7822266,0.45214844,0.94628906,1,4,28
1.4360352,0.31347656,0.8876953,1,4,29
1.0351562,0.14208984,0.80566406,1,4,30
0.54589844,0.14550781,0.91748047,1,4,31
0.036621094,-0.012207031,1.1030273,1,4,32
-0.3959961,-0.48291016,1.1806641,1,4,33
-1.1230469,-1.1777344,1.2275391,1,4,34
-1.4824219,-1.3637695,1.0693359,1,4,35
-1.6108398,-1.2749023,1.0087891,1,4,36
-1.3217773,-1.3881836,1.0458984,1,4,37
-0.98535156,-0.9453125,1.0532227,1,4,38
-0.73095703,-0.46484375,0.9501953,1,4,39
-0.62109375,-0.14453125,0.80566406,1,4,40
-0.18945312,0.08203125,2.0058594,1,4,41
0.34277344,-0.35791016,4.680664,1,4,42
0.51660156,-0.5073242,6.604004,1,4,43
0.96728516,1.3706055,7.129883,1,4,44
9.510254,14.266602,5.276367,1,4,45
5.8461914,4.5805664,-0.27294922,1,4,46
6.583008,-1.5263672,1.0078125,1,4,47
2.8134766,-6.5913086,4.864258,1,4,48
4.321289,-4.151367,1.9550781,1,4,49
5.5078125,-3.1850586,0.9897461,1,4,50
4.2783203,-0.7734375,1.8041992,1,4,51
3.1538086,0.82128906,2.3510742,1,4,52
3.5888672,3.1201172,3.2138672,1,4,53
2.6455078,2.6513672,2.993164,1,4,54
2.2700195,1.7358398,2.2207031,1,4,55
2.2788086,0.84472656,1.8950195,1,4,56
2.239746,0.38134766,1.5742188,1,4,57
2.395996,0.14746094,1.6132812,1,4,58
2.4624023,0.22753906,1.8198242,1,4,59
2.0288086,0.3857422,1.6240234,1,4,60
1.5620117,0.5673828,1.4204102,1,4,61
1.1879883,0.5078125,1.3085938,1,4,62
0.9291992,0.14990234,1.1962891,1,4,63
0.7758789,-0.020019531,1.1230469,1,4,64
0.68359375,-0.32617188,1.2089844,1,4,65
0.6689453,-0.3779297,1.2231445,1,4,66
-0.2890625,-0.5263672,1.3095703,1,4,67
-0.68310547,-0.2709961,1.2871094,1,4,68
-1.1899414,0.061523438,1.3730469,1,4,69
-1.2856445,0.4086914,1.2006836,1,4,70
-1.2558594,0.4350586,0.8959961,1,4,71
-1.1108398,0.44482422,0.8535156,1,4,72
-1.0390625,0.2939453,1.3066406,1,4,73
-0.86621094,0.104003906,1.3793945,1,4,74
-0.70166016,-0.056640625,1.2753906,1,4,75
-0.65185547,-0.04736328,2.4887695,1,4,76
-0.41210938,0.053222656,4.023926,1,4,77
-0.36669922,-0.106933594,6.5166016,1,4,78
2.2973633,-4.609375,4.73584,1,4,79
9.354492,-3.7421875,1.6464844,1,4,80
