"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",37,"right"
1,"peaks[1]",72,"left"
1,"peaks[2]",107,"right"
1,"peaks[3]",140,"left"
1,"peaks[4]",173,"right"
1,"peaks[5]",210,"left"
1,"peaks[6]",242,"right"
1,"peaks[7]",278,"left"
1,"peaks[8]",312,"right"
1,"peaks[9]",348,"left"
1,"peaks[10]",382,"right"
1,"peaks[11]",416,"left"
1,"peaks[12]",450,"right"
1,"peaks[13]",484,"left"
1,"peaks[14]",518,"right"
1,"peaks[15]",552,"left"
1,"peaks[16]",584,"right"
1,"peaks[17]",616,"left"
1,"peaks[18]",648,"right"
1,"peaks[19]",683,"left"
1,"peaks[20]",718,"right"
1,"peaks[21]",752,"left"
1,"peaks[22]",785,"right"
1,"peaks[23]",819,"left"
1,"peaks[24]",851,"right"
1,"peaks[25]",886,"left"
1,"peaks[26]",920,"right"
1,"peaks[27]",953,"left"
1,"peaks[28]",988,"right"
1,"peaks[29]",1022,"left"
1,"peaks[30]",1058,"right"
1,"peaks[31]",1092,"left"
1,"peaks[32]",1124,"right"
1,"peaks[33]",1156,"left"
1,"peaks[34]",1189,"right"
1,"peaks[35]",1224,"left"
1,"peaks[36]",1257,"right"
1,"peaks[37]",1292,"left"
1,"peaks[38]",1327,"right"
1,"peaks[39]",1363,"left"
1,"peaks[40]",1397,"right"
1,"peaks[41]",1430,"left"
1,"peaks[42]",1464,"right"
1,"peaks[43]",1498,"left"
1,"peaks[44]",1531,"right"
1,"peaks[45]",1564,"left"
1,"peaks[46]",1597,"right"
1,"peaks[47]",1629,"left"
1,"peaks[48]",1666,"right"
1,"peaks[49]",1698,"left"
1,"peaks[50]",1731,"right"
1,"peaks[51]",1763,"left"
1,"peaks[52]",1797,"right"
1,"peaks[53]",1830,"left"
1,"peaks[54]",1863,"right"
1,"peaks[55]",1895,"left"
1,"peaks[56]",1928,"right"
1,"peaks[57]",1961,"left"
1,"peaks[58]",1997,"right"
1,"peaks[59]",2031,"left"
1,"peaks[60]",2065,"right"
1,"peaks[61]",2098,"left"
1,"peaks[62]",2129,"right"
1,"peaks[63]",2162,"left"
1,"peaks[64]",2195,"right"
1,"peaks[65]",2228,"left"
1,"peaks[66]",2261,"right"
1,"peaks[67]",2294,"left"
1,"peaks[68]",2327,"right"
1,"peaks[69]",2361,"left"
1,"peaks[70]",2394,"right"
1,"peaks[71]",2427,"left"
1,"peaks[72]",2461,"right"
1,"peaks[73]",2493,"left"
1,"peaks[74]",2526,"right"
1,"peaks[75]",2560,"left"
1,"peaks[76]",2597,"right"
1,"peaks[77]",2633,"left"
1,"peaks[78]",2664,"right"
1,"peaks[79]",2699,"left"
1,"peaks[80]",2737,"right"
1,"peaks[81]",2770,"left"
1,"peaks[82]",2804,"right"
1,"peaks[83]",2840,"left"
1,"peaks[84]",2872,"right"
1,"peaks[85]",2905,"left"
1,"peaks[86]",2939,"right"
