"x","y","z","interval_no","runtype","packet_no"
3.770996,-2.6689453,3.208496,1,4,1
9.068359,0.85058594,4.0878906,1,4,2
9.811523,2.5219727,3.614746,1,4,3
3.9794922,2.762207,3.8173828,1,4,4
1.1743164,1.7973633,2.8168945,1,4,5
2.0410156,-0.20654297,2.2114258,1,4,6
4.129883,-0.7207031,3.0615234,1,4,7
5.595703,-0.58251953,2.9121094,1,4,8
4.1118164,-0.55322266,2.6069336,1,4,9
3.0356445,-0.3642578,2.1230469,1,4,10
2.9145508,-0.38720703,1.9379883,1,4,11
3.1435547,-0.17822266,2.0688477,1,4,12
3.2333984,0.17529297,2.1308594,1,4,13
3.0551758,0.29589844,2.0595703,1,4,14
2.7470703,0.30322266,2.036621,1,4,15
2.3276367,0.15478516,1.9404297,1,4,16
1.7578125,0.07714844,1.6606445,1,4,17
1.1650391,0.171875,1.512207,1,4,18
0.7446289,0.3359375,1.2817383,1,4,19
0.45898438,0.46240234,1.3022461,1,4,20
0.09082031,0.34472656,1.3969727,1,4,21
-0.09716797,-0.0078125,1.5083008,1,4,22
-0.2548828,-0.27197266,1.5097656,1,4,23
-0.86572266,-0.26171875,1.4116211,1,4,24
-1.5209961,-0.3413086,1.3041992,1,4,25
-1.8984375,-0.54003906,1.2241211,1,4,26
-1.715332,-0.67333984,1.0654297,1,4,27
-1.1772461,-0.6611328,0.9008789,1,4,28
-0.609375,-0.82470703,0.8383789,1,4,29
-0.25097656,-0.9423828,1.0917969,1,4,30
-0.15332031,-0.6689453,1.3642578,1,4,31
-0.16210938,-0.20947266,2.831543,1,4,32
0.20410156,-0.03466797,4.0932617,1,4,33
0.8305664,-0.09472656,4.1875,1,4,34
1.9003906,3.133789,2.272461,1,4,35
5.489258,4.0195312,2.684082,1,4,36
7.510742,-0.45361328,3.786621,1,4,37
5.8759766,-3.0732422,4.1655273,1,4,38
4.0649414,-3.7490234,3.7036133,1,4,39
1.3911133,-2.7802734,2.9873047,1,4,40
2.0273438,-0.18603516,2.5307617,1,4,41
4.059082,1.2236328,3.2016602,1,4,42
5.8168945,0.81396484,2.7929688,1,4,43
4.3100586,0.7265625,2.618164,1,4,44
2.8769531,0.5678711,2.1069336,1,4,45
2.8774414,0.4946289,1.9882812,1,4,46
3.321289,0.40039062,2.2001953,1,4,47
3.5371094,0.13476562,2.1425781,1,4,48
3.3652344,-0.21386719,2.03125,1,4,49
3.1186523,-0.20703125,1.8964844,1,4,50
2.8286133,0.00390625,1.9008789,1,4,51
