"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",63,"left"
1,"peaks[1]",99,"right"
1,"peaks[2]",135,"left"
1,"peaks[3]",172,"right"
1,"peaks[4]",208,"left"
1,"peaks[5]",244,"right"
1,"peaks[6]",280,"left"
1,"peaks[7]",315,"right"
1,"peaks[8]",352,"left"
1,"peaks[9]",387,"right"
1,"peaks[10]",424,"left"
1,"peaks[11]",460,"right"
1,"peaks[12]",496,"left"
1,"peaks[13]",531,"right"
1,"peaks[14]",567,"left"
1,"peaks[15]",603,"right"
1,"peaks[16]",638,"left"
1,"peaks[17]",674,"right"
1,"peaks[18]",709,"left"
1,"peaks[19]",745,"right"
1,"peaks[20]",781,"left"
1,"peaks[21]",816,"right"
1,"peaks[22]",853,"left"
1,"peaks[23]",888,"right"
1,"peaks[24]",924,"left"
1,"peaks[25]",958,"right"
1,"peaks[26]",995,"left"
1,"peaks[27]",1032,"right"
1,"peaks[28]",1067,"left"
1,"peaks[29]",1103,"right"
1,"peaks[30]",1139,"left"
1,"peaks[31]",1174,"right"
1,"peaks[32]",1210,"left"
1,"peaks[33]",1246,"right"
1,"peaks[34]",1283,"left"
1,"peaks[35]",1318,"right"
1,"peaks[36]",1355,"left"
1,"peaks[37]",1391,"right"
1,"peaks[38]",1425,"left"
1,"peaks[39]",1461,"right"
1,"peaks[40]",1497,"left"
1,"peaks[41]",1533,"right"
1,"peaks[42]",1569,"left"
1,"peaks[43]",1605,"right"
1,"peaks[44]",1641,"left"
1,"peaks[45]",1676,"right"
1,"peaks[46]",1711,"left"
1,"peaks[47]",1747,"right"
1,"peaks[48]",1783,"left"
1,"peaks[49]",1818,"right"
1,"peaks[50]",1855,"left"
1,"peaks[51]",1890,"right"
1,"peaks[52]",1927,"left"
1,"peaks[53]",1962,"right"
1,"peaks[54]",1998,"left"
1,"peaks[55]",2034,"right"
1,"peaks[56]",2070,"left"
1,"peaks[57]",2106,"right"
1,"peaks[58]",2142,"left"
1,"peaks[59]",2177,"right"
1,"peaks[60]",2213,"left"
1,"peaks[61]",2248,"right"
1,"peaks[62]",2284,"left"
1,"peaks[63]",2320,"right"
1,"peaks[64]",2356,"left"
1,"peaks[65]",2392,"right"
1,"peaks[66]",2428,"left"
1,"peaks[67]",2462,"right"
1,"peaks[68]",2499,"left"
1,"peaks[69]",2535,"right"
1,"peaks[70]",2571,"left"
1,"peaks[71]",2606,"right"
1,"peaks[72]",2642,"left"
1,"peaks[73]",2678,"right"
1,"peaks[74]",2714,"left"
1,"peaks[75]",2749,"right"
1,"peaks[76]",2785,"left"
1,"peaks[77]",2820,"right"
1,"peaks[78]",2855,"left"
1,"peaks[79]",2892,"right"
1,"peaks[80]",2928,"left"
1,"peaks[81]",2965,"right"
