"x","y","z","interval_no","runtype","packet_no"
-0.010253906,0.07373047,1.6313477,1,4,1
-0.3076172,-0.118652344,1.5366211,1,4,2
-0.67871094,-0.17138672,1.3710938,1,4,3
-1.355957,-0.21728516,1.3242188,1,4,4
-1.8632812,-0.29101562,1.0800781,1,4,5
-1.7993164,-0.37695312,0.90234375,1,4,6
-1.199707,-0.45361328,0.80908203,1,4,7
-0.67871094,-0.62402344,0.8286133,1,4,8
-0.4140625,-0.63183594,0.92871094,1,4,9
-0.34033203,-0.34765625,1.0957031,1,4,10
-0.28320312,0.140625,1.8369141,1,4,11
0.08642578,0.2626953,2.96875,1,4,12
0.41748047,-0.11328125,4.2402344,1,4,13
1.1557617,0.5493164,3.4516602,1,4,14
2.203125,2.8232422,2.8789062,1,4,15
5.159668,2.083496,3.3862305,1,4,16
7.477539,-0.94384766,4.0063477,1,4,17
8.215332,-2.791504,3.7558594,1,4,18
4.04834,-3.2929688,3.4711914,1,4,19
1.2851562,-1.4023438,2.2719727,1,4,20
1.7055664,0.41552734,2.1689453,1,4,21
4.0058594,0.69433594,2.963379,1,4,22
5.720215,0.6933594,3.090332,1,4,23
4.6987305,0.6923828,2.6201172,1,4,24
3.0859375,0.58935547,2.102539,1,4,25
2.7607422,0.47705078,1.9980469,1,4,26
3.199707,0.1850586,2.1469727,1,4,27
3.4926758,-0.17578125,2.1870117,1,4,28
3.40625,-0.3725586,2.0996094,1,4,29
3.0644531,-0.30566406,2.0073242,1,4,30
2.6445312,-0.17285156,1.9272461,1,4,31
2.178711,-0.0087890625,1.6289062,1,4,32
1.5107422,-0.21728516,1.3920898,1,4,33
0.85546875,-0.52197266,1.1987305,1,4,34
0.359375,-0.54296875,1.2402344,1,4,35
0.076660156,-0.43017578,1.3515625,1,4,36
0.04248047,-0.31591797,1.4960938,1,4,37
-0.24169922,-0.28027344,1.3930664,1,4,38
-0.6357422,-0.22607422,1.3325195,1,4,39
-1.3222656,-0.16796875,1.3544922,1,4,40
-1.6933594,-0.009277344,1.1035156,1,4,41
-1.6337891,0.22851562,1.1074219,1,4,42
-1.269043,0.30859375,1.0283203,1,4,43
-0.8183594,0.23779297,0.73779297,1,4,44
-0.36572266,0.41015625,0.8544922,1,4,45
-0.040039062,0.7402344,1.2177734,1,4,46
0.021484375,0.40478516,1.9692383,1,4,47
0.27539062,0.3232422,3.2583008,1,4,48
0.6074219,0.453125,4.126953,1,4,49
1.0791016,-0.59521484,3.1142578,1,4,50
1.4931641,-3.0844727,2.475586,1,4,51
4.5390625,-2.3066406,2.803711,1,4,52
9.154297,0.42871094,3.5112305,1,4,53
8.410156,2.9453125,4.631836,1,4,54
3.8095703,2.8881836,3.9707031,1,4,55
1.4023438,0.96777344,2.352539,1,4,56
1.855957,-0.40283203,2.40625,1,4,57
3.8486328,-0.6303711,3.0151367,1,4,58
5.335449,-0.7763672,2.8208008,1,4,59
4.4799805,-0.74609375,2.4370117,1,4,60
3.1811523,-0.53515625,2.0595703,1,4,61
2.8486328,-0.53564453,1.809082,1,4,62
2.8686523,-0.42236328,1.9443359,1,4,63
3.0922852,-0.09667969,2.0820312,1,4,64
3.1669922,0.06591797,2.1865234,1,4,65
2.9750977,0.103515625,2.2246094,1,4,66
2.5703125,0.026367188,2.012207,1,4,67
2.0112305,-0.109375,1.8120117,1,4,68
1.4682617,-0.072753906,1.4946289,1,4,69
0.9638672,0.080078125,1.3496094,1,4,70
0.5932617,0.18896484,1.4018555,1,4,71
0.37939453,0.123535156,1.5996094,1,4,72
0.12402344,-0.0625,1.7856445,1,4,73
-0.17871094,-0.23828125,1.6962891,1,4,74
-0.6230469,-0.21044922,1.4682617,1,4,75
-1.387207,-0.15527344,1.21875,1,4,76
-2.015625,-0.19677734,0.83447266,1,4,77
-1.949707,-0.3310547,0.6894531,1,4,78
-1.3666992,-0.40820312,0.84033203,1,4,79
-0.7680664,-0.5854492,0.81591797,1,4,80
-0.41357422,-0.69677734,0.70751953,1,4,81
-0.31298828,-0.49853516,0.9033203,1,4,82
-0.2241211,0.03955078,1.3598633,1,4,83
-0.05126953,0.12207031,2.8520508,1,4,84
0.28857422,-0.08935547,4.1689453,1,4,85
1.0551758,0.09033203,3.802246,1,4,86
1.9106445,2.5737305,2.8237305,1,4,87
4.215332,2.3833008,3.09375,1,4,88
6.709961,-0.6928711,3.8027344,1,4,89
8.410156,-2.7885742,3.979004,1,4,90
5.237793,-3.397461,3.7573242,1,4,91
1.7866211,-1.8950195,2.6723633,1,4,92
1.4868164,0.20166016,2.1166992,1,4,93
3.4433594,0.6640625,2.8779297,1,4,94
5.6118164,0.5361328,3.0561523,1,4,95
5.0898438,0.51220703,2.78125,1,4,96
3.4213867,0.5234375,2.2861328,1,4,97
2.7788086,0.5600586,1.8759766,1,4,98
3.0024414,0.48828125,2.1411133,1,4,99
3.4345703,0.10449219,2.1923828,1,4,100
3.5014648,-0.1772461,2.2250977,1,4,101
3.1743164,-0.18164062,2.0419922,1,4,102
2.8061523,-0.099609375,1.9604492,1,4,103
2.4726562,-0.055664062,1.8837891,1,4,104
1.9199219,-0.1274414,1.5053711,1,4,105
1.1850586,-0.5073242,1.3935547,1,4,106
0.5205078,-0.73583984,1.1923828,1,4,107
0.10449219,-0.7548828,1.3017578,1,4,108
0.018554688,-0.5805664,1.4248047,1,4,109
-0.11767578,-0.40039062,1.5058594,1,4,110
-0.46923828,-0.19628906,1.3598633,1,4,111
-1.1254883,0.080566406,1.5478516,1,4,112
-1.6118164,0.27978516,1.3349609,1,4,113
