"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",42,"left"
1,"peaks[1]",78,"right"
1,"peaks[2]",115,"left"
1,"peaks[3]",150,"right"
1,"peaks[4]",186,"left"
1,"peaks[5]",222,"right"
1,"peaks[6]",259,"left"
1,"peaks[7]",295,"right"
1,"peaks[8]",330,"left"
1,"peaks[9]",366,"right"
1,"peaks[10]",403,"left"
1,"peaks[11]",438,"right"
1,"peaks[12]",475,"left"
1,"peaks[13]",511,"right"
1,"peaks[14]",548,"left"
1,"peaks[15]",585,"right"
1,"peaks[16]",622,"left"
1,"peaks[17]",657,"right"
1,"peaks[18]",693,"left"
1,"peaks[19]",729,"right"
1,"peaks[20]",766,"left"
1,"peaks[21]",802,"right"
1,"peaks[22]",838,"left"
1,"peaks[23]",874,"right"
1,"peaks[24]",911,"left"
1,"peaks[25]",946,"right"
1,"peaks[26]",981,"left"
1,"peaks[27]",1018,"right"
1,"peaks[28]",1054,"left"
1,"peaks[29]",1090,"right"
1,"peaks[30]",1127,"left"
1,"peaks[31]",1163,"right"
1,"peaks[32]",1198,"left"
1,"peaks[33]",1234,"right"
1,"peaks[34]",1270,"left"
1,"peaks[35]",1306,"right"
1,"peaks[36]",1341,"left"
1,"peaks[37]",1376,"right"
1,"peaks[38]",1412,"left"
1,"peaks[39]",1447,"right"
1,"peaks[40]",1483,"left"
1,"peaks[41]",1519,"right"
1,"peaks[42]",1556,"left"
1,"peaks[43]",1591,"right"
1,"peaks[44]",1626,"left"
1,"peaks[45]",1661,"right"
1,"peaks[46]",1698,"left"
1,"peaks[47]",1734,"right"
1,"peaks[48]",1770,"left"
1,"peaks[49]",1805,"right"
1,"peaks[50]",1842,"left"
1,"peaks[51]",1877,"right"
1,"peaks[52]",1914,"left"
1,"peaks[53]",1949,"right"
1,"peaks[54]",1985,"left"
1,"peaks[55]",2020,"right"
1,"peaks[56]",2056,"left"
1,"peaks[57]",2092,"right"
1,"peaks[58]",2128,"left"
1,"peaks[59]",2163,"right"
1,"peaks[60]",2199,"left"
1,"peaks[61]",2234,"right"
1,"peaks[62]",2271,"left"
1,"peaks[63]",2306,"right"
1,"peaks[64]",2342,"left"
1,"peaks[65]",2377,"right"
1,"peaks[66]",2413,"left"
1,"peaks[67]",2448,"right"
1,"peaks[68]",2485,"left"
1,"peaks[69]",2520,"right"
1,"peaks[70]",2557,"left"
1,"peaks[71]",2592,"right"
1,"peaks[72]",2627,"left"
1,"peaks[73]",2662,"right"
1,"peaks[74]",2697,"left"
1,"peaks[75]",2733,"right"
1,"peaks[76]",2769,"left"
1,"peaks[77]",2805,"right"
1,"peaks[78]",2841,"left"
1,"peaks[79]",2876,"right"
1,"peaks[80]",2912,"left"
1,"peaks[81]",2949,"right"
