"x","y","z","interval_no","runtype","packet_no"
0.5229492,0.0014648438,6.302246,1,4,1
1.4003906,3.0341797,2.7324219,1,4,2
7.2661133,3.1704102,3.9111328,1,4,3
8.381348,-2.4521484,5.6918945,1,4,4
9.781738,-4.820801,4.3066406,1,4,5
8.385742,-2.3286133,2.3486328,1,4,6
5.260742,0.57958984,1.8720703,1,4,7
4.1342773,0.59472656,2.9868164,1,4,8
3.7988281,0.97558594,5.151367,1,4,9
4.0234375,1.2211914,1.6884766,1,4,10
2.5249023,1.0219727,2.165039,1,4,11
2.3413086,-0.040527344,1.9194336,1,4,12
2.7954102,0.67333984,2.3413086,1,4,13
3.2773438,0.50927734,2.5166016,1,4,14
2.987793,0.34472656,2.1396484,1,4,15
1.6469727,0.39111328,1.6645508,1,4,16
-0.1796875,0.23925781,2.0170898,1,4,17
0.053222656,0.19335938,2.3261719,1,4,18
0.7348633,0.19824219,2.409668,1,4,19
0.54541016,0.16357422,2.2250977,1,4,20
0.765625,-0.22314453,1.609375,1,4,21
0.37402344,-0.06689453,1.2841797,1,4,22
-0.13476562,0.4111328,1.1708984,1,4,23
-1.2719727,0.3984375,0.50927734,1,4,24
-2.2143555,-0.2446289,0.48095703,1,4,25
-2.5297852,-0.3022461,0.80615234,1,4,26
-1.9628906,-0.55615234,1.0415039,1,4,27
-1.4560547,-0.61816406,1.1796875,1,4,28
-0.7392578,-0.13183594,1.2685547,1,4,29
-0.66552734,-0.057617188,1.4780273,1,4,30
-0.67089844,-0.14257812,1.4204102,1,4,31
-1.0458984,-0.40673828,1.6269531,1,4,32
-0.99121094,-0.21777344,1.7602539,1,4,33
-0.6870117,0.32177734,3.1860352,1,4,34
0.10839844,0.55859375,4.7807617,1,4,35
0.22607422,0.31591797,7.1098633,1,4,36
-0.20996094,-4.064453,3.9536133,1,4,37
5.958008,-1.6137695,3.8574219,1,4,38
8.550293,2.9770508,4.1557617,1,4,39
10.821777,6.2661133,5.2250977,1,4,40
7.0371094,2.6240234,2.8017578,1,4,41
4.571289,0.68408203,0.9296875,1,4,42
4.479004,0.7114258,2.2109375,1,4,43
3.6918945,-0.9453125,5.652832,1,4,44
4.376465,-0.3779297,2.4628906,1,4,45
3.602539,0.64697266,2.628418,1,4,46
3.334961,0.35058594,2.0092773,1,4,47
3.1186523,-0.31396484,2.036621,1,4,48
2.828125,-0.6118164,2.2456055,1,4,49
2.614746,-0.66845703,2.0854492,1,4,50
2.0859375,-0.80078125,1.7241211,1,4,51
0.8276367,0.041015625,1.980957,1,4,52
-0.16455078,-0.018066406,2.2324219,1,4,53
-0.48388672,-0.45898438,1.9077148,1,4,54
-0.061523438,-0.83935547,1.4716797,1,4,55
0.03173828,-0.61572266,1.1567383,1,4,56
-0.4350586,-0.4033203,1.0239258,1,4,57
-0.546875,-0.2626953,0.5986328,1,4,58
-0.5258789,-0.06689453,0.5859375,1,4,59
-0.8598633,0.37158203,0.8876953,1,4,60
-1.7075195,0.43945312,1.2646484,1,4,61
-1.9643555,0.125,1.3022461,1,4,62
-1.0693359,-0.17578125,1.1542969,1,4,63
-0.55126953,0.06347656,1.5751953,1,4,64
-0.87158203,0.60839844,1.5722656,1,4,65
-1.2929688,0.9370117,1.2070312,1,4,66
-1.4042969,1.1000977,0.5966797,1,4,67
-1.8759766,0.31933594,1.4321289,1,4,68
-0.79833984,-1.4960938,3.2456055,1,4,69
1.2407227,-2.2260742,7.7314453,1,4,70
0.77490234,-1.2641602,7.0234375,1,4,71
0.27197266,1.6450195,2.234375,1,4,72
9.076172,3.2753906,7.507324,1,4,73
8.994629,-4.689453,5.6435547,1,4,74
10.59082,-3.150879,3.6835938,1,4,75
9.0390625,-0.6269531,2.911621,1,4,76
6.2993164,0.9477539,1.984375,1,4,77
5.9121094,0.34716797,2.3569336,1,4,78
3.9990234,0.9746094,2.2226562,1,4,79
1.6376953,0.46142578,3.2543945,1,4,80
2.8867188,0.3876953,2.2143555,1,4,81
3.2163086,0.31201172,2.2036133,1,4,82
3.331543,0.12548828,2.1796875,1,4,83
2.9501953,0.60546875,2.1230469,1,4,84
2.0024414,0.9946289,1.8452148,1,4,85
0.59228516,0.6503906,2.118164,1,4,86
-0.49072266,0.359375,2.8125,1,4,87
0.39013672,0.5761719,2.640625,1,4,88
0.50097656,0.38183594,2.290039,1,4,89
0.22021484,-0.07763672,1.7524414,1,4,90
0.42236328,-0.111328125,1.2006836,1,4,91
0.14501953,0.74316406,0.9863281,1,4,92
-1.5703125,0.75439453,0.81347656,1,4,93
-2.5112305,-0.15332031,0.890625,1,4,94
-2.2172852,-0.07763672,0.6489258,1,4,95
-1.9306641,-0.57373047,0.7988281,1,4,96
-1.6264648,-0.7368164,0.9946289,1,4,97
-0.9326172,-0.35986328,1.0615234,1,4,98
-0.5908203,-0.38916016,1.2363281,1,4,99
-0.52978516,-0.6567383,1.4399414,1,4,100
-0.76904297,-0.71728516,1.4873047,1,4,101
-0.85595703,-0.37158203,1.8232422,1,4,102
-0.3623047,-0.048828125,1.9819336,1,4,103
-0.12158203,0.34960938,4.0375977,1,4,104
0.8955078,0.82421875,5.4975586,1,4,105
0.013183594,-1.8095703,5.7421875,1,4,106
2.2958984,-2.0136719,2.5839844,1,4,107
12.282227,0.38720703,8.600586,1,4,108
8.841797,5.7456055,5.554199,1,4,109
9.199707,2.6972656,3.6958008,1,4,110
5.2421875,0.7817383,1.5483398,1,4,111
2.9155273,0.8261719,4.6210938,1,4,112
4.241211,-0.3779297,2.5546875,1,4,113
5.4335938,0.3955078,3.3032227,1,4,114
4.348633,1.0288086,2.6611328,1,4,115
3.5283203,0.80371094,2.253418,1,4,116
3.3208008,0.31640625,2.2387695,1,4,117
3.145996,-0.5913086,2.0488281,1,4,118
2.480957,-0.8496094,2.0146484,1,4,119
1.8564453,-0.8652344,1.8686523,1,4,120
0.8300781,-0.27294922,2.1313477,1,4,121
0.14794922,-0.14941406,1.9233398,1,4,122
-0.17578125,-0.27294922,1.71875,1,4,123
-0.05810547,-0.4375,1.3950195,1,4,124
0.31640625,-0.6113281,0.9423828,1,4,125
0.0034179688,-0.40771484,0.9609375,1,4,126
-0.4970703,-0.5136719,0.76660156,1,4,127
-0.7084961,-0.50878906,0.515625,1,4,128
-0.9663086,-0.31103516,0.68115234,1,4,129
-1.4389648,-0.10498047,0.9160156,1,4,130
-1.7050781,-0.34570312,0.89501953,1,4,131
-1.0678711,-0.54541016,0.68115234,1,4,132
-0.3935547,-0.29541016,1.456543,1,4,133
-0.36816406,0.07373047,2.1000977,1,4,134
-1.0463867,0.82910156,1.7670898,1,4,135
-1.5454102,1.3535156,1.1850586,1,4,136
-1.4833984,1.8476562,0.51953125,1,4,137
-1.6689453,0.4116211,1.0791016,1,4,138
-0.40771484,-1.6791992,3.7646484,1,4,139
1.3544922,-2.2636719,7.9472656,1,4,140
0.7270508,-0.7890625,6.168457,1,4,141
2.057129,1.9863281,1.6826172,1,4,142
11.046875,2.2358398,8.871094,1,4,143
7.6967773,-4.472168,4.7094727,1,4,144
9.115234,-3.1567383,3.159668,1,4,145
7.882324,-0.50634766,2.28125,1,4,146
5.026367,0.68066406,2.3710938,1,4,147
4.709961,0.29345703,4.359375,1,4,148
4.1533203,0.41796875,2.4951172,1,4,149
