"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",62,"unknown"
1,"peaks[1]",67,"unknown"
1,"peaks[2]",96,"unknown"
1,"peaks[3]",137,"unknown"
1,"peaks[4]",166,"unknown"
1,"peaks[5]",200,"unknown"
1,"peaks[6]",236,"unknown"
1,"peaks[7]",273,"unknown"
1,"peaks[8]",306,"unknown"
1,"peaks[9]",341,"unknown"
1,"peaks[10]",377,"unknown"
1,"peaks[11]",417,"unknown"
1,"peaks[12]",447,"unknown"
1,"peaks[13]",481,"unknown"
1,"peaks[14]",517,"unknown"
1,"peaks[15]",551,"unknown"
1,"peaks[16]",586,"unknown"
1,"peaks[17]",627,"unknown"
1,"peaks[18]",656,"unknown"
1,"peaks[19]",696,"unknown"
1,"peaks[20]",724,"unknown"
1,"peaks[21]",765,"unknown"
1,"peaks[22]",793,"unknown"
1,"peaks[23]",833,"unknown"
1,"peaks[24]",862,"unknown"
1,"peaks[25]",897,"unknown"
1,"peaks[26]",932,"unknown"
1,"peaks[27]",972,"unknown"
1,"peaks[28]",1001,"unknown"
1,"peaks[29]",1035,"unknown"
1,"peaks[30]",1070,"unknown"
1,"peaks[31]",1104,"unknown"
1,"peaks[32]",1141,"unknown"
1,"peaks[33]",1176,"unknown"
1,"peaks[34]",1212,"unknown"
1,"peaks[35]",1246,"unknown"
1,"peaks[36]",1283,"unknown"
1,"peaks[37]",1317,"unknown"
1,"peaks[38]",1354,"unknown"
1,"peaks[39]",1395,"unknown"
1,"peaks[40]",1423,"unknown"
1,"peaks[41]",1465,"unknown"
1,"peaks[42]",1493,"unknown"
1,"peaks[43]",1533,"unknown"
1,"peaks[44]",1562,"unknown"
1,"peaks[45]",1602,"unknown"
1,"peaks[46]",1631,"unknown"
1,"peaks[47]",1665,"unknown"
1,"peaks[48]",1700,"unknown"
1,"peaks[49]",1740,"unknown"
1,"peaks[50]",1768,"unknown"
1,"peaks[51]",1808,"unknown"
1,"peaks[52]",1836,"unknown"
1,"peaks[53]",1875,"unknown"
1,"peaks[54]",1905,"unknown"
1,"peaks[55]",1945,"unknown"
1,"peaks[56]",1974,"unknown"
1,"peaks[57]",2008,"unknown"
1,"peaks[58]",2043,"unknown"
1,"peaks[59]",2077,"unknown"
1,"peaks[60]",2111,"unknown"
1,"peaks[61]",2145,"unknown"
1,"peaks[62]",2179,"unknown"
1,"peaks[63]",2213,"unknown"
1,"peaks[64]",2247,"unknown"
1,"peaks[65]",2280,"unknown"
1,"peaks[66]",2315,"unknown"
1,"peaks[67]",2349,"unknown"
1,"peaks[68]",2383,"unknown"
1,"peaks[69]",2423,"unknown"
1,"peaks[70]",2452,"unknown"
1,"peaks[71]",2491,"unknown"
1,"peaks[72]",2519,"unknown"
1,"peaks[73]",2553,"unknown"
1,"peaks[74]",2589,"unknown"
1,"peaks[75]",2622,"unknown"
1,"peaks[76]",2657,"unknown"
1,"peaks[77]",2696,"unknown"
1,"peaks[78]",2725,"unknown"
1,"peaks[79]",2765,"unknown"
1,"peaks[80]",2793,"unknown"
1,"peaks[81]",2826,"unknown"
1,"peaks[82]",2860,"unknown"
1,"peaks[83]",2901,"unknown"
1,"peaks[84]",2932,"unknown"
1,"peaks[85]",2962,"unknown"
