"x","y","z","interval_no","runtype","packet_no"
-0.35058594,0.6333008,1.8115234,1,4,1
-0.38427734,0.46875,3.862793,1,4,2
-0.0859375,-0.048339844,5.987793,1,4,3
1.7089844,-2.3774414,5.8066406,1,4,4
2.9316406,0.045898438,3.2875977,1,4,5
11.842285,-0.4404297,3.274414,1,4,6
4.895996,1.3349609,3.9492188,1,4,7
1.6894531,0.5883789,2.3676758,1,4,8
1.5336914,-0.31103516,3.0117188,1,4,9
2.3222656,-0.65771484,2.8964844,1,4,10
3.894043,-0.3491211,3.28125,1,4,11
5.4907227,-0.77978516,3.6816406,1,4,12
5.5410156,-1.2124023,3.338379,1,4,13
3.640625,-1.0805664,2.5493164,1,4,14
2.8666992,-0.9140625,2.194336,1,4,15
2.4960938,-0.65478516,2.1547852,1,4,16
2.6240234,-0.7265625,1.9633789,1,4,17
2.5786133,-0.67871094,2.0058594,1,4,18
2.2094727,-0.6303711,1.8383789,1,4,19
1.7661133,-0.69677734,1.5014648,1,4,20
1.3032227,-0.7788086,1.1298828,1,4,21
0.76660156,-0.7421875,0.9291992,1,4,22
0.32763672,-0.73535156,1.0209961,1,4,23
0.09033203,-0.7714844,1.269043,1,4,24
-0.23535156,-0.4248047,1.1147461,1,4,25
-0.5883789,-0.6323242,0.9741211,1,4,26
-0.4321289,-0.73095703,1.8549805,1,4,27
-0.65771484,-0.30078125,2.1308594,1,4,28
-0.3540039,0.17822266,1.9633789,1,4,29
-0.6933594,0.12451172,1.0195312,1,4,30
-0.8378906,-0.2890625,0.26367188,1,4,31
-0.51123047,-0.7583008,0.5600586,1,4,32
-0.20996094,-0.46826172,1.0283203,1,4,33
0.20947266,-0.6113281,1.6889648,1,4,34
0.66552734,-0.30371094,4.9501953,1,4,35
2.1416016,1.8666992,6.60791,1,4,36
0.2841797,1.7304688,3.4672852,1,4,37
-1.1689453,0.30859375,1.1757812,1,4,38
0.9765625,-0.14941406,1.0244141,1,4,39
4.726074,-1.1821289,2.2319336,1,4,40
4.507324,-1.3178711,4.118164,1,4,41
5.7148438,-3.6376953,3.3564453,1,4,42
8.697266,-0.71240234,6.4243164,1,4,43
1.4750977,0.18310547,2.6362305,1,4,44
2.1679688,-0.045410156,2.1904297,1,4,45
3.828125,-0.69189453,2.7329102,1,4,46
3.9487305,-0.8618164,2.916504,1,4,47
3.3125,0.13183594,2.4194336,1,4,48
2.3344727,0.8310547,2.2451172,1,4,49
2.2817383,1.2202148,2.0058594,1,4,50
2.190918,1.3696289,2.1801758,1,4,51
1.8969727,1.3046875,2.3271484,1,4,52
2.0795898,0.63964844,2.0864258,1,4,53
2.5371094,0.33642578,2.2456055,1,4,54
1.9130859,0.04296875,2.116211,1,4,55
1.3012695,-0.25195312,1.815918,1,4,56
0.5283203,-0.40283203,1.4970703,1,4,57
0.103515625,-0.3955078,1.4609375,1,4,58
0.107421875,-0.044921875,2.052246,1,4,59
0.19384766,0.19921875,2.397461,1,4,60
-0.31982422,0.25976562,1.9814453,1,4,61
-0.94433594,0.3017578,1.8374023,1,4,62
-0.80810547,0.3461914,1.8300781,1,4,63
-1.4682617,0.8413086,1.1118164,1,4,64
-1.2822266,1.019043,0.7211914,1,4,65
-0.94873047,0.71240234,0.4868164,1,4,66
-0.45410156,0.6098633,0.40820312,1,4,67
-0.35888672,0.24414062,1.0810547,1,4,68
-0.2084961,-0.087402344,2.4760742,1,4,69
0.22607422,0.18408203,5.2299805,1,4,70
1.0087891,1.2675781,5.7749023,1,4,71
0.35302734,-0.97753906,4.2353516,1,4,72
-0.5341797,-3.1396484,1.8666992,1,4,73
7.817871,-2.305664,2.4194336,1,4,74
14.817383,-1.8208008,5.6376953,1,4,75
3.2407227,3.0649414,5.2373047,1,4,76
1.2958984,0.5805664,2.5126953,1,4,77
1.6777344,0.42382812,2.4140625,1,4,78
2.915039,0.15283203,2.7509766,1,4,79
5.4038086,0.54003906,4.0117188,1,4,80
5.465332,-0.107421875,3.3085938,1,4,81
3.4589844,-0.7739258,2.4628906,1,4,82
2.586914,-0.76416016,2.0219727,1,4,83
2.2524414,-1.1928711,1.90625,1,4,84
