"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",65,"unknown"
1,"peaks[1]",101,"unknown"
1,"peaks[2]",133,"unknown"
1,"peaks[3]",169,"unknown"
1,"peaks[4]",201,"unknown"
1,"peaks[5]",237,"unknown"
1,"peaks[6]",268,"unknown"
1,"peaks[7]",278,"unknown"
1,"peaks[8]",306,"unknown"
1,"peaks[9]",338,"unknown"
1,"peaks[10]",376,"unknown"
1,"peaks[11]",406,"unknown"
1,"peaks[12]",445,"unknown"
1,"peaks[13]",474,"unknown"
1,"peaks[14]",513,"unknown"
1,"peaks[15]",542,"unknown"
1,"peaks[16]",552,"unknown"
1,"peaks[17]",582,"unknown"
1,"peaks[18]",611,"unknown"
1,"peaks[19]",650,"unknown"
1,"peaks[20]",680,"unknown"
1,"peaks[21]",718,"unknown"
1,"peaks[22]",749,"unknown"
1,"peaks[23]",787,"unknown"
1,"peaks[24]",819,"unknown"
1,"peaks[25]",857,"unknown"
1,"peaks[26]",888,"unknown"
1,"peaks[27]",896,"unknown"
1,"peaks[28]",925,"unknown"
1,"peaks[29]",956,"unknown"
1,"peaks[30]",964,"unknown"
1,"peaks[31]",990,"unknown"
1,"peaks[32]",994,"unknown"
1,"peaks[33]",1024,"unknown"
1,"peaks[34]",1061,"unknown"
1,"peaks[35]",1092,"unknown"
1,"peaks[36]",1130,"unknown"
1,"peaks[37]",1159,"unknown"
1,"peaks[38]",1197,"unknown"
1,"peaks[39]",1226,"unknown"
1,"peaks[40]",1265,"unknown"
1,"peaks[41]",1294,"unknown"
1,"peaks[42]",1303,"unknown"
1,"peaks[43]",1333,"unknown"
1,"peaks[44]",1362,"unknown"
1,"peaks[45]",1401,"unknown"
1,"peaks[46]",1430,"unknown"
1,"peaks[47]",1439,"unknown"
1,"peaks[48]",1470,"unknown"
1,"peaks[49]",1498,"unknown"
1,"peaks[50]",1538,"unknown"
1,"peaks[51]",1565,"unknown"
1,"peaks[52]",1604,"unknown"
1,"peaks[53]",1634,"unknown"
1,"peaks[54]",1673,"unknown"
1,"peaks[55]",1703,"unknown"
1,"peaks[56]",1743,"unknown"
1,"peaks[57]",1772,"unknown"
1,"peaks[58]",1810,"unknown"
1,"peaks[59]",1812,"unknown"
1,"peaks[60]",1842,"unknown"
1,"peaks[61]",1844,"unknown"
1,"peaks[62]",1878,"unknown"
1,"peaks[63]",1884,"unknown"
1,"peaks[64]",1911,"unknown"
1,"peaks[65]",1919,"unknown"
1,"peaks[66]",1947,"unknown"
1,"peaks[67]",1978,"unknown"
1,"peaks[68]",2017,"unknown"
1,"peaks[69]",2047,"unknown"
1,"peaks[70]",2086,"unknown"
1,"peaks[71]",2115,"unknown"
1,"peaks[72]",2155,"unknown"
1,"peaks[73]",2185,"unknown"
1,"peaks[74]",2224,"unknown"
1,"peaks[75]",2254,"unknown"
1,"peaks[76]",2294,"unknown"
1,"peaks[77]",2324,"unknown"
1,"peaks[78]",2364,"unknown"
1,"peaks[79]",2368,"unknown"
1,"peaks[80]",2398,"unknown"
1,"peaks[81]",2426,"unknown"
1,"peaks[82]",2431,"unknown"
1,"peaks[83]",2461,"unknown"
1,"peaks[84]",2471,"unknown"
1,"peaks[85]",2501,"unknown"
1,"peaks[86]",2529,"unknown"
1,"peaks[87]",2569,"unknown"
1,"peaks[88]",2597,"unknown"
1,"peaks[89]",2636,"unknown"
1,"peaks[90]",2665,"unknown"
1,"peaks[91]",2704,"unknown"
1,"peaks[92]",2733,"unknown"
1,"peaks[93]",2770,"unknown"
1,"peaks[94]",2801,"unknown"
1,"peaks[95]",2840,"unknown"
1,"peaks[96]",2869,"unknown"
1,"peaks[97]",2878,"unknown"
1,"peaks[98]",2908,"unknown"
1,"peaks[99]",2912,"unknown"
1,"peaks[100]",2936,"unknown"
1,"peaks[101]",2977,"unknown"
