"x","y","z","interval_no","runtype","packet_no"
1.8603516,0.0073242188,1.1538086,1,4,1
0.8676758,-0.11621094,0.9506836,1,4,2
0.20507812,-0.09326172,0.96435547,1,4,3
-0.22167969,-0.020019531,1.1171875,1,4,4
-0.66748047,-0.021484375,1.3867188,1,4,5
-1.3452148,-0.052246094,1.578125,1,4,6
-1.9526367,-0.07861328,1.5224609,1,4,7
-2.4433594,-0.46240234,1.2802734,1,4,8
-2.8618164,-0.86279297,0.8144531,1,4,9
-2.0952148,-1.078125,0.6459961,1,4,10
-1.1850586,-1.1230469,0.7919922,1,4,11
-0.56152344,-0.9926758,0.8569336,1,4,12
-0.28173828,-0.63916016,1.0419922,1,4,13
-0.079589844,-0.22802734,1.6391602,1,4,14
-0.4169922,0.26904297,3.9506836,1,4,15
-0.17138672,0.42578125,5.0976562,1,4,16
1.9604492,-1.1826172,3.9101562,1,4,17
6.001465,-2.9589844,2.2768555,1,4,18
8.055664,-0.11230469,3.3100586,1,4,19
8.434082,1.71875,3.2128906,1,4,20
5.4404297,2.0864258,2.6259766,1,4,21
2.7875977,1.9624023,1.6337891,1,4,22
0.76123047,1.065918,1.7133789,1,4,23
0.7480469,-0.43359375,1.3803711,1,4,24
2.5131836,-0.8833008,0.52783203,1,4,25
4.751953,-0.9941406,1.1508789,1,4,26
6.5981445,-0.100097656,2.5932617,1,4,27
5.945801,-0.2109375,2.2807617,1,4,28
4.940918,-0.2631836,0.9501953,1,4,29
3.5551758,0.5131836,1.2451172,1,4,30
2.1669922,1.5244141,2.053711,1,4,31
1.7871094,1.4282227,1.2290039,1,4,32
2.1333008,1.0673828,1.0170898,1,4,33
2.4311523,0.6542969,1.625,1,4,34
2.2172852,0.25146484,1.8330078,1,4,35
1.8305664,0.044921875,1.5742188,1,4,36
1.5053711,0.16064453,1.3984375,1,4,37
0.97216797,0.08691406,1.2998047,1,4,38
0.20703125,-0.1508789,1.4360352,1,4,39
-0.46191406,-0.6381836,1.4458008,1,4,40
-1.2441406,-1.1694336,1.409668,1,4,41
-2.0908203,-1.09375,1.3325195,1,4,42
-2.6723633,-0.7817383,1.1606445,1,4,43
-2.7177734,-0.3173828,0.83203125,1,4,44
-2.302246,0.171875,0.7319336,1,4,45
-1.6762695,0.6972656,1.0170898,1,4,46
-1.0966797,0.8100586,1.6337891,1,4,47
-1.1157227,0.4189453,3.737793,1,4,48
-1.2114258,-0.2319336,5.1601562,1,4,49
0.05859375,0.7011719,3.0517578,1,4,50
6.244629,3.3554688,1.3725586,1,4,51
10.18457,0.6542969,0.1875,1,4,52
6.1708984,-3.2358398,2.444336,1,4,53
5.2143555,-3.6669922,2.197754,1,4,54
2.1069336,-3.588379,2.734375,1,4,55
0.8027344,-2.4360352,3.3374023,1,4,56
2.1542969,0.04345703,1.8266602,1,4,57
3.7407227,2.3486328,2.0175781,1,4,58
5.0444336,2.7148438,2.125,1,4,59
5.04834,1.8515625,1.4414062,1,4,60
5.029785,0.97314453,1.043457,1,4,61
