"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",44,"right"
1,"peaks[1]",80,"left"
1,"peaks[2]",112,"right"
1,"peaks[3]",151,"left"
1,"peaks[4]",185,"right"
1,"peaks[5]",220,"left"
1,"peaks[6]",255,"right"
1,"peaks[7]",292,"left"
1,"peaks[8]",327,"right"
1,"peaks[9]",363,"left"
1,"peaks[10]",397,"right"
1,"peaks[11]",434,"left"
1,"peaks[12]",468,"right"
1,"peaks[13]",504,"left"
1,"peaks[14]",538,"right"
1,"peaks[15]",573,"left"
1,"peaks[16]",608,"right"
1,"peaks[17]",643,"left"
1,"peaks[18]",678,"right"
1,"peaks[19]",714,"left"
1,"peaks[20]",748,"right"
1,"peaks[21]",784,"left"
1,"peaks[22]",816,"right"
1,"peaks[23]",851,"left"
1,"peaks[24]",885,"right"
1,"peaks[25]",920,"left"
1,"peaks[26]",953,"right"
1,"peaks[27]",989,"left"
1,"peaks[28]",1022,"right"
1,"peaks[29]",1057,"left"
1,"peaks[30]",1091,"right"
1,"peaks[31]",1126,"left"
1,"peaks[32]",1161,"right"
1,"peaks[33]",1195,"left"
1,"peaks[34]",1229,"right"
1,"peaks[35]",1264,"left"
1,"peaks[36]",1297,"right"
1,"peaks[37]",1331,"left"
1,"peaks[38]",1366,"right"
1,"peaks[39]",1400,"left"
1,"peaks[40]",1434,"right"
1,"peaks[41]",1469,"left"
1,"peaks[42]",1501,"right"
1,"peaks[43]",1536,"left"
1,"peaks[44]",1571,"right"
1,"peaks[45]",1606,"left"
1,"peaks[46]",1639,"right"
1,"peaks[47]",1674,"left"
1,"peaks[48]",1708,"right"
1,"peaks[49]",1742,"left"
1,"peaks[50]",1776,"right"
1,"peaks[51]",1811,"left"
1,"peaks[52]",1845,"right"
1,"peaks[53]",1879,"left"
1,"peaks[54]",1913,"right"
1,"peaks[55]",1947,"left"
1,"peaks[56]",1981,"right"
1,"peaks[57]",2015,"left"
1,"peaks[58]",2048,"right"
1,"peaks[59]",2082,"left"
1,"peaks[60]",2116,"right"
1,"peaks[61]",2150,"left"
1,"peaks[62]",2184,"right"
1,"peaks[63]",2219,"left"
1,"peaks[64]",2252,"right"
1,"peaks[65]",2287,"left"
1,"peaks[66]",2320,"right"
1,"peaks[67]",2354,"left"
1,"peaks[68]",2389,"right"
1,"peaks[69]",2423,"left"
1,"peaks[70]",2457,"right"
1,"peaks[71]",2491,"left"
1,"peaks[72]",2525,"right"
1,"peaks[73]",2558,"left"
1,"peaks[74]",2593,"right"
1,"peaks[75]",2625,"left"
1,"peaks[76]",2659,"right"
1,"peaks[77]",2694,"left"
1,"peaks[78]",2729,"right"
1,"peaks[79]",2763,"left"
1,"peaks[80]",2797,"right"
1,"peaks[81]",2831,"left"
1,"peaks[82]",2865,"right"
1,"peaks[83]",2899,"left"
1,"peaks[84]",2933,"right"
1,"peaks[85]",2966,"left"
