"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",62,"left"
1,"peaks[1]",102,"right"
1,"peaks[2]",140,"left"
1,"peaks[3]",180,"right"
1,"peaks[4]",218,"left"
1,"peaks[5]",258,"right"
1,"peaks[6]",297,"left"
1,"peaks[7]",337,"right"
1,"peaks[8]",374,"left"
1,"peaks[9]",414,"right"
1,"peaks[10]",452,"left"
1,"peaks[11]",493,"right"
1,"peaks[12]",531,"left"
1,"peaks[13]",570,"right"
1,"peaks[14]",608,"left"
1,"peaks[15]",648,"right"
1,"peaks[16]",686,"left"
1,"peaks[17]",726,"right"
1,"peaks[18]",764,"left"
1,"peaks[19]",804,"right"
1,"peaks[20]",842,"left"
1,"peaks[21]",882,"right"
1,"peaks[22]",921,"left"
1,"peaks[23]",960,"right"
1,"peaks[24]",998,"left"
1,"peaks[25]",1039,"right"
1,"peaks[26]",1078,"left"
1,"peaks[27]",1117,"right"
1,"peaks[28]",1155,"left"
1,"peaks[29]",1195,"right"
1,"peaks[30]",1234,"left"
1,"peaks[31]",1273,"right"
1,"peaks[32]",1311,"left"
1,"peaks[33]",1350,"right"
1,"peaks[34]",1388,"left"
1,"peaks[35]",1427,"right"
1,"peaks[36]",1465,"left"
1,"peaks[37]",1505,"right"
1,"peaks[38]",1543,"left"
1,"peaks[39]",1582,"right"
1,"peaks[40]",1621,"left"
1,"peaks[41]",1660,"right"
1,"peaks[42]",1699,"left"
1,"peaks[43]",1738,"right"
1,"peaks[44]",1777,"left"
1,"peaks[45]",1816,"right"
1,"peaks[46]",1854,"left"
1,"peaks[47]",1894,"right"
1,"peaks[48]",1932,"left"
1,"peaks[49]",1972,"right"
1,"peaks[50]",2010,"left"
1,"peaks[51]",2050,"right"
1,"peaks[52]",2088,"left"
1,"peaks[53]",2128,"right"
1,"peaks[54]",2167,"left"
1,"peaks[55]",2206,"right"
1,"peaks[56]",2244,"left"
1,"peaks[57]",2283,"right"
1,"peaks[58]",2322,"left"
1,"peaks[59]",2361,"right"
1,"peaks[60]",2398,"left"
1,"peaks[61]",2438,"right"
1,"peaks[62]",2476,"left"
1,"peaks[63]",2516,"right"
1,"peaks[64]",2555,"left"
1,"peaks[65]",2593,"right"
1,"peaks[66]",2631,"left"
1,"peaks[67]",2670,"right"
1,"peaks[68]",2708,"left"
1,"peaks[69]",2748,"right"
1,"peaks[70]",2786,"left"
1,"peaks[71]",2826,"right"
1,"peaks[72]",2864,"left"
1,"peaks[73]",2905,"right"
1,"peaks[74]",2942,"left"
