"x","y","z","interval_no","runtype","packet_no"
-0.5288086,0.9238281,1.1015625,1,4,1
-0.7944336,0.8120117,1.0209961,1,4,2
-0.86035156,0.52490234,1.0317383,1,4,3
-0.9453125,0.15478516,0.8720703,1,4,4
-0.8520508,-0.15771484,0.6791992,1,4,5
-0.7661133,-0.28466797,0.6113281,1,4,6
-0.66015625,-0.20996094,1.2739258,1,4,7
-0.55029297,0.052246094,2.5898438,1,4,8
-0.6791992,1.0102539,4.956543,1,4,9
-0.3803711,1.0961914,4.3286133,1,4,10
0.12060547,-0.37353516,3.9907227,1,4,11
3.6777344,-7.411621,4.2470703,1,4,12
11.57666,-3.2197266,0.06982422,1,4,13
9.8515625,1.6020508,8.108887,1,4,14
6.1674805,7.3115234,3.0737305,1,4,15
1.7407227,3.6669922,2.6606445,1,4,16
2.336914,1.1650391,4.0722656,1,4,17
5.258301,1.581543,2.815918,1,4,18
6.0112305,0.234375,2.5229492,1,4,19
4.194336,-0.6582031,2.3881836,1,4,20
3.8217773,-0.41503906,2.1391602,1,4,21
4.111328,-0.25927734,1.9052734,1,4,22
3.2236328,-0.48242188,1.7138672,1,4,23
2.7460938,-0.71240234,1.7050781,1,4,24
2.8603516,-0.6484375,1.5947266,1,4,25
2.7524414,-0.32421875,1.6362305,1,4,26
2.274414,-0.09472656,1.5913086,1,4,27
1.7270508,0.21044922,1.5253906,1,4,28
1.6928711,0.2836914,1.2988281,1,4,29
1.3198242,0.13964844,1.2304688,1,4,30
1.0668945,0.015625,1.0551758,1,4,31
0.90625,0.11279297,0.92333984,1,4,32
0.66015625,0.15039062,0.8046875,1,4,33
0.47216797,0.14208984,1.0180664,1,4,34
0.13769531,0.036132812,1.4853516,1,4,35
-0.45947266,-0.17871094,1.5253906,1,4,36
-0.5439453,-0.31347656,1.4257812,1,4,37
-0.84814453,-0.42529297,1.1352539,1,4,38
-1.0839844,-0.34716797,1.046875,1,4,39
-1.0830078,-0.125,1.0610352,1,4,40
-1.0668945,-0.046875,1.0512695,1,4,41
-0.97265625,0.033691406,0.79052734,1,4,42
-0.83691406,0.21386719,0.50097656,1,4,43
-0.6118164,0.21728516,1.1694336,1,4,44
-0.5317383,0.060546875,2.2890625,1,4,45
-0.7792969,-0.15039062,4.4570312,1,4,46
-0.82958984,-1.0751953,3.8100586,1,4,47
-0.4609375,-0.64941406,4.13916,1,4,48
0.76416016,1.1225586,3.817871,1,4,49
14.121094,7.4316406,2.9106445,1,4,50
14.790527,-0.79003906,5.508301,1,4,51
5.885254,-3.8896484,2.583496,1,4,52
0.51220703,-2.4042969,2.899414,1,4,53
1.8271484,0.31201172,3.9033203,1,4,54
5.3754883,-1.2070312,3.1767578,1,4,55
6.0585938,-0.03857422,2.7768555,1,4,56
4.324707,0.22314453,2.4702148,1,4,57
4.0688477,0.36132812,2.2753906,1,4,58
3.6386719,0.107421875,2.006836,1,4,59
3.7304688,0.055664062,1.9233398,1,4,60
3.6723633,-0.023925781,1.8203125,1,4,61
3.2573242,-0.14404297,1.6323242,1,4,62
2.5332031,-0.13427734,1.5908203,1,4,63
1.9257812,-0.16210938,1.4418945,1,4,64
1.6962891,-0.106933594,1.5175781,1,4,65
1.4067383,0.09277344,1.5283203,1,4,66
0.94921875,0.17675781,1.2973633,1,4,67
0.79589844,0.21386719,1.1425781,1,4,68
0.46679688,0.2861328,1.0561523,1,4,69
0.3564453,0.38720703,1.2177734,1,4,70
0.14892578,0.4580078,1.3149414,1,4,71
0.008300781,0.44628906,1.2421875,1,4,72
-0.29589844,0.46679688,1.3183594,1,4,73
-0.50439453,0.5366211,1.2001953,1,4,74
-0.6948242,0.7373047,0.96435547,1,4,75
-0.79003906,0.7763672,0.9555664,1,4,76
-1.0888672,0.4189453,0.9194336,1,4,77
-1.0478516,0.17089844,0.8989258,1,4,78
-0.98583984,-0.12158203,0.7583008,1,4,79
-0.9560547,-0.25146484,0.72509766,1,4,80
-0.8540039,-0.22216797,0.64453125,1,4,81
-0.63720703,-0.13378906,1.5063477,1,4,82
-0.5751953,0.31640625,4.3481445,1,4,83
-0.64746094,1.3393555,5.557617,1,4,84
-0.37353516,1.2880859,5.0439453,1,4,85
0.8256836,-3.4804688,4.8442383,1,4,86
11.325195,-8.19873,3.4482422,1,4,87
12.4609375,-1.3823242,3.9331055,1,4,88
5.6762695,7.3583984,0.28320312,1,4,89
1.9672852,5.9316406,2.5356445,1,4,90
0.65234375,1.1474609,3.8354492,1,4,91
2.774414,1.6777344,3.1958008,1,4,92
6.848633,1.1699219,2.2944336,1,4,93
5.154297,-0.71728516,2.456543,1,4,94
3.3598633,-1.4321289,2.222168,1,4,95
4.0908203,-1.0859375,2.0761719,1,4,96
3.1064453,-0.8232422,1.8637695,1,4,97
2.7783203,-0.86279297,1.7895508,1,4,98
2.899414,-0.5991211,1.7216797,1,4,99
2.597168,-0.15478516,1.6572266,1,4,100
2.3793945,0.20263672,1.6381836,1,4,101
2.1098633,0.6191406,1.6142578,1,4,102
1.7529297,0.5317383,1.4272461,1,4,103
1.3754883,0.33544922,1.2910156,1,4,104
1.0561523,0.17333984,1.1494141,1,4,105
0.87890625,0.19677734,0.9433594,1,4,106
0.7583008,0.24560547,0.8574219,1,4,107
0.7651367,0.24853516,0.7583008,1,4,108
0.4399414,0.2084961,1.1665039,1,4,109
-0.24316406,0.0009765625,1.3398438,1,4,110
-0.4033203,-0.115234375,1.5307617,1,4,111
-0.59375,-0.32714844,1.1586914,1,4,112
-0.7426758,-0.23388672,1.1401367,1,4,113
-0.82714844,-0.18701172,1.0449219,1,4,114
-0.88720703,-0.08496094,1.2114258,1,4,115
-0.88134766,-0.17285156,1.137207,1,4,116
-0.8833008,-0.10205078,0.7246094,1,4,117
