"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",42,"right"
1,"peaks[1]",80,"left"
1,"peaks[2]",117,"right"
1,"peaks[3]",155,"left"
1,"peaks[4]",193,"right"
1,"peaks[5]",230,"left"
1,"peaks[6]",268,"right"
1,"peaks[7]",305,"left"
1,"peaks[8]",342,"right"
1,"peaks[9]",378,"left"
1,"peaks[10]",416,"right"
1,"peaks[11]",453,"left"
1,"peaks[12]",490,"right"
1,"peaks[13]",527,"left"
1,"peaks[14]",564,"right"
1,"peaks[15]",600,"left"
1,"peaks[16]",638,"right"
1,"peaks[17]",675,"left"
1,"peaks[18]",713,"right"
1,"peaks[19]",750,"left"
1,"peaks[20]",787,"right"
1,"peaks[21]",824,"left"
1,"peaks[22]",862,"right"
1,"peaks[23]",899,"left"
1,"peaks[24]",937,"right"
1,"peaks[25]",975,"left"
1,"peaks[26]",1012,"right"
1,"peaks[27]",1049,"left"
1,"peaks[28]",1087,"right"
1,"peaks[29]",1124,"left"
1,"peaks[30]",1161,"right"
1,"peaks[31]",1198,"left"
1,"peaks[32]",1236,"right"
1,"peaks[33]",1274,"left"
1,"peaks[34]",1310,"right"
1,"peaks[35]",1349,"left"
1,"peaks[36]",1386,"right"
1,"peaks[37]",1425,"left"
1,"peaks[38]",1462,"right"
1,"peaks[39]",1501,"left"
1,"peaks[40]",1539,"right"
1,"peaks[41]",1577,"left"
1,"peaks[42]",1615,"right"
1,"peaks[43]",1654,"left"
1,"peaks[44]",1691,"right"
1,"peaks[45]",1728,"left"
1,"peaks[46]",1765,"right"
1,"peaks[47]",1803,"left"
1,"peaks[48]",1841,"right"
1,"peaks[49]",1879,"left"
1,"peaks[50]",1916,"right"
1,"peaks[51]",1954,"left"
1,"peaks[52]",1991,"right"
1,"peaks[53]",2029,"left"
1,"peaks[54]",2066,"right"
1,"peaks[55]",2105,"left"
1,"peaks[56]",2144,"right"
1,"peaks[57]",2181,"left"
1,"peaks[58]",2218,"right"
1,"peaks[59]",2255,"left"
1,"peaks[60]",2293,"right"
1,"peaks[61]",2330,"left"
1,"peaks[62]",2368,"right"
1,"peaks[63]",2405,"left"
1,"peaks[64]",2444,"right"
1,"peaks[65]",2482,"left"
1,"peaks[66]",2519,"right"
1,"peaks[67]",2557,"left"
1,"peaks[68]",2594,"right"
1,"peaks[69]",2632,"left"
1,"peaks[70]",2669,"right"
1,"peaks[71]",2706,"left"
1,"peaks[72]",2743,"right"
1,"peaks[73]",2780,"left"
1,"peaks[74]",2818,"right"
1,"peaks[75]",2856,"left"
1,"peaks[76]",2893,"right"
1,"peaks[77]",2931,"left"
