"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",47,"right"
1,"peaks[1]",81,"left"
1,"peaks[2]",117,"right"
1,"peaks[3]",152,"left"
1,"peaks[4]",189,"right"
1,"peaks[5]",223,"left"
1,"peaks[6]",261,"right"
1,"peaks[7]",296,"left"
1,"peaks[8]",334,"right"
1,"peaks[9]",368,"left"
1,"peaks[10]",407,"right"
1,"peaks[11]",441,"left"
1,"peaks[12]",477,"right"
1,"peaks[13]",510,"left"
1,"peaks[14]",548,"right"
1,"peaks[15]",582,"left"
1,"peaks[16]",619,"right"
1,"peaks[17]",653,"left"
1,"peaks[18]",691,"right"
1,"peaks[19]",725,"left"
1,"peaks[20]",762,"right"
1,"peaks[21]",797,"left"
1,"peaks[22]",833,"right"
1,"peaks[23]",868,"left"
1,"peaks[24]",906,"right"
1,"peaks[25]",939,"left"
1,"peaks[26]",978,"right"
1,"peaks[27]",1012,"left"
1,"peaks[28]",1048,"right"
1,"peaks[29]",1082,"left"
1,"peaks[30]",1119,"right"
1,"peaks[31]",1154,"left"
1,"peaks[32]",1191,"right"
1,"peaks[33]",1225,"left"
1,"peaks[34]",1261,"right"
1,"peaks[35]",1292,"left"
1,"peaks[36]",1332,"right"
1,"peaks[37]",1366,"left"
1,"peaks[38]",1403,"right"
1,"peaks[39]",1438,"left"
1,"peaks[40]",1474,"right"
1,"peaks[41]",1508,"left"
1,"peaks[42]",1547,"right"
1,"peaks[43]",1581,"left"
1,"peaks[44]",1619,"right"
1,"peaks[45]",1653,"left"
1,"peaks[46]",1689,"right"
1,"peaks[47]",1724,"left"
1,"peaks[48]",1762,"right"
1,"peaks[49]",1796,"left"
1,"peaks[50]",1834,"right"
1,"peaks[51]",1869,"left"
1,"peaks[52]",1905,"right"
1,"peaks[53]",1939,"left"
1,"peaks[54]",1976,"right"
1,"peaks[55]",2011,"left"
1,"peaks[56]",2047,"right"
1,"peaks[57]",2080,"left"
1,"peaks[58]",2119,"right"
1,"peaks[59]",2153,"left"
1,"peaks[60]",2190,"right"
1,"peaks[61]",2225,"left"
1,"peaks[62]",2261,"right"
1,"peaks[63]",2294,"left"
1,"peaks[64]",2333,"right"
1,"peaks[65]",2367,"left"
1,"peaks[66]",2404,"right"
1,"peaks[67]",2440,"left"
1,"peaks[68]",2475,"right"
1,"peaks[69]",2510,"left"
1,"peaks[70]",2546,"right"
1,"peaks[71]",2581,"left"
1,"peaks[72]",2618,"right"
1,"peaks[73]",2653,"left"
1,"peaks[74]",2690,"right"
1,"peaks[75]",2724,"left"
1,"peaks[76]",2761,"right"
1,"peaks[77]",2794,"left"
1,"peaks[78]",2831,"right"
1,"peaks[79]",2866,"left"
1,"peaks[80]",2903,"right"
1,"peaks[81]",2937,"left"
