"x","y","z","interval_no","runtype","packet_no"
6.272461,1.1196289,4.194824,1,4,1
5.220215,2.0249023,4.215332,1,4,2
3.6166992,0.9160156,3.6054688,1,4,3
3.354004,-0.123535156,3.3613281,1,4,4
3.145996,-0.8544922,2.9819336,1,4,5
3.0229492,-0.83447266,2.8691406,1,4,6
2.9902344,-1.0654297,2.4829102,1,4,7
3.421875,-0.7495117,2.7036133,1,4,8
3.9379883,-0.70947266,2.465332,1,4,9
3.8486328,-0.30371094,2.5810547,1,4,10
3.7929688,-0.22363281,2.3120117,1,4,11
3.599121,0.16357422,2.5444336,1,4,12
3.493164,0.31396484,2.3427734,1,4,13
3.3017578,0.2783203,2.3720703,1,4,14
2.9233398,0.27294922,2.4985352,1,4,15
2.6850586,0.16601562,2.1845703,1,4,16
2.206543,0.22314453,1.9951172,1,4,17
1.8232422,0.12792969,2.0107422,1,4,18
1.4086914,0.12939453,1.9155273,1,4,19
0.9169922,0.28271484,1.7646484,1,4,20
0.6850586,0.2524414,1.5756836,1,4,21
0.067871094,0.37890625,1.2739258,1,4,22
-0.6958008,0.7661133,0.96875,1,4,23
-1.7280273,0.85009766,0.4033203,1,4,24
-2.3095703,0.45507812,-0.31152344,1,4,25
-2.0297852,0.24511719,-0.36279297,1,4,26
-1.78125,0.037109375,1.0219727,1,4,27
-1.0986328,-0.38964844,1.6210938,1,4,28
-1.1679688,-0.8642578,1.0063477,1,4,29
-1.003418,-1.0810547,1.0869141,1,4,30
-0.4086914,-1.1206055,2.2490234,1,4,31
-0.12841797,-0.7480469,3.150879,1,4,32
0.20947266,-0.76416016,3.5996094,1,4,33
0.8613281,0.27001953,2.975586,1,4,34
1.2802734,2.9638672,2.0429688,1,4,35
2.5742188,1.4501953,3.0302734,1,4,36
3.9785156,-0.29638672,2.775879,1,4,37
4.7250977,-1.8413086,4.7036133,1,4,38
5.821289,-2.265625,4.321289,1,4,39
5.79541,-1.2182617,3.7124023,1,4,40
3.567871,0.51953125,3.6674805,1,4,41
2.7177734,1.0732422,3.0371094,1,4,42
2.6899414,0.71972656,2.9799805,1,4,43
2.8764648,0.5234375,2.8461914,1,4,44
3.253418,0.4453125,2.6982422,1,4,45
3.961914,0.033203125,2.6435547,1,4,46
4.0615234,-0.24804688,2.4873047,1,4,47
3.652832,-0.52246094,2.4125977,1,4,48
