"x","y","z","interval_no","runtype","packet_no"
-0.0546875,0.46826172,1.4584961,1,4,1
-0.42822266,-0.21826172,1.6772461,1,4,2
-0.79003906,-0.03857422,1.28125,1,4,3
-1.2573242,-0.35351562,0.7426758,1,4,4
-1.5195312,-0.40722656,0.50878906,1,4,5
-1.5224609,-0.3876953,0.41357422,1,4,6
-1.2241211,-0.328125,0.43164062,1,4,7
-0.92822266,-0.00390625,0.61035156,1,4,8
-0.7402344,0.23242188,0.98779297,1,4,9
-0.19677734,0.2607422,1.0654297,1,4,10
0.111816406,0.37402344,1.934082,1,4,11
0.15332031,0.62890625,3.5576172,1,4,12
0.72753906,0.46777344,4.2802734,1,4,13
1.2797852,-1.0483398,3.1503906,1,4,14
1.9760742,-2.1523438,2.1230469,1,4,15
4.0439453,-0.546875,3.0219727,1,4,16
5.161133,1.3969727,4.8271484,1,4,17
5.2939453,2.3642578,5.151367,1,4,18
3.480957,1.2602539,4.2490234,1,4,19
2.6489258,-0.36865234,3.3725586,1,4,20
3.1088867,-0.71484375,3.4702148,1,4,21
3.3305664,-0.34423828,3.5893555,1,4,22
3.1611328,-0.49609375,3.2045898,1,4,23
3.3452148,-0.421875,2.8945312,1,4,24
3.722168,-0.16357422,3.0610352,1,4,25
3.6499023,-0.1352539,2.927246,1,4,26
3.5942383,-0.1171875,2.5874023,1,4,27
3.215332,-0.08691406,2.6308594,1,4,28
3.177246,0.091308594,2.612793,1,4,29
3.084961,0.13867188,2.5917969,1,4,30
2.7939453,-0.009765625,2.6069336,1,4,31
2.5126953,-0.19482422,2.4526367,1,4,32
2.1713867,-0.17138672,2.3295898,1,4,33
1.6782227,-0.021972656,2.1435547,1,4,34
1.2001953,0.07714844,2.0439453,1,4,35
0.71972656,0.19238281,1.9765625,1,4,36
0.203125,0.043945312,1.7856445,1,4,37
-0.2290039,-0.033691406,1.4697266,1,4,38
-0.85302734,0.09082031,1.4580078,1,4,39
-1.1865234,0.1303711,1.0131836,1,4,40
-1.3720703,0.07373047,0.7675781,1,4,41
-1.4819336,0.16064453,0.6875,1,4,42
-1.3779297,0.07128906,0.5473633,1,4,43
-1.0947266,0.024414062,0.48046875,1,4,44
-0.7949219,-0.08251953,0.6176758,1,4,45
-0.46191406,-0.31201172,0.85839844,1,4,46
-0.043945312,-0.39257812,1.2612305,1,4,47
0.21044922,-0.57373047,2.0063477,1,4,48
0.22705078,-0.7890625,3.446289,1,4,49
0.9067383,-0.78466797,4.2924805,1,4,50
1.5722656,0.67333984,3.5952148,1,4,51
2.940918,2.1567383,2.855957,1,4,52
4.70459,0.65527344,3.4628906,1,4,53
4.82959,-1.2939453,4.6206055,1,4,54
4.2504883,-2.1118164,3.8251953,1,4,55
3.0390625,-1.5727539,3.6796875,1,4,56
2.4077148,-0.19384766,3.3666992,1,4,57
3.0615234,0.68359375,3.2192383,1,4,58
3.5356445,0.7167969,3.1259766,1,4,59
3.3896484,0.72753906,3.1577148,1,4,60
3.696289,0.41992188,2.9829102,1,4,61
3.7451172,0.24951172,2.8808594,1,4,62
3.6865234,0.20654297,2.7495117,1,4,63
3.456543,0.15673828,2.8310547,1,4,64
3.4052734,-0.059570312,2.7016602,1,4,65
3.307129,-0.16748047,2.4750977,1,4,66
3.0791016,-0.17675781,2.402832,1,4,67
2.6894531,-0.04296875,2.378418,1,4,68
2.1523438,0.033203125,2.072754,1,4,69
1.4702148,-0.1850586,1.9658203,1,4,70
1.0605469,-0.15673828,1.7114258,1,4,71
0.7416992,-0.15478516,1.7143555,1,4,72
0.43945312,-0.044433594,1.5834961,1,4,73
0.123535156,-0.22216797,1.8100586,1,4,74
-0.44970703,-0.11035156,1.671875,1,4,75
-1.065918,-0.4482422,1.0195312,1,4,76
