"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",43,"right"
1,"peaks[1]",79,"left"
1,"peaks[2]",118,"right"
1,"peaks[3]",154,"left"
1,"peaks[4]",190,"right"
1,"peaks[5]",227,"left"
1,"peaks[6]",264,"right"
1,"peaks[7]",300,"left"
1,"peaks[8]",337,"right"
1,"peaks[9]",373,"left"
1,"peaks[10]",409,"right"
1,"peaks[11]",445,"left"
1,"peaks[12]",483,"right"
1,"peaks[13]",519,"left"
1,"peaks[14]",555,"right"
1,"peaks[15]",592,"left"
1,"peaks[16]",629,"right"
1,"peaks[17]",666,"left"
1,"peaks[18]",701,"right"
1,"peaks[19]",738,"left"
1,"peaks[20]",774,"right"
1,"peaks[21]",810,"left"
1,"peaks[22]",848,"right"
1,"peaks[23]",885,"left"
1,"peaks[24]",922,"right"
1,"peaks[25]",959,"left"
1,"peaks[26]",996,"right"
1,"peaks[27]",1033,"left"
1,"peaks[28]",1069,"right"
1,"peaks[29]",1106,"left"
1,"peaks[30]",1142,"right"
1,"peaks[31]",1180,"left"
1,"peaks[32]",1218,"right"
1,"peaks[33]",1254,"left"
1,"peaks[34]",1292,"right"
1,"peaks[35]",1327,"left"
1,"peaks[36]",1365,"right"
1,"peaks[37]",1401,"left"
1,"peaks[38]",1438,"right"
1,"peaks[39]",1475,"left"
1,"peaks[40]",1512,"right"
1,"peaks[41]",1548,"left"
1,"peaks[42]",1587,"right"
1,"peaks[43]",1623,"left"
1,"peaks[44]",1660,"right"
1,"peaks[45]",1696,"left"
1,"peaks[46]",1733,"right"
1,"peaks[47]",1770,"left"
1,"peaks[48]",1806,"right"
1,"peaks[49]",1843,"left"
1,"peaks[50]",1879,"right"
1,"peaks[51]",1916,"left"
1,"peaks[52]",1953,"right"
1,"peaks[53]",1989,"left"
1,"peaks[54]",2024,"right"
1,"peaks[55]",2062,"left"
1,"peaks[56]",2098,"right"
1,"peaks[57]",2136,"left"
1,"peaks[58]",2172,"right"
1,"peaks[59]",2209,"left"
1,"peaks[60]",2245,"right"
1,"peaks[61]",2282,"left"
1,"peaks[62]",2318,"right"
1,"peaks[63]",2355,"left"
1,"peaks[64]",2391,"right"
1,"peaks[65]",2428,"left"
1,"peaks[66]",2465,"right"
1,"peaks[67]",2502,"left"
1,"peaks[68]",2538,"right"
1,"peaks[69]",2575,"left"
1,"peaks[70]",2612,"right"
1,"peaks[71]",2648,"left"
1,"peaks[72]",2685,"right"
1,"peaks[73]",2721,"left"
1,"peaks[74]",2758,"right"
1,"peaks[75]",2794,"left"
1,"peaks[76]",2830,"right"
1,"peaks[77]",2867,"left"
1,"peaks[78]",2903,"right"
1,"peaks[79]",2940,"left"
