"x","y","z","interval_no","runtype","packet_no"
-0.36669922,0.6538086,0.890625,1,4,1
-0.15820312,0.59033203,1.0620117,1,4,2
0.12158203,0.23095703,1.34375,1,4,3
0.17480469,-0.22705078,1.9282227,1,4,4
0.37402344,-0.12841797,3.3364258,1,4,5
1.1176758,0.5292969,4.111328,1,4,6
1.7636719,-0.043945312,3.4521484,1,4,7
1.8183594,-2.7895508,2.8164062,1,4,8
2.8989258,-0.9790039,2.894043,1,4,9
6.0161133,0.45996094,3.4418945,1,4,10
8.596191,1.7329102,4.251465,1,4,11
5.851074,1.6611328,3.5527344,1,4,12
2.7114258,0.390625,2.578125,1,4,13
2.4892578,-0.79296875,2.2475586,1,4,14
3.7358398,-0.7890625,2.4804688,1,4,15
4.510742,-0.71240234,2.3989258,1,4,16
4.054199,-0.87158203,2.3046875,1,4,17
3.625,-0.80859375,2.0141602,1,4,18
3.350586,-0.8276367,1.940918,1,4,19
3.5073242,-0.59277344,1.8583984,1,4,20
3.6293945,-0.28125,1.9038086,1,4,21
3.5498047,0.16845703,1.8779297,1,4,22
3.4804688,0.3798828,1.9179688,1,4,23
3.1342773,0.50390625,1.8095703,1,4,24
2.4550781,0.5415039,1.6982422,1,4,25
1.6601562,0.40478516,1.4316406,1,4,26
0.9145508,0.43603516,1.2910156,1,4,27
0.29052734,0.51953125,1.2211914,1,4,28
0.07763672,0.45654297,1.293457,1,4,29
0.045898438,0.29345703,1.5200195,1,4,30
-0.19384766,-0.04248047,1.5668945,1,4,31
-0.48339844,-0.48242188,1.4599609,1,4,32
-0.8955078,-0.30908203,1.5322266,1,4,33
-1.7617188,-0.24560547,1.0126953,1,4,34
-2.0620117,-0.30615234,0.8925781,1,4,35
-1.3569336,-0.49560547,1.3466797,1,4,36
-0.640625,-0.7241211,1.4775391,1,4,37
-0.35791016,-0.875,1.1547852,1,4,38
-0.04736328,-0.796875,1.1992188,1,4,39
0.05126953,-0.12792969,1.6606445,1,4,40
0.2446289,0.2915039,2.5771484,1,4,41
0.8051758,0.3413086,3.5639648,1,4,42
1.4360352,-0.078125,3.4907227,1,4,43
2.2910156,1.5336914,2.5688477,1,4,44
2.5463867,3.0615234,1.8217773,1,4,45
3.1967773,-0.20166016,2.6464844,1,4,46
4.7944336,-1.6166992,3.3618164,1,4,47
7.083496,-2.8842773,4.3251953,1,4,48
7.9990234,-3.729004,3.25,1,4,49
2.959961,-1.253418,3.2895508,1,4,50
2.300293,0.37353516,2.097168,1,4,51
4.1274414,0.62109375,2.894043,1,4,52
4.996582,0.67626953,2.7060547,1,4,53
3.7578125,0.81689453,2.1464844,1,4,54
2.9936523,0.67333984,1.9116211,1,4,55
2.965332,0.26367188,1.8862305,1,4,56
3.1640625,0.06347656,2.130371,1,4,57
3.3925781,-0.07421875,2.0219727,1,4,58
3.3266602,-0.0009765625,2.0195312,1,4,59
3.0986328,0.12890625,1.9277344,1,4,60
2.786621,0.08935547,1.8232422,1,4,61
2.3999023,-0.20507812,1.840332,1,4,62
2.0957031,-0.53466797,1.546875,1,4,63
1.4003906,-0.8886719,1.4946289,1,4,64
0.63720703,-0.90283203,1.3833008,1,4,65
-0.12109375,-0.76416016,1.3891602,1,4,66
-0.36132812,-0.33496094,1.3027344,1,4,67
