"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",35,"right"
1,"peaks[1]",72,"left"
1,"peaks[2]",109,"right"
1,"peaks[3]",146,"left"
1,"peaks[4]",182,"right"
1,"peaks[5]",219,"left"
1,"peaks[6]",256,"right"
1,"peaks[7]",294,"left"
1,"peaks[8]",330,"right"
1,"peaks[9]",366,"left"
1,"peaks[10]",403,"right"
1,"peaks[11]",440,"left"
1,"peaks[12]",476,"right"
1,"peaks[13]",514,"left"
1,"peaks[14]",552,"right"
1,"peaks[15]",588,"left"
1,"peaks[16]",625,"right"
1,"peaks[17]",662,"left"
1,"peaks[18]",699,"right"
1,"peaks[19]",736,"left"
1,"peaks[20]",773,"right"
1,"peaks[21]",809,"left"
1,"peaks[22]",846,"right"
1,"peaks[23]",883,"left"
1,"peaks[24]",919,"right"
1,"peaks[25]",956,"left"
1,"peaks[26]",993,"right"
1,"peaks[27]",1029,"left"
1,"peaks[28]",1065,"right"
1,"peaks[29]",1103,"left"
1,"peaks[30]",1139,"right"
1,"peaks[31]",1176,"left"
1,"peaks[32]",1213,"right"
1,"peaks[33]",1249,"left"
1,"peaks[34]",1286,"right"
1,"peaks[35]",1323,"left"
1,"peaks[36]",1360,"right"
1,"peaks[37]",1396,"left"
1,"peaks[38]",1433,"right"
1,"peaks[39]",1470,"left"
1,"peaks[40]",1508,"right"
1,"peaks[41]",1544,"left"
1,"peaks[42]",1583,"right"
1,"peaks[43]",1619,"left"
1,"peaks[44]",1655,"right"
1,"peaks[45]",1692,"left"
1,"peaks[46]",1729,"right"
1,"peaks[47]",1765,"left"
1,"peaks[48]",1802,"right"
1,"peaks[49]",1839,"left"
1,"peaks[50]",1874,"right"
1,"peaks[51]",1911,"left"
1,"peaks[52]",1948,"right"
1,"peaks[53]",1984,"left"
1,"peaks[54]",2020,"right"
1,"peaks[55]",2057,"left"
1,"peaks[56]",2092,"right"
1,"peaks[57]",2128,"left"
1,"peaks[58]",2166,"right"
1,"peaks[59]",2202,"left"
1,"peaks[60]",2239,"right"
1,"peaks[61]",2276,"left"
1,"peaks[62]",2312,"right"
1,"peaks[63]",2348,"left"
1,"peaks[64]",2384,"right"
1,"peaks[65]",2421,"left"
1,"peaks[66]",2457,"right"
1,"peaks[67]",2493,"left"
1,"peaks[68]",2531,"right"
1,"peaks[69]",2568,"left"
1,"peaks[70]",2604,"right"
1,"peaks[71]",2640,"left"
1,"peaks[72]",2677,"right"
1,"peaks[73]",2714,"left"
1,"peaks[74]",2750,"right"
1,"peaks[75]",2786,"left"
1,"peaks[76]",2823,"right"
1,"peaks[77]",2857,"left"
1,"peaks[78]",2893,"right"
1,"peaks[79]",2929,"left"
