"x","y","z","interval_no","runtype","packet_no"
0.033203125,0.53466797,2.2978516,1,4,1
-0.107910156,0.21923828,1.8261719,1,4,2
-0.27734375,-0.09472656,1.3652344,1,4,3
-0.42138672,-0.34375,1.1625977,1,4,4
-0.17578125,-0.234375,0.9926758,1,4,5
0.0390625,-0.07128906,1.1347656,1,4,6
0.100097656,0.09863281,2.4780273,1,4,7
0.5800781,0.5185547,5.6191406,1,4,8
1.0024414,-0.38916016,4.913086,1,4,9
2.2026367,-2.4658203,2.9697266,1,4,10
4.7089844,-1.8422852,1.9760742,1,4,11
1.5483398,-0.37060547,2.5332031,1,4,12
0.62060547,0.10839844,1.2006836,1,4,13
3.7382812,1.4672852,1.6054688,1,4,14
5.823242,2.2451172,2.4121094,1,4,15
5.9350586,1.8515625,2.4829102,1,4,16
3.303711,0.7158203,2.5449219,1,4,17
2.4267578,-0.5263672,2.119629,1,4,18
3.4384766,-1.2841797,2.0917969,1,4,19
3.644043,-1.0107422,1.6640625,1,4,20
3.4404297,-0.64697266,1.5581055,1,4,21
3.5751953,-0.075683594,1.6113281,1,4,22
3.3164062,0.27978516,1.6621094,1,4,23
2.7578125,0.359375,1.5878906,1,4,24
2.2875977,0.2915039,1.3881836,1,4,25
1.902832,0.2788086,1.2954102,1,4,26
1.7412109,0.021484375,1.1904297,1,4,27
1.6489258,0.021484375,1.3134766,1,4,28
1.3984375,0.020019531,1.1640625,1,4,29
1.1416016,0.018554688,1.1572266,1,4,30
0.7519531,0.09033203,1.3339844,1,4,31
0.56689453,0.068359375,1.3574219,1,4,32
0.3173828,-0.061035156,1.3354492,1,4,33
-0.018554688,-0.12402344,1.4980469,1,4,34
-0.31982422,-0.040527344,1.7104492,1,4,35
-0.25195312,0.19726562,1.4663086,1,4,36
-0.23291016,0.53125,1.3984375,1,4,37
-0.19433594,0.44726562,1.2695312,1,4,38
-0.16796875,0.2163086,1.0610352,1,4,39
-0.15478516,0.017089844,1.1313477,1,4,40
-0.14501953,-0.27490234,1.7885742,1,4,41
-0.001953125,-0.15039062,4.397949,1,4,42
0.63378906,-1.1020508,7.0219727,1,4,43
0.75097656,-0.7421875,3.7236328,1,4,44
3.2329102,3.7763672,2.7626953,1,4,45
5.7314453,2.8149414,1.1069336,1,4,46
3.536621,0.49560547,1.1918945,1,4,47
3.194336,-2.0234375,1.8989258,1,4,48
4.948242,-3.3657227,2.1157227,1,4,49
4.8496094,-2.8916016,2.4033203,1,4,50
3.5253906,-1.3320312,2.7509766,1,4,51
3.4296875,-0.12158203,2.5830078,1,4,52
3.682129,0.96777344,2.2841797,1,4,53
3.9345703,1.4140625,1.8447266,1,4,54
4.088867,1.1040039,1.6826172,1,4,55
3.8461914,0.51416016,1.6123047,1,4,56
3.524414,0.28564453,1.4516602,1,4,57
3.2905273,-0.032226562,1.5664062,1,4,58
3.052246,-0.28320312,1.5234375,1,4,59
2.8007812,-0.46728516,1.4858398,1,4,60
2.274414,-0.4897461,1.3925781,1,4,61
1.8618164,-0.41015625,1.296875,1,4,62
1.5351562,-0.3227539,1.2207031,1,4,63
1.2832031,-0.23095703,0.9296875,1,4,64
0.94384766,-0.11621094,0.8276367,1,4,65
0.6796875,-0.060546875,0.9589844,1,4,66
0.5839844,0.034179688,1.0722656,1,4,67
0.4321289,0.17333984,1.0371094,1,4,68
0.2705078,0.04345703,1.1357422,1,4,69
0.1743164,-0.019042969,1.527832,1,4,70
0.06982422,0.28271484,1.9526367,1,4,71
-0.1328125,0.3803711,2.0830078,1,4,72
-0.28271484,0.0146484375,1.6855469,1,4,73
-0.51123047,0.012207031,1.3266602,1,4,74
-0.46679688,0.087890625,1.1708984,1,4,75
-0.1459961,0.079589844,1.5595703,1,4,76
0.3125,0.026367188,3.5097656,1,4,77
1.1225586,0.13330078,6.2646484,1,4,78
1.9150391,-1.9052734,4.053711,1,4,79
3.940918,-2.1567383,2.1391602,1,4,80
3.421875,-0.13964844,1.8828125,1,4,81
0.14160156,0.22998047,1.5375977,1,4,82
1.8608398,1.1914062,0.89404297,1,4,83
4.602051,2.0249023,1.9858398,1,4,84
5.3466797,2.0805664,2.290039,1,4,85
3.9882812,1.4287109,2.677246,1,4,86
2.9594727,0.52783203,2.5756836,1,4,87
2.7539062,-0.7402344,2.3398438,1,4,88
3.1186523,-1.1791992,2.0463867,1,4,89
3.487793,-0.8652344,1.7817383,1,4,90
3.5263672,-0.58251953,1.6523438,1,4,91
3.5405273,-0.20117188,1.7919922,1,4,92
3.2539062,0.12060547,1.8032227,1,4,93
2.7963867,0.29833984,1.7827148,1,4,94
2.5761719,0.17236328,1.5644531,1,4,95
2.3735352,0.038085938,1.4736328,1,4,96
2.145996,-0.12011719,1.4697266,1,4,97
1.9438477,-0.1328125,1.425293,1,4,98
1.6743164,-0.13574219,1.1943359,1,4,99
1.4663086,-0.10205078,1.0288086,1,4,100
1.2724609,0.07763672,0.9785156,1,4,101
0.98095703,0.1274414,1.015625,1,4,102
0.6923828,0.041503906,1.0737305,1,4,103
0.38183594,-0.1484375,1.0737305,1,4,104
0.1586914,-0.19677734,1.3149414,1,4,105
-0.1640625,-0.111328125,1.4375,1,4,106
-0.29589844,0.21191406,1.7875977,1,4,107
-0.28564453,0.53466797,1.690918,1,4,108
-0.30126953,0.5,1.4433594,1,4,109
-0.27246094,0.33935547,1.2861328,1,4,110
-0.2211914,0.09326172,1.3945312,1,4,111
-0.1303711,-0.25,1.8833008,1,4,112
0.26123047,-0.017578125,4.8168945,1,4,113
0.84716797,-0.7260742,6.0253906,1,4,114
1.1777344,-0.27294922,3.7387695,1,4,115
3.0083008,3.1401367,2.286621,1,4,116
5.4780273,2.581543,1.0136719,1,4,117
2.8076172,-0.037109375,1.2001953,1,4,118
3.100586,-2.1904297,2.2158203,1,4,119
4.703125,-2.8945312,2.395996,1,4,120
4.908203,-2.5585938,2.8632812,1,4,121
3.9135742,-1.3769531,2.805664,1,4,122
3.402832,-0.115722656,2.5830078,1,4,123
3.5844727,0.6953125,2.241211,1,4,124
3.8925781,0.94970703,1.8657227,1,4,125
4.2055664,0.70751953,1.7666016,1,4,126
4.025879,0.3774414,1.7172852,1,4,127
3.3808594,0.24658203,1.640625,1,4,128
