"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",39,"unknown"
1,"peaks[1]",74,"unknown"
1,"peaks[2]",110,"unknown"
1,"peaks[3]",145,"unknown"
1,"peaks[4]",181,"unknown"
1,"peaks[5]",216,"unknown"
1,"peaks[6]",252,"unknown"
1,"peaks[7]",286,"unknown"
1,"peaks[8]",321,"unknown"
1,"peaks[9]",356,"unknown"
1,"peaks[10]",391,"unknown"
1,"peaks[11]",425,"unknown"
1,"peaks[12]",497,"unknown"
1,"peaks[13]",532,"unknown"
1,"peaks[14]",567,"unknown"
1,"peaks[15]",603,"unknown"
1,"peaks[16]",638,"unknown"
1,"peaks[17]",675,"unknown"
1,"peaks[18]",711,"unknown"
1,"peaks[19]",747,"unknown"
1,"peaks[20]",781,"unknown"
1,"peaks[21]",816,"unknown"
1,"peaks[22]",851,"unknown"
1,"peaks[23]",886,"unknown"
1,"peaks[24]",922,"unknown"
1,"peaks[25]",959,"unknown"
1,"peaks[26]",993,"unknown"
1,"peaks[27]",1028,"unknown"
1,"peaks[28]",1061,"unknown"
1,"peaks[29]",1097,"unknown"
1,"peaks[30]",1132,"unknown"
1,"peaks[31]",1167,"unknown"
1,"peaks[32]",1202,"unknown"
1,"peaks[33]",1239,"unknown"
1,"peaks[34]",1273,"unknown"
1,"peaks[35]",1308,"unknown"
1,"peaks[36]",1342,"unknown"
1,"peaks[37]",1378,"unknown"
1,"peaks[38]",1412,"unknown"
1,"peaks[39]",1447,"unknown"
1,"peaks[40]",1482,"unknown"
1,"peaks[41]",1518,"unknown"
1,"peaks[42]",1552,"unknown"
1,"peaks[43]",1587,"unknown"
1,"peaks[44]",1624,"unknown"
1,"peaks[45]",1660,"unknown"
1,"peaks[46]",1694,"unknown"
1,"peaks[47]",1730,"unknown"
1,"peaks[48]",1765,"unknown"
1,"peaks[49]",1801,"unknown"
1,"peaks[50]",1835,"unknown"
1,"peaks[51]",1870,"unknown"
1,"peaks[52]",1904,"unknown"
1,"peaks[53]",1939,"unknown"
1,"peaks[54]",1974,"unknown"
1,"peaks[55]",2008,"unknown"
1,"peaks[56]",2043,"unknown"
1,"peaks[57]",2078,"unknown"
1,"peaks[58]",2112,"unknown"
1,"peaks[59]",2148,"unknown"
1,"peaks[60]",2183,"unknown"
1,"peaks[61]",2219,"unknown"
1,"peaks[62]",2254,"unknown"
1,"peaks[63]",2289,"unknown"
1,"peaks[64]",2323,"unknown"
1,"peaks[65]",2359,"unknown"
1,"peaks[66]",2394,"unknown"
1,"peaks[67]",2428,"unknown"
1,"peaks[68]",2463,"unknown"
1,"peaks[69]",2500,"unknown"
1,"peaks[70]",2534,"unknown"
1,"peaks[71]",2568,"unknown"
1,"peaks[72]",2602,"unknown"
1,"peaks[73]",2639,"unknown"
1,"peaks[74]",2673,"unknown"
1,"peaks[75]",2709,"unknown"
1,"peaks[76]",2743,"unknown"
1,"peaks[77]",2778,"unknown"
1,"peaks[78]",2812,"unknown"
1,"peaks[79]",2849,"unknown"
1,"peaks[80]",2884,"unknown"
1,"peaks[81]",2920,"unknown"
1,"peaks[82]",2955,"unknown"
