"x","y","z","interval_no","runtype","packet_no"
0.48095703,-0.015625,0.80029297,1,4,1
0.85009766,-0.42333984,0.6298828,1,4,2
1.8823242,-0.76171875,3.1176758,1,4,3
3.586914,-1.5317383,9.24707,1,4,4
7.0439453,-1.28125,1.3666992,1,4,5
6.1484375,-4.1972656,-4.925293,1,4,6
4.487793,0.8017578,0.3876953,1,4,7
4.729004,3.260254,1.3989258,1,4,8
5.961426,2.5493164,2.025879,1,4,9
6.157715,1.0195312,-0.2861328,1,4,10
5.8813477,0.2290039,-0.17871094,1,4,11
5.371582,0.015136719,-0.21289062,1,4,12
4.8583984,-0.13085938,-0.32861328,1,4,13
4.666504,0.37548828,-0.1015625,1,4,14
4.173828,0.26611328,-0.080566406,1,4,15
3.612793,0.1953125,0.18896484,1,4,16
2.9345703,0.32470703,0.95458984,1,4,17
2.449707,0.2915039,1.4453125,1,4,18
1.9067383,0.068847656,1.5029297,1,4,19
1.1777344,-0.42333984,1.6811523,1,4,20
0.6352539,-1.0170898,1.4375,1,4,21
0.59716797,-1.0224609,1.3212891,1,4,22
0.65966797,-0.9448242,2.0141602,1,4,23
0.5883789,-0.78808594,2.6049805,1,4,24
0.57666016,-0.8100586,2.008789,1,4,25
0.6772461,-0.56347656,1.675293,1,4,26
0.29785156,-0.3251953,1.4672852,1,4,27
-0.16259766,-0.2133789,1.6147461,1,4,28
-0.57128906,-0.18408203,1.3046875,1,4,29
-0.89160156,-0.17480469,0.6220703,1,4,30
-0.99609375,-0.16308594,0.88916016,1,4,31
-0.97998047,0.00048828125,0.91796875,1,4,32
-0.7631836,0.1772461,1.0024414,1,4,33
-0.421875,0.26904297,1.4160156,1,4,34
-0.044921875,0.171875,1.1030273,1,4,35
0.27392578,0.2109375,1.2470703,1,4,36
0.5859375,0.111328125,1.4541016,1,4,37
0.60791016,0.04345703,1.8818359,1,4,38
0.4609375,0.09667969,2.1835938,1,4,39
0.40429688,-0.12451172,1.206543,1,4,40
0.2084961,-0.48388672,0.9770508,1,4,41
0.4658203,-1.0620117,2.5795898,1,4,42
2.8496094,-3.0581055,3.807129,1,4,43
7.2529297,0.99560547,0.9667969,1,4,44
14.237305,5.415039,1.9453125,1,4,45
5.8935547,1.8364258,-1.0864258,1,4,46
2.2387695,-3.0625,-0.25439453,1,4,47
3.3979492,-3.2514648,-0.2685547,1,4,48
5.3793945,-1.9609375,0.10107422,1,4,49
7.413574,0.54296875,0.25634766,1,4,50
6.6220703,0.9863281,0.07324219,1,4,51
4.770508,0.09472656,0.09765625,1,4,52
4.3554688,-0.56152344,0.16015625,1,4,53
3.9833984,-0.70410156,0.12451172,1,4,54
3.4697266,-0.68847656,0.1459961,1,4,55
2.7172852,-0.7949219,0.45947266,1,4,56
1.8300781,-0.6621094,0.98291016,1,4,57
1.1987305,-0.40429688,1.1328125,1,4,58
1.078125,-0.1616211,1.5810547,1,4,59
0.8808594,0.24023438,1.7509766,1,4,60
0.47802734,0.75146484,1.4863281,1,4,61
0.32373047,0.91064453,1.3955078,1,4,62
0.24951172,1.0126953,1.7788086,1,4,63
0.15576172,0.84033203,1.684082,1,4,64
0.05908203,0.65966797,1.5722656,1,4,65
-0.16308594,0.4008789,1.4472656,1,4,66
-0.34033203,0.27001953,1.4541016,1,4,67
-0.57128906,0.076171875,1.3945312,1,4,68
-0.76464844,-0.027832031,0.88378906,1,4,69
