"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",71,"unknown"
1,"peaks[1]",109,"unknown"
1,"peaks[2]",149,"unknown"
1,"peaks[3]",187,"unknown"
1,"peaks[4]",226,"unknown"
1,"peaks[5]",264,"unknown"
1,"peaks[6]",304,"unknown"
1,"peaks[7]",344,"unknown"
1,"peaks[8]",383,"unknown"
1,"peaks[9]",422,"unknown"
1,"peaks[10]",462,"unknown"
1,"peaks[11]",500,"unknown"
1,"peaks[12]",539,"unknown"
1,"peaks[13]",578,"unknown"
1,"peaks[14]",618,"unknown"
1,"peaks[15]",657,"unknown"
1,"peaks[16]",697,"unknown"
1,"peaks[17]",736,"unknown"
1,"peaks[18]",774,"unknown"
1,"peaks[19]",811,"unknown"
1,"peaks[20]",851,"unknown"
1,"peaks[21]",890,"unknown"
1,"peaks[22]",931,"unknown"
1,"peaks[23]",969,"unknown"
1,"peaks[24]",1008,"unknown"
1,"peaks[25]",1047,"unknown"
1,"peaks[26]",1086,"unknown"
1,"peaks[27]",1124,"unknown"
1,"peaks[28]",1164,"unknown"
1,"peaks[29]",1202,"unknown"
1,"peaks[30]",1243,"unknown"
1,"peaks[31]",1279,"unknown"
1,"peaks[32]",1319,"unknown"
1,"peaks[33]",1357,"unknown"
1,"peaks[34]",1397,"unknown"
1,"peaks[35]",1436,"unknown"
1,"peaks[36]",1474,"unknown"
1,"peaks[37]",1512,"unknown"
1,"peaks[38]",1551,"unknown"
1,"peaks[39]",1591,"unknown"
1,"peaks[40]",1628,"unknown"
1,"peaks[41]",1667,"unknown"
1,"peaks[42]",1705,"unknown"
1,"peaks[43]",1745,"unknown"
1,"peaks[44]",1785,"unknown"
1,"peaks[45]",1824,"unknown"
1,"peaks[46]",1862,"unknown"
1,"peaks[47]",1902,"unknown"
1,"peaks[48]",1940,"unknown"
1,"peaks[49]",1999,"unknown"
1,"peaks[50]",2039,"unknown"
1,"peaks[51]",2078,"unknown"
1,"peaks[52]",2116,"unknown"
1,"peaks[53]",2154,"unknown"
1,"peaks[54]",2193,"unknown"
1,"peaks[55]",2233,"unknown"
1,"peaks[56]",2271,"unknown"
1,"peaks[57]",2310,"unknown"
1,"peaks[58]",2348,"unknown"
1,"peaks[59]",2388,"unknown"
1,"peaks[60]",2427,"unknown"
1,"peaks[61]",2466,"unknown"
1,"peaks[62]",2505,"unknown"
1,"peaks[63]",2545,"unknown"
1,"peaks[64]",2582,"unknown"
1,"peaks[65]",2621,"unknown"
1,"peaks[66]",2659,"unknown"
1,"peaks[67]",2698,"unknown"
1,"peaks[68]",2736,"unknown"
1,"peaks[69]",2774,"unknown"
1,"peaks[70]",2813,"unknown"
1,"peaks[71]",2852,"unknown"
1,"peaks[72]",2890,"unknown"
1,"peaks[73]",2928,"unknown"
