"x","y","z","interval_no","runtype","packet_no"
-0.6582031,-0.23291016,1.1860352,1,4,1
-0.38183594,-0.28710938,1.3173828,1,4,2
-0.12646484,-0.22265625,1.4667969,1,4,3
0.13916016,-0.03125,1.5742188,1,4,4
0.27734375,0.17382812,1.6391602,1,4,5
0.33935547,0.14648438,1.4990234,1,4,6
0.27148438,0.09033203,1.5444336,1,4,7
0.26904297,-0.36767578,1.3125,1,4,8
0.9848633,-1.2241211,1.6171875,1,4,9
2.4951172,-1.5146484,4.498535,1,4,10
3.3330078,-0.2705078,6.7973633,1,4,11
8.206055,4.1347656,0.49121094,1,4,12
7.4521484,7.102539,-0.60302734,1,4,13
5.1503906,-2.8041992,1.7021484,1,4,14
5.3916016,-5.3427734,-1.4023438,1,4,15
5.470215,-2.9550781,1.2832031,1,4,16
5.9335938,0.22509766,1.0493164,1,4,17
6.4052734,1.4477539,0.8300781,1,4,18
5.713379,1.4067383,0.74560547,1,4,19
5.1499023,0.6982422,0.5419922,1,4,20
4.913574,-0.19873047,0.3881836,1,4,21
4.258789,-0.8457031,0.34277344,1,4,22
3.364746,-1.0439453,0.39892578,1,4,23
2.4833984,-0.9267578,0.7963867,1,4,24
1.9956055,-0.68603516,1.3134766,1,4,25
1.4624023,-0.61376953,1.7963867,1,4,26
0.99365234,-0.44726562,2.239746,1,4,27
0.64941406,-0.5048828,2.3461914,1,4,28
0.16992188,0.13574219,2.4819336,1,4,29
-0.390625,1.0693359,1.9516602,1,4,30
-0.40966797,1.2441406,1.4995117,1,4,31
-0.4248047,0.8935547,1.4125977,1,4,32
-0.4897461,0.5410156,1.1352539,1,4,33
-0.7084961,0.026367188,1.0249023,1,4,34
-0.9243164,-0.19824219,0.9008789,1,4,35
-0.8676758,-0.064941406,0.5917969,1,4,36
-0.6904297,0.19580078,0.69677734,1,4,37
-0.3930664,0.43652344,1.0004883,1,4,38
-0.056152344,0.49951172,1.2119141,1,4,39
0.28173828,0.59277344,1.3955078,1,4,40
0.59814453,0.55859375,1.6606445,1,4,41
0.7138672,0.3876953,1.6918945,1,4,42
0.62841797,0.14160156,1.5605469,1,4,43
0.40673828,-0.18457031,1.4033203,1,4,44
0.14550781,-0.38623047,1.0058594,1,4,45
0.51220703,-0.01953125,1.6020508,1,4,46
2.4296875,-0.14550781,5.142578,1,4,47
3.8173828,0.99902344,9.13916,1,4,48
5.8686523,-4.4575195,2.1689453,1,4,49
5.239258,-9.121094,-5.849121,1,4,50
2.4003906,2.8125,2.6796875,1,4,51
7.3242188,2.7451172,1.6245117,1,4,52
8.827148,5.4248047,1.3540039,1,4,53
5.560547,4.095703,0.9355469,1,4,54
4.7871094,0.27734375,0.82373047,1,4,55
5.5820312,-0.3486328,-0.09814453,1,4,56
4.669922,-0.075683594,0.016601562,1,4,57
4.0786133,0.6542969,0.44433594,1,4,58
3.5820312,1.0244141,0.5053711,1,4,59
3.071289,0.8515625,0.7348633,1,4,60
2.4951172,0.5336914,1.3486328,1,4,61
2.1347656,0.15625,1.7050781,1,4,62
1.7822266,-0.26513672,1.8149414,1,4,63
0.9091797,-0.54785156,1.6992188,1,4,64
0.6113281,-0.6459961,1.6030273,1,4,65
0.6098633,-1.0151367,2.290039,1,4,66
0.63964844,-0.90722656,2.1923828,1,4,67
0.35009766,-0.42529297,1.6518555,1,4,68
-0.07861328,-0.12597656,1.4257812,1,4,69
-0.3725586,0.14550781,1.6914062,1,4,70
-0.7089844,0.46484375,1.8339844,1,4,71
-1.0205078,0.49414062,1.4140625,1,4,72
-1.1831055,0.1977539,1.0922852,1,4,73
-1.0883789,-0.28466797,1.4282227,1,4,74
-0.69091797,-0.35302734,1.3300781,1,4,75
-0.38232422,-0.25439453,1.2602539,1,4,76
0.034179688,-0.28857422,1.4072266,1,4,77
0.375,-0.328125,1.3383789,1,4,78
0.5283203,-0.25976562,1.6269531,1,4,79
0.5444336,-0.118652344,1.7602539,1,4,80
0.32128906,0.038085938,1.4873047,1,4,81
0.019042969,0.05810547,0.99072266,1,4,82
0.022949219,-0.4345703,0.93066406,1,4,83
0.75439453,-1.1376953,1.9599609,1,4,84
2.6982422,-1.7324219,4.1088867,1,4,85
4.5463867,-1.8544922,5.9936523,1,4,86
8.416992,4.6879883,1.9482422,1,4,87
7.6088867,7.8427734,-1.1767578,1,4,88
4.8217773,-3.4575195,1.7519531,1,4,89
5.4731445,-5.522949,-1.5527344,1,4,90
6.276367,-3.0620117,0.18457031,1,4,91
5.741211,-0.65771484,1.4267578,1,4,92
5.9228516,1.0830078,0.55322266,1,4,93
5.6879883,1.3027344,0.29589844,1,4,94
4.8217773,0.26708984,0.43798828,1,4,95
4.1464844,-0.7036133,0.53466797,1,4,96
3.694336,-1.125,0.75390625,1,4,97
3.2705078,-1.1640625,0.93066406,1,4,98
2.5166016,-0.8720703,1.1499023,1,4,99
1.7246094,-0.5361328,1.543457,1,4,100
1.1953125,-0.5058594,2.0859375,1,4,101
0.80078125,-0.35205078,2.4726562,1,4,102
0.4873047,-0.6123047,1.8569336,1,4,103
0.15429688,-0.32421875,1.4287109,1,4,104
-0.4814453,0.4345703,1.2817383,1,4,105
-0.76123047,0.5678711,1.1235352,1,4,106
-0.83984375,0.7841797,1.4555664,1,4,107
-1.0234375,0.7011719,1.3837891,1,4,108
-1.0405273,0.49853516,1.,1,4,109
-0.9345703,0.62890625,0.9663086,1,4,110
-0.73876953,0.87060547,1.1196289,1,4,111
-0.46533203,1.0151367,1.159668,1,4,112
-0.111328125,1.0288086,1.1264648,1,4,113
0.10107422,0.9550781,1.2211914,1,4,114
0.40722656,0.96240234,1.4833984,1,4,115
0.75,0.7158203,1.7416992,1,4,116
0.7338867,0.25878906,1.8486328,1,4,117
0.57128906,-0.09423828,1.6494141,1,4,118
0.8540039,-0.34179688,1.355957,1,4,119
1.9824219,-0.30908203,3.8466797,1,4,120
3.9042969,1.0327148,7.165039,1,4,121
4.4663086,-2.5024414,2.0229492,1,4,122
5.9804688,-7.98291,-3.5888672,1,4,123
2.508789,0.49560547,1.2045898,1,4,124
5.8686523,2.208496,2.0107422,1,4,125
7.7333984,3.550293,1.4116211,1,4,126
5.8789062,4.6381836,1.4555664,1,4,127
4.7475586,0.8544922,1.,1,4,128
5.6000977,-0.27001953,0.13720703,1,4,129
4.9921875,-0.0043945312,0.026367188,1,4,130
4.176758,0.41552734,0.2734375,1,4,131
3.7329102,0.5024414,0.39453125,1,4,132
2.9487305,0.43066406,0.95947266,1,4,133
2.3344727,0.22167969,1.4350586,1,4,134
2.1557617,-0.122558594,1.7207031,1,4,135
1.8237305,-0.41796875,1.762207,1,4,136
1.2363281,-0.6621094,1.7104492,1,4,137
0.9423828,-0.58154297,1.7734375,1,4,138
0.7607422,-0.33154297,2.1293945,1,4,139
0.50341797,-0.94091797,2.2973633,1,4,140
0.09082031,-0.6347656,1.9887695,1,4,141
-0.1508789,-0.125,1.4453125,1,4,142
-0.39160156,0.119628906,1.5063477,1,4,143
-0.55078125,0.20898438,1.5932617,1,4,144
-0.6899414,0.46191406,1.3203125,1,4,145
-0.7294922,0.5996094,0.72558594,1,4,146
-0.7451172,0.5498047,0.8222656,1,4,147
-0.6538086,0.041503906,1.4331055,1,4,148
-0.2788086,0.11328125,1.253418,1,4,149
-0.036621094,0.06738281,1.3759766,1,4,150
0.15478516,-0.03515625,1.5737305,1,4,151
0.38916016,-0.084472656,1.625,1,4,152
0.44433594,-0.012207031,1.6816406,1,4,153
0.2993164,0.07861328,1.8500977,1,4,154
0.3647461,-0.04736328,1.3066406,1,4,155
0.8823242,-1.0454102,1.5478516,1,4,156
2.0986328,-1.8774414,3.5078125,1,4,157
2.9282227,-1.5683594,5.2910156,1,4,158
5.2055664,2.4951172,2.3979492,1,4,159
9.563965,6.395508,0.5986328,1,4,160
5.895996,0.20605469,0.3564453,1,4,161
4.901367,-4.637207,0.32666016,1,4,162
5.3598633,-3.8876953,0.69189453,1,4,163
5.145996,-0.77246094,1.8369141,1,4,164
6.0288086,0.6879883,0.3461914,1,4,165
