"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",36,"left"
1,"peaks[1]",74,"right"
1,"peaks[2]",110,"left"
1,"peaks[3]",147,"right"
1,"peaks[4]",184,"left"
1,"peaks[5]",220,"right"
1,"peaks[6]",256,"left"
1,"peaks[7]",293,"right"
1,"peaks[8]",330,"left"
1,"peaks[9]",365,"right"
1,"peaks[10]",401,"left"
1,"peaks[11]",438,"right"
1,"peaks[12]",475,"left"
1,"peaks[13]",510,"right"
1,"peaks[14]",547,"left"
1,"peaks[15]",583,"right"
1,"peaks[16]",620,"left"
1,"peaks[17]",655,"right"
1,"peaks[18]",692,"left"
1,"peaks[19]",729,"right"
1,"peaks[20]",766,"left"
1,"peaks[21]",801,"right"
1,"peaks[22]",838,"left"
1,"peaks[23]",874,"right"
1,"peaks[24]",910,"left"
1,"peaks[25]",947,"right"
1,"peaks[26]",984,"left"
1,"peaks[27]",1019,"right"
1,"peaks[28]",1055,"left"
1,"peaks[29]",1091,"right"
1,"peaks[30]",1128,"left"
1,"peaks[31]",1164,"right"
1,"peaks[32]",1199,"left"
1,"peaks[33]",1236,"right"
1,"peaks[34]",1270,"left"
1,"peaks[35]",1308,"right"
1,"peaks[36]",1342,"left"
1,"peaks[37]",1377,"right"
1,"peaks[38]",1413,"left"
1,"peaks[39]",1450,"right"
1,"peaks[40]",1488,"left"
1,"peaks[41]",1523,"right"
1,"peaks[42]",1561,"left"
1,"peaks[43]",1596,"right"
1,"peaks[44]",1633,"left"
1,"peaks[45]",1668,"right"
1,"peaks[46]",1706,"left"
1,"peaks[47]",1740,"right"
1,"peaks[48]",1777,"left"
1,"peaks[49]",1812,"right"
1,"peaks[50]",1849,"left"
1,"peaks[51]",1885,"right"
1,"peaks[52]",1922,"left"
1,"peaks[53]",1956,"right"
1,"peaks[54]",1993,"left"
1,"peaks[55]",2030,"right"
1,"peaks[56]",2067,"left"
1,"peaks[57]",2103,"right"
1,"peaks[58]",2140,"left"
1,"peaks[59]",2176,"right"
1,"peaks[60]",2211,"left"
1,"peaks[61]",2247,"right"
1,"peaks[62]",2285,"left"
1,"peaks[63]",2320,"right"
1,"peaks[64]",2358,"left"
1,"peaks[65]",2393,"right"
1,"peaks[66]",2431,"left"
1,"peaks[67]",2467,"right"
1,"peaks[68]",2503,"left"
1,"peaks[69]",2539,"right"
1,"peaks[70]",2576,"left"
1,"peaks[71]",2613,"right"
1,"peaks[72]",2650,"left"
1,"peaks[73]",2684,"right"
1,"peaks[74]",2721,"left"
1,"peaks[75]",2757,"right"
1,"peaks[76]",2794,"left"
1,"peaks[77]",2828,"right"
1,"peaks[78]",2850,"left"
1,"peaks[79]",2884,"right"
1,"peaks[80]",2920,"left"
1,"peaks[81]",2955,"right"
