"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",50,"right"
1,"peaks[1]",85,"left"
1,"peaks[2]",121,"right"
1,"peaks[3]",158,"left"
1,"peaks[4]",195,"right"
1,"peaks[5]",231,"left"
1,"peaks[6]",267,"right"
1,"peaks[7]",304,"left"
1,"peaks[8]",340,"right"
1,"peaks[9]",377,"left"
1,"peaks[10]",412,"right"
1,"peaks[11]",449,"left"
1,"peaks[12]",486,"right"
1,"peaks[13]",523,"left"
1,"peaks[14]",559,"right"
1,"peaks[15]",596,"left"
1,"peaks[16]",632,"right"
1,"peaks[17]",668,"left"
1,"peaks[18]",704,"right"
1,"peaks[19]",741,"left"
1,"peaks[20]",776,"right"
1,"peaks[21]",813,"left"
1,"peaks[22]",850,"right"
1,"peaks[23]",886,"left"
1,"peaks[24]",923,"right"
1,"peaks[25]",958,"left"
1,"peaks[26]",995,"right"
1,"peaks[27]",1031,"left"
1,"peaks[28]",1068,"right"
1,"peaks[29]",1104,"left"
1,"peaks[30]",1140,"right"
1,"peaks[31]",1178,"left"
1,"peaks[32]",1213,"right"
1,"peaks[33]",1250,"left"
1,"peaks[34]",1287,"right"
1,"peaks[35]",1321,"left"
1,"peaks[36]",1358,"right"
1,"peaks[37]",1395,"left"
1,"peaks[38]",1431,"right"
1,"peaks[39]",1467,"left"
1,"peaks[40]",1503,"right"
1,"peaks[41]",1539,"left"
1,"peaks[42]",1575,"right"
1,"peaks[43]",1611,"left"
1,"peaks[44]",1648,"right"
1,"peaks[45]",1684,"left"
1,"peaks[46]",1721,"right"
1,"peaks[47]",1758,"left"
1,"peaks[48]",1793,"right"
1,"peaks[49]",1829,"left"
1,"peaks[50]",1865,"right"
1,"peaks[51]",1902,"left"
1,"peaks[52]",1938,"right"
1,"peaks[53]",1975,"left"
1,"peaks[54]",2011,"right"
1,"peaks[55]",2048,"left"
1,"peaks[56]",2083,"right"
1,"peaks[57]",2120,"left"
1,"peaks[58]",2155,"right"
1,"peaks[59]",2193,"left"
1,"peaks[60]",2228,"right"
1,"peaks[61]",2266,"left"
1,"peaks[62]",2301,"right"
1,"peaks[63]",2337,"left"
1,"peaks[64]",2373,"right"
1,"peaks[65]",2411,"left"
1,"peaks[66]",2447,"right"
1,"peaks[67]",2483,"left"
1,"peaks[68]",2520,"right"
1,"peaks[69]",2556,"left"
1,"peaks[70]",2594,"right"
1,"peaks[71]",2629,"left"
1,"peaks[72]",2664,"right"
1,"peaks[73]",2701,"left"
1,"peaks[74]",2738,"right"
1,"peaks[75]",2774,"left"
1,"peaks[76]",2810,"right"
1,"peaks[77]",2847,"left"
1,"peaks[78]",2884,"right"
1,"peaks[79]",2919,"left"
1,"peaks[80]",2955,"right"
