"x","y","z","interval_no","runtype","packet_no"
0.7753906,0.13134766,1.8212891,1,4,1
0.8408203,-0.14746094,1.5917969,1,4,2
0.8959961,-0.012207031,1.8188477,1,4,3
1.262207,0.22070312,3.0791016,1,4,4
2.3701172,0.7163086,7.8530273,1,4,5
4.176758,-0.7573242,5.7890625,1,4,6
5.57666,-6.989746,-3.628418,1,4,7
1.3671875,-1.2768555,1.1831055,1,4,8
4.671875,1.6513672,4.6938477,1,4,9
9.19873,4.151367,0.7817383,1,4,10
7.246582,5.2993164,0.91015625,1,4,11
4.0151367,1.2539062,2.2387695,1,4,12
5.515625,0.6489258,1.3066406,1,4,13
5.4072266,0.99072266,0.9404297,1,4,14
5.0131836,0.6660156,0.8144531,1,4,15
4.319824,0.9086914,0.7919922,1,4,16
3.5898438,0.63378906,0.62109375,1,4,17
2.7993164,0.34765625,0.9199219,1,4,18
2.0878906,0.21923828,1.3012695,1,4,19
1.9780273,0.24414062,1.8032227,1,4,20
1.8012695,0.00048828125,1.9418945,1,4,21
1.0869141,-0.075683594,2.0610352,1,4,22
0.8911133,-0.4189453,2.2841797,1,4,23
0.7446289,-1.0053711,2.569336,1,4,24
0.20507812,-1.5063477,2.4106445,1,4,25
-0.01171875,-1.0952148,1.8725586,1,4,26
-0.22167969,-0.44873047,1.3598633,1,4,27
-0.5126953,-0.11328125,1.5361328,1,4,28
-0.81347656,0.06347656,1.5703125,1,4,29
-0.8720703,0.2265625,1.0800781,1,4,30
-0.98583984,0.28222656,0.9003906,1,4,31
-0.99902344,0.06298828,1.2524414,1,4,32
-0.7470703,0.08935547,1.5239258,1,4,33
-0.5385742,0.013671875,1.7060547,1,4,34
-0.25976562,-0.13134766,1.699707,1,4,35
0.17285156,-0.0859375,1.5805664,1,4,36
0.3564453,0.075683594,1.652832,1,4,37
0.42333984,0.22802734,1.4169922,1,4,38
0.38671875,0.30908203,0.99658203,1,4,39
0.58447266,-0.24707031,1.0576172,1,4,40
0.97998047,-1.0585938,2.4101562,1,4,41
2.1674805,-1.6791992,6.774414,1,4,42
3.5063477,-2.3203125,6.392578,1,4,43
10.038086,4.0268555,1.8071289,1,4,44
6.7060547,7.5288086,-1.690918,1,4,45
4.276367,-3.2695312,2.8286133,1,4,46
6.4179688,-3.4750977,1.015625,1,4,47
5.8847656,-1.7607422,1.8242188,1,4,48
5.455078,-0.15332031,1.6367188,1,4,49
5.7373047,0.30664062,1.1391602,1,4,50
4.7924805,0.15478516,0.9404297,1,4,51
4.8120117,-0.32714844,0.94140625,1,4,52
4.054199,-0.5161133,0.83984375,1,4,53
3.3374023,-0.62646484,0.92626953,1,4,54
2.774414,-0.5253906,1.0932617,1,4,55
2.1489258,-0.57421875,1.4121094,1,4,56
1.7041016,-0.6386719,1.8017578,1,4,57
1.2167969,-0.47021484,2.03125,1,4,58
0.7529297,-0.3100586,2.2661133,1,4,59
0.56347656,-0.44189453,2.3588867,1,4,60
0.20996094,0.4165039,2.291504,1,4,61
-0.1977539,1.4238281,2.0039062,1,4,62
-0.2133789,1.4238281,1.2553711,1,4,63
-0.59228516,1.1777344,0.94873047,1,4,64
-0.85546875,0.9453125,1.1665039,1,4,65
-0.98095703,0.24609375,1.1108398,1,4,66
-0.9370117,-0.39501953,0.75439453,1,4,67
-0.7734375,-0.66015625,0.6269531,1,4,68
-0.74658203,-0.5292969,0.921875,1,4,69
-0.47753906,-0.17871094,1.1259766,1,4,70
-0.10107422,0.17529297,1.6352539,1,4,71
0.1538086,0.50097656,2.1132812,1,4,72
0.4580078,0.24316406,1.6850586,1,4,73
0.6088867,-0.18310547,1.6625977,1,4,74
0.70703125,-0.19824219,1.8012695,1,4,75
0.8691406,0.19628906,2.2055664,1,4,76
1.4619141,0.66748047,5.038574,1,4,77
2.1953125,1.2832031,7.012207,1,4,78
3.9545898,-2.7529297,3.0864258,1,4,79
5.330078,-4.9282227,-2.0063477,1,4,80
3.5444336,0.44189453,3.9907227,1,4,81
6.617676,1.6396484,1.5864258,1,4,82
8.92334,6.5268555,1.0429688,1,4,83
4.6811523,2.690918,1.3823242,1,4,84
4.773926,0.01953125,2.0493164,1,4,85
5.7441406,0.8276367,0.9267578,1,4,86
4.6918945,0.043945312,1.2509766,1,4,87
4.282715,0.39257812,0.6616211,1,4,88
3.8017578,0.41455078,0.8520508,1,4,89
3.0859375,0.2084961,0.8183594,1,4,90
2.378418,-0.05078125,1.1450195,1,4,91
2.0795898,0.32177734,1.5546875,1,4,92
1.7827148,0.2055664,1.8334961,1,4,93
1.1293945,-0.09716797,2.0185547,1,4,94
0.9453125,-0.3696289,2.362793,1,4,95
0.8388672,-0.61572266,2.5766602,1,4,96
0.5180664,-0.65527344,2.440918,1,4,97
0.1665039,-0.78515625,2.1235352,1,4,98
-0.16503906,-0.41601562,1.7304688,1,4,99
-0.3383789,0.08691406,1.3896484,1,4,100
-0.55615234,0.28857422,1.3540039,1,4,101
-0.61035156,0.32617188,1.1967773,1,4,102
-0.56689453,0.48779297,0.7895508,1,4,103
-0.7363281,0.26953125,1.0205078,1,4,104
-0.7758789,-0.38183594,1.4033203,1,4,105
-0.4819336,-0.17578125,1.5585938,1,4,106
-0.27783203,-0.099121094,1.6928711,1,4,107
-0.23486328,-0.14648438,1.8378906,1,4,108
-0.018066406,-0.099609375,1.7807617,1,4,109
0.083496094,0.106933594,1.8520508,1,4,110
0.114746094,0.28222656,1.5356445,1,4,111
0.3955078,-0.09082031,1.331543,1,4,112
0.7363281,-0.81347656,2.2324219,1,4,113
1.8242188,-1.5537109,5.354492,1,4,114
2.4291992,-1.9306641,6.5615234,1,4,115
5.2841797,1.8603516,2.2963867,1,4,116
8.708984,7.505371,-1.9838867,1,4,117
5.2475586,-0.9536133,1.5400391,1,4,118
5.239258,-4.5131836,1.2666016,1,4,119
6.35791,-2.293457,0.93603516,1,4,120
4.831543,-0.7104492,2.2451172,1,4,121
6.28125,0.89160156,1.2856445,1,4,122
5.8217773,0.6928711,0.75927734,1,4,123
4.991211,0.11425781,0.9189453,1,4,124
5.2060547,-0.2631836,0.97265625,1,4,125
4.633789,-0.7607422,0.8569336,1,4,126
3.7807617,-0.9213867,0.8491211,1,4,127
3.125,-0.98876953,0.78027344,1,4,128
2.3330078,-0.8935547,1.2070312,1,4,129
1.6499023,-0.7607422,1.5678711,1,4,130
0.9946289,-0.72802734,1.8041992,1,4,131
0.88720703,-0.546875,2.2539062,1,4,132
0.6816406,-0.2241211,2.6210938,1,4,133
0.10205078,0.5629883,2.8676758,1,4,134
-0.25634766,1.4790039,2.3710938,1,4,135
-0.46728516,1.9262695,1.625,1,4,136
-0.78125,1.8818359,1.1435547,1,4,137
-1.1274414,1.4091797,0.88134766,1,4,138
-1.3178711,0.7314453,0.91064453,1,4,139
-1.1074219,0.23925781,0.86035156,1,4,140
-0.9428711,-0.23925781,0.9448242,1,4,141
-0.81396484,-0.3701172,1.2333984,1,4,142
-0.49316406,-0.32470703,1.3217773,1,4,143
-0.12792969,-0.033203125,1.4267578,1,4,144
0.28125,0.19042969,1.5639648,1,4,145
0.7524414,-0.11425781,1.4057617,1,4,146
0.96972656,-0.44482422,1.3813477,1,4,147
0.94091797,-0.3017578,1.1879883,1,4,148
1.0800781,0.11328125,1.4560547,1,4,149
1.5561523,0.65722656,2.9379883,1,4,150
2.8730469,1.3510742,7.9594727,1,4,151
3.159668,1.5419922,7.366699,1,4,152
6.6933594,-6.5791016,-2.1542969,1,4,153
3.275879,-3.2958984,0.119628906,1,4,154
5.330078,3.1669922,3.847168,1,4,155
9.165527,5.961914,0.46972656,1,4,156
5.895508,3.090332,0.61083984,1,4,157
4.739258,0.69677734,2.5541992,1,4,158
5.20166,0.4765625,0.6899414,1,4,159
4.9038086,-0.1459961,1.019043,1,4,160
4.3168945,0.3881836,0.67871094,1,4,161
3.817871,0.4296875,0.68408203,1,4,162
3.1376953,0.5229492,0.8852539,1,4,163
2.369629,0.40478516,1.0546875,1,4,164
1.796875,0.5551758,1.4326172,1,4,165
1.7631836,0.27246094,1.7426758,1,4,166
0.99072266,-0.20507812,1.9580078,1,4,167
0.60253906,-0.56396484,2.0141602,1,4,168
0.7392578,-0.8964844,2.4516602,1,4,169
0.38916016,-1.2246094,2.4604492,1,4,170
-0.084472656,-1.0322266,1.918457,1,4,171
-0.55322266,-0.56640625,1.4707031,1,4,172
