"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",101,"right"
1,"Rpeaks[1]",138,"left"
1,"Rpeaks[2]",177,"right"
1,"Rpeaks[3]",213,"left"
1,"Rpeaks[4]",249,"right"
1,"Rpeaks[5]",286,"left"
1,"Rpeaks[6]",326,"right"
1,"Rpeaks[7]",361,"left"
1,"Rpeaks[8]",399,"right"
1,"Rpeaks[9]",436,"left"
1,"Rpeaks[10]",473,"right"
1,"Rpeaks[11]",509,"left"
1,"Rpeaks[12]",548,"right"
1,"Rpeaks[13]",586,"left"
1,"Rpeaks[14]",621,"right"
1,"Rpeaks[15]",659,"left"
1,"Rpeaks[16]",696,"right"
1,"Rpeaks[17]",734,"left"
1,"Rpeaks[18]",770,"right"
1,"Rpeaks[19]",810,"left"
1,"Rpeaks[20]",844,"right"
1,"Rpeaks[21]",883,"left"
1,"Rpeaks[22]",919,"right"
1,"Rpeaks[23]",955,"left"
1,"Rpeaks[24]",993,"right"
1,"Rpeaks[25]",1030,"left"
1,"Rpeaks[26]",1068,"right"
1,"Rpeaks[27]",1105,"left"
1,"Rpeaks[28]",1142,"right"
1,"Rpeaks[29]",1180,"left"
1,"Rpeaks[30]",1216,"right"
1,"Rpeaks[31]",1253,"left"
1,"Rpeaks[32]",1291,"right"
1,"Rpeaks[33]",1333,"left"
1,"Rpeaks[34]",1366,"right"
1,"Rpeaks[35]",1403,"left"
1,"Rpeaks[36]",1441,"right"
1,"Rpeaks[37]",1482,"left"
1,"Rpeaks[38]",1515,"right"
1,"Rpeaks[39]",1552,"left"
1,"Rpeaks[40]",1591,"right"
1,"Rpeaks[41]",1628,"left"
1,"Rpeaks[42]",1665,"right"
1,"Rpeaks[43]",1703,"left"
1,"Rpeaks[44]",1739,"right"
1,"Rpeaks[45]",1775,"left"
1,"Rpeaks[46]",1814,"right"
1,"Rpeaks[47]",1849,"left"
1,"Rpeaks[48]",1888,"right"
1,"Rpeaks[49]",1926,"left"
1,"Rpeaks[50]",1963,"right"
1,"Rpeaks[51]",2000,"left"
1,"Rpeaks[52]",2037,"right"
1,"Rpeaks[53]",2074,"left"
1,"Rpeaks[54]",2111,"right"
1,"Rpeaks[55]",2150,"left"
1,"Rpeaks[56]",2187,"right"
1,"Rpeaks[57]",2226,"left"
1,"Rpeaks[58]",2263,"right"
1,"Rpeaks[59]",2301,"left"
1,"Rpeaks[60]",2337,"right"
1,"Rpeaks[61]",2373,"left"
1,"Rpeaks[62]",2411,"right"
1,"Rpeaks[63]",2450,"left"
1,"Rpeaks[64]",2484,"right"
1,"Rpeaks[65]",2523,"left"
1,"Rpeaks[66]",2560,"right"
1,"Rpeaks[67]",2598,"left"
1,"Rpeaks[68]",2635,"right"
1,"Rpeaks[69]",2672,"left"
1,"Rpeaks[70]",2711,"right"
1,"Rpeaks[71]",2748,"left"
1,"Rpeaks[72]",2784,"right"
1,"Rpeaks[73]",2824,"left"
1,"Rpeaks[74]",2861,"right"
1,"Rpeaks[75]",2898,"left"
1,"Rpeaks[76]",2936,"right"
