"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",92
1,"Rpeaks[1]",129
1,"Rpeaks[2]",166
1,"Rpeaks[3]",205
1,"Rpeaks[4]",242
1,"Rpeaks[5]",282
1,"Rpeaks[6]",319
1,"Rpeaks[7]",357
1,"Rpeaks[8]",396
1,"Rpeaks[9]",432
1,"Rpeaks[10]",470
1,"Rpeaks[11]",509
1,"Rpeaks[12]",547
1,"Rpeaks[13]",584
1,"Rpeaks[14]",622
1,"Rpeaks[15]",659
1,"Rpeaks[16]",698
1,"Rpeaks[17]",735
1,"Rpeaks[18]",774
1,"Rpeaks[19]",812
1,"Rpeaks[20]",850
1,"Rpeaks[21]",889
1,"Rpeaks[22]",926
1,"Rpeaks[23]",964
1,"Rpeaks[24]",1004
1,"Rpeaks[25]",1041
1,"Rpeaks[26]",1079
1,"Rpeaks[27]",1117
1,"Rpeaks[28]",1154
1,"Rpeaks[29]",1192
1,"Rpeaks[30]",1232
1,"Rpeaks[31]",1267
1,"Rpeaks[32]",1308
1,"Rpeaks[33]",1345
1,"Rpeaks[34]",1384
1,"Rpeaks[35]",1422
1,"Rpeaks[36]",1461
1,"Rpeaks[37]",1499
1,"Rpeaks[38]",1537
1,"Rpeaks[39]",1574
1,"Rpeaks[40]",1612
1,"Rpeaks[41]",1649
1,"Rpeaks[42]",1687
1,"Rpeaks[43]",1725
1,"Rpeaks[44]",1764
1,"Rpeaks[45]",1802
1,"Rpeaks[46]",1840
1,"Rpeaks[47]",1878
1,"Rpeaks[48]",1916
1,"Rpeaks[49]",1953
1,"Rpeaks[50]",1992
1,"Rpeaks[51]",2028
1,"Rpeaks[52]",2067
1,"Rpeaks[53]",2105
1,"Rpeaks[54]",2143
1,"Rpeaks[55]",2180
1,"Rpeaks[56]",2219
1,"Rpeaks[57]",2256
1,"Rpeaks[58]",2295
1,"Rpeaks[59]",2332
1,"Rpeaks[60]",2369
1,"Rpeaks[61]",2407
1,"Rpeaks[62]",2445
1,"Rpeaks[63]",2483
1,"Rpeaks[64]",2521
1,"Rpeaks[65]",2558
1,"Rpeaks[66]",2597
1,"Rpeaks[67]",2635
1,"Rpeaks[68]",2673
1,"Rpeaks[69]",2710
1,"Rpeaks[70]",2748
1,"Rpeaks[71]",2787
1,"Rpeaks[72]",2824
1,"Rpeaks[73]",2861
1,"Rpeaks[74]",2902
1,"Rpeaks[75]",2937
