"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
4.777832,-0.37353516,1.3730469,1,0,1,1,1,4
4.809082,-0.42822266,1.4726562,1,0,2,1,1,4
4.7250977,-0.57910156,1.5454102,1,0,3,1,1,4
4.510254,-0.68408203,1.6591797,1,0,4,1,1,4
3.7695312,-0.63427734,1.7124023,1,0,5,1,1,4
2.7763672,-0.5966797,1.8056641,1,0,6,1,1,4
1.9101562,-0.4921875,1.6777344,1,0,7,1,1,4
1.1137695,-0.39746094,1.737793,1,0,8,1,1,4
0.54785156,-0.22314453,1.6616211,1,0,9,1,1,4
0.17675781,-0.04638672,1.6708984,1,0,10,1,1,4
-0.0126953125,0.19189453,2.1103516,1,0,11,1,1,4
-0.31640625,0.62109375,2.1245117,1,0,12,1,1,4
-0.97998047,0.8232422,2.309082,1,0,13,1,1,4
-1.3491211,0.6191406,2.3862305,1,0,14,1,1,4
-1.6396484,0.27001953,1.9213867,1,0,15,1,1,4
-1.8647461,0.12646484,1.4272461,1,0,16,1,1,4
-1.7851562,-0.03466797,1.309082,1,0,17,1,1,4
-1.2724609,-0.4975586,1.3735352,1,0,18,1,1,4
-0.83935547,-0.8305664,1.2070312,1,0,19,2,1,4
-0.36621094,-0.96240234,1.1513672,1,0,20,2,1,4
0.013183594,-0.8383789,1.2055664,1,0,21,2,1,4
0.18310547,-0.65966797,1.3745117,1,0,22,2,1,4
0.1977539,-0.54052734,1.546875,1,0,23,2,1,4
0.2939453,-0.4267578,1.8115234,1,0,24,2,1,4
-0.057617188,-0.22021484,2.4794922,1,0,25,2,1,4
0.0068359375,-0.16601562,2.8496094,1,0,26,2,1,4
0.78515625,0.07519531,2.9560547,1,0,27,2,1,4
1.4130859,-0.011230469,2.8066406,1,0,28,2,1,4
1.6479492,-0.7207031,2.2080078,1,0,29,2,1,4
3.2807617,0.18066406,2.1484375,1,0,30,2,1,4
5.1328125,1.3046875,2.5908203,1,0,31,2,1,4
6.805176,2.4077148,2.5512695,1,0,32,2,1,4
8.295898,2.6723633,2.3735352,1,0,33,2,1,4
5.501953,2.2167969,2.2670898,1,0,34,2,1,4
3.352539,1.5375977,1.940918,1,0,35,2,1,4
3.897461,1.0366211,2.116211,1,0,36,2,1,4
4.5791016,0.7338867,1.9633789,1,0,37,3,1,4
5.104004,0.9370117,1.8349609,1,0,38,3,1,4
5.0546875,1.050293,1.7416992,1,0,39,3,1,4
4.9101562,0.88720703,1.6245117,1,0,40,3,1,4
4.8842773,0.86376953,1.6850586,1,0,41,3,1,4
4.369629,0.7133789,1.6201172,1,0,42,3,1,4
3.9033203,0.6113281,1.6035156,1,0,43,3,1,4
3.2753906,0.61328125,1.6879883,1,0,44,3,1,4
2.4614258,0.54296875,1.5546875,1,0,45,3,1,4
1.7470703,0.3359375,1.5449219,1,0,46,3,1,4
1.2617188,0.1303711,1.5175781,1,0,47,3,1,4
0.68115234,-0.083496094,1.5,1,0,48,3,1,4
0.1015625,-0.31884766,1.5981445,1,0,49,3,1,4
-0.3774414,-0.6669922,1.8012695,1,0,50,3,1,4
-1.0961914,-1.0737305,1.9091797,1,0,51,3,1,4
-1.6938477,-1.1245117,1.8212891,1,0,52,3,1,4
-1.7319336,-0.6381836,1.8618164,1,0,53,3,1,4
-1.5786133,-0.19921875,1.5302734,1,0,54,3,1,4
-1.4267578,0.06982422,1.590332,1,0,55,4,1,4
-1.2646484,0.32861328,1.4335938,1,0,56,4,1,4
-0.89208984,0.78564453,1.362793,1,0,57,4,1,4
-0.51220703,0.9296875,1.3178711,1,0,58,4,1,4
-0.2368164,0.8779297,1.3193359,1,0,59,4,1,4
0.037597656,0.70947266,1.5297852,1,0,60,4,1,4
0.17480469,0.66845703,1.8393555,1,0,61,4,1,4
0.1694336,0.49902344,1.9765625,1,0,62,4,1,4
-0.05419922,0.43359375,2.614746,1,0,63,4,1,4
-0.3540039,0.47265625,3.4291992,1,0,64,4,1,4
-0.33544922,0.48388672,4.1557617,1,0,65,4,1,4
0.93652344,0.25,2.5214844,1,0,66,4,1,4
2.4267578,0.6098633,2.1865234,1,0,67,4,1,4
3.4345703,0.9604492,1.9472656,1,0,68,4,1,4
5.5615234,-0.103515625,2.09375,1,0,69,4,1,4
8.018066,-2.022461,2.8813477,1,0,70,4,1,4
6.3496094,-3.0957031,2.6884766,1,0,71,4,1,4
2.9433594,-2.9277344,2.1401367,1,0,72,4,1,4
4.3325195,-1.8579102,2.390625,1,0,73,5,1,4
4.538574,-1.2431641,2.458496,1,0,74,5,1,4
4.163086,-0.97265625,2.0942383,1,0,75,5,1,4
5.270508,-0.62939453,2.178711,1,0,76,5,1,4
4.842285,-0.2055664,1.9707031,1,0,77,5,1,4
4.8032227,-0.115722656,1.784668,1,0,78,5,1,4
4.7871094,-0.07421875,1.7636719,1,0,79,5,1,4
4.411133,0.03125,1.6992188,1,0,80,5,1,4
4.027832,-0.109375,1.9101562,1,0,81,5,1,4
3.265625,-0.28564453,2.0859375,1,0,82,5,1,4
2.413086,-0.42333984,1.8994141,1,0,83,5,1,4
1.6494141,-0.2446289,1.8227539,1,0,84,5,1,4
0.8979492,-0.08105469,1.605957,1,0,85,5,1,4
0.45361328,0.05859375,1.5849609,1,0,86,5,1,4
0.12597656,0.13671875,1.6523438,1,0,87,5,1,4
-0.2265625,0.27685547,1.815918,1,0,88,5,1,4
-0.66308594,0.54003906,1.7402344,1,0,89,5,1,4
-0.96533203,0.5644531,1.887207,1,0,90,5,1,4
-1.2480469,0.18798828,2.0136719,1,0,91,6,1,4
-1.4663086,0.22558594,1.7094727,1,0,92,6,1,4
-1.4716797,0.061523438,1.5888672,1,0,93,6,1,4
-1.2763672,-0.46728516,1.4316406,1,0,94,6,1,4
-1.0717773,-0.9692383,1.1943359,1,0,95,6,1,4
-0.8222656,-1.1352539,1.0009766,1,0,96,6,1,4
-0.36767578,-1.0185547,0.9682617,1,0,97,6,1,4
-0.18945312,-0.7836914,1.0131836,1,0,98,6,1,4
-0.10595703,-0.74560547,1.3686523,1,0,99,6,1,4
0.045898438,-0.8408203,1.6206055,1,0,100,6,1,4
-0.017089844,-0.45410156,2.649414,1,0,101,6,1,4
-0.115722656,-0.3984375,3.7294922,1,0,102,6,1,4
0.10644531,-0.4116211,3.5327148,1,0,103,6,1,4
0.8071289,-0.3701172,2.711914,1,0,104,6,1,4
1.9111328,-0.33447266,2.0786133,1,0,105,6,1,4
2.878418,0.6357422,2.2919922,1,0,106,6,1,4
3.7905273,1.9145508,2.5585938,1,0,107,6,1,4
4.7661133,3.0629883,2.5097656,1,0,108,6,1,4
6.977051,3.880371,2.802246,1,0,109,7,1,4
7.182617,2.6953125,2.6777344,1,0,110,7,1,4
