"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",92,"left"
1,"Rpeaks[1]",129,"right"
1,"Rpeaks[2]",166,"left"
1,"Rpeaks[3]",205,"right"
1,"Rpeaks[4]",242,"left"
1,"Rpeaks[5]",282,"right"
1,"Rpeaks[6]",319,"left"
1,"Rpeaks[7]",357,"right"
1,"Rpeaks[8]",396,"left"
1,"Rpeaks[9]",432,"right"
1,"Rpeaks[10]",470,"left"
1,"Rpeaks[11]",509,"right"
1,"Rpeaks[12]",547,"left"
1,"Rpeaks[13]",584,"right"
1,"Rpeaks[14]",622,"left"
1,"Rpeaks[15]",659,"right"
1,"Rpeaks[16]",698,"left"
1,"Rpeaks[17]",735,"right"
1,"Rpeaks[18]",774,"left"
1,"Rpeaks[19]",812,"right"
1,"Rpeaks[20]",850,"left"
1,"Rpeaks[21]",889,"right"
1,"Rpeaks[22]",926,"left"
1,"Rpeaks[23]",964,"right"
1,"Rpeaks[24]",1004,"left"
1,"Rpeaks[25]",1041,"right"
1,"Rpeaks[26]",1079,"left"
1,"Rpeaks[27]",1117,"right"
1,"Rpeaks[28]",1154,"left"
1,"Rpeaks[29]",1192,"right"
1,"Rpeaks[30]",1232,"left"
1,"Rpeaks[31]",1267,"right"
1,"Rpeaks[32]",1308,"left"
1,"Rpeaks[33]",1345,"right"
1,"Rpeaks[34]",1384,"left"
1,"Rpeaks[35]",1422,"right"
1,"Rpeaks[36]",1461,"left"
1,"Rpeaks[37]",1499,"right"
1,"Rpeaks[38]",1537,"left"
1,"Rpeaks[39]",1574,"right"
1,"Rpeaks[40]",1612,"left"
1,"Rpeaks[41]",1649,"right"
1,"Rpeaks[42]",1687,"left"
1,"Rpeaks[43]",1725,"right"
1,"Rpeaks[44]",1764,"left"
1,"Rpeaks[45]",1802,"right"
1,"Rpeaks[46]",1840,"left"
1,"Rpeaks[47]",1878,"right"
1,"Rpeaks[48]",1916,"left"
1,"Rpeaks[49]",1953,"right"
1,"Rpeaks[50]",1992,"left"
1,"Rpeaks[51]",2028,"right"
1,"Rpeaks[52]",2067,"left"
1,"Rpeaks[53]",2105,"right"
1,"Rpeaks[54]",2143,"left"
1,"Rpeaks[55]",2180,"right"
1,"Rpeaks[56]",2219,"left"
1,"Rpeaks[57]",2256,"right"
1,"Rpeaks[58]",2295,"left"
1,"Rpeaks[59]",2332,"right"
1,"Rpeaks[60]",2369,"left"
1,"Rpeaks[61]",2407,"right"
1,"Rpeaks[62]",2445,"left"
1,"Rpeaks[63]",2483,"right"
1,"Rpeaks[64]",2521,"left"
1,"Rpeaks[65]",2558,"right"
1,"Rpeaks[66]",2597,"left"
1,"Rpeaks[67]",2635,"right"
1,"Rpeaks[68]",2673,"left"
1,"Rpeaks[69]",2710,"right"
1,"Rpeaks[70]",2748,"left"
1,"Rpeaks[71]",2787,"right"
1,"Rpeaks[72]",2824,"left"
1,"Rpeaks[73]",2861,"right"
1,"Rpeaks[74]",2902,"left"
1,"Rpeaks[75]",2937,"right"
