"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",65
1,"Rpeaks[1]",96
1,"Rpeaks[2]",131
1,"Rpeaks[3]",165
1,"Rpeaks[4]",199
1,"Rpeaks[5]",234
1,"Rpeaks[6]",270
1,"Rpeaks[7]",303
1,"Rpeaks[8]",339
1,"Rpeaks[9]",373
1,"Rpeaks[10]",408
1,"Rpeaks[11]",442
1,"Rpeaks[12]",477
1,"Rpeaks[13]",511
1,"Rpeaks[14]",545
1,"Rpeaks[15]",579
1,"Rpeaks[16]",614
1,"Rpeaks[17]",648
1,"Rpeaks[18]",683
1,"Rpeaks[19]",717
1,"Rpeaks[20]",751
1,"Rpeaks[21]",785
1,"Rpeaks[22]",820
1,"Rpeaks[23]",854
1,"Rpeaks[24]",891
1,"Rpeaks[25]",922
1,"Rpeaks[26]",958
1,"Rpeaks[27]",990
1,"Rpeaks[28]",1028
1,"Rpeaks[29]",1059
1,"Rpeaks[30]",1094
1,"Rpeaks[31]",1132
1,"Rpeaks[32]",1162
1,"Rpeaks[33]",1195
1,"Rpeaks[34]",1230
1,"Rpeaks[35]",1264
1,"Rpeaks[36]",1300
1,"Rpeaks[37]",1332
1,"Rpeaks[38]",1367
1,"Rpeaks[39]",1401
1,"Rpeaks[40]",1436
1,"Rpeaks[41]",1470
1,"Rpeaks[42]",1504
1,"Rpeaks[43]",1538
1,"Rpeaks[44]",1574
1,"Rpeaks[45]",1607
1,"Rpeaks[46]",1643
1,"Rpeaks[47]",1676
1,"Rpeaks[48]",1710
1,"Rpeaks[49]",1744
1,"Rpeaks[50]",1779
1,"Rpeaks[51]",1813
1,"Rpeaks[52]",1848
1,"Rpeaks[53]",1881
1,"Rpeaks[54]",1917
1,"Rpeaks[55]",1949
1,"Rpeaks[56]",1984
1,"Rpeaks[57]",2019
1,"Rpeaks[58]",2052
1,"Rpeaks[59]",2087
1,"Rpeaks[60]",2122
1,"Rpeaks[61]",2155
1,"Rpeaks[62]",2189
1,"Rpeaks[63]",2223
1,"Rpeaks[64]",2259
1,"Rpeaks[65]",2296
1,"Rpeaks[66]",2327
1,"Rpeaks[67]",2360
1,"Rpeaks[68]",2395
1,"Rpeaks[69]",2428
1,"Rpeaks[70]",2463
1,"Rpeaks[71]",2497
1,"Rpeaks[72]",2531
1,"Rpeaks[73]",2565
1,"Rpeaks[74]",2599
1,"Rpeaks[75]",2633
1,"Rpeaks[76]",2668
1,"Rpeaks[77]",2702
1,"Rpeaks[78]",2736
1,"Rpeaks[79]",2772
1,"Rpeaks[80]",2806
1,"Rpeaks[81]",2840
1,"Rpeaks[82]",2875
1,"Rpeaks[83]",2909
1,"Rpeaks[84]",2944
