"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",65,"right"
1,"Rpeaks[1]",96,"left"
1,"Rpeaks[2]",131,"right"
1,"Rpeaks[3]",165,"left"
1,"Rpeaks[4]",199,"right"
1,"Rpeaks[5]",234,"left"
1,"Rpeaks[6]",270,"right"
1,"Rpeaks[7]",303,"left"
1,"Rpeaks[8]",339,"right"
1,"Rpeaks[9]",373,"left"
1,"Rpeaks[10]",408,"right"
1,"Rpeaks[11]",442,"left"
1,"Rpeaks[12]",477,"right"
1,"Rpeaks[13]",511,"left"
1,"Rpeaks[14]",545,"right"
1,"Rpeaks[15]",579,"left"
1,"Rpeaks[16]",614,"right"
1,"Rpeaks[17]",648,"left"
1,"Rpeaks[18]",683,"right"
1,"Rpeaks[19]",717,"left"
1,"Rpeaks[20]",751,"right"
1,"Rpeaks[21]",785,"left"
1,"Rpeaks[22]",820,"right"
1,"Rpeaks[23]",854,"left"
1,"Rpeaks[24]",891,"right"
1,"Rpeaks[25]",922,"left"
1,"Rpeaks[26]",958,"right"
1,"Rpeaks[27]",990,"left"
1,"Rpeaks[28]",1028,"right"
1,"Rpeaks[29]",1059,"left"
1,"Rpeaks[30]",1094,"right"
1,"Rpeaks[31]",1132,"left"
1,"Rpeaks[32]",1162,"right"
1,"Rpeaks[33]",1195,"left"
1,"Rpeaks[34]",1230,"right"
1,"Rpeaks[35]",1264,"left"
1,"Rpeaks[36]",1300,"right"
1,"Rpeaks[37]",1332,"left"
1,"Rpeaks[38]",1367,"right"
1,"Rpeaks[39]",1401,"left"
1,"Rpeaks[40]",1436,"right"
1,"Rpeaks[41]",1470,"left"
1,"Rpeaks[42]",1504,"right"
1,"Rpeaks[43]",1538,"left"
1,"Rpeaks[44]",1574,"right"
1,"Rpeaks[45]",1607,"left"
1,"Rpeaks[46]",1643,"right"
1,"Rpeaks[47]",1676,"left"
1,"Rpeaks[48]",1710,"right"
1,"Rpeaks[49]",1744,"left"
1,"Rpeaks[50]",1779,"right"
1,"Rpeaks[51]",1813,"left"
1,"Rpeaks[52]",1848,"right"
1,"Rpeaks[53]",1881,"left"
1,"Rpeaks[54]",1917,"right"
1,"Rpeaks[55]",1949,"left"
1,"Rpeaks[56]",1984,"right"
1,"Rpeaks[57]",2019,"left"
1,"Rpeaks[58]",2052,"right"
1,"Rpeaks[59]",2087,"left"
1,"Rpeaks[60]",2122,"right"
1,"Rpeaks[61]",2155,"left"
1,"Rpeaks[62]",2189,"right"
1,"Rpeaks[63]",2223,"left"
1,"Rpeaks[64]",2259,"right"
1,"Rpeaks[65]",2296,"left"
1,"Rpeaks[66]",2327,"right"
1,"Rpeaks[67]",2360,"left"
1,"Rpeaks[68]",2395,"right"
1,"Rpeaks[69]",2428,"left"
1,"Rpeaks[70]",2463,"right"
1,"Rpeaks[71]",2497,"left"
1,"Rpeaks[72]",2531,"right"
1,"Rpeaks[73]",2565,"left"
1,"Rpeaks[74]",2599,"right"
1,"Rpeaks[75]",2633,"left"
1,"Rpeaks[76]",2668,"right"
1,"Rpeaks[77]",2702,"left"
1,"Rpeaks[78]",2736,"right"
1,"Rpeaks[79]",2772,"left"
1,"Rpeaks[80]",2806,"right"
1,"Rpeaks[81]",2840,"left"
1,"Rpeaks[82]",2875,"right"
1,"Rpeaks[83]",2909,"left"
1,"Rpeaks[84]",2944,"right"
