"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",78
1,"Rpeaks[1]",114
1,"Rpeaks[2]",151
1,"Rpeaks[3]",186
1,"Rpeaks[4]",223
1,"Rpeaks[5]",259
1,"Rpeaks[6]",296
1,"Rpeaks[7]",331
1,"Rpeaks[8]",367
1,"Rpeaks[9]",402
1,"Rpeaks[10]",440
1,"Rpeaks[11]",476
1,"Rpeaks[12]",512
1,"Rpeaks[13]",547
1,"Rpeaks[14]",584
1,"Rpeaks[15]",619
1,"Rpeaks[16]",655
1,"Rpeaks[17]",691
1,"Rpeaks[18]",727
1,"Rpeaks[19]",763
1,"Rpeaks[20]",800
1,"Rpeaks[21]",835
1,"Rpeaks[22]",871
1,"Rpeaks[23]",907
1,"Rpeaks[24]",943
1,"Rpeaks[25]",979
1,"Rpeaks[26]",1016
1,"Rpeaks[27]",1051
1,"Rpeaks[28]",1087
1,"Rpeaks[29]",1123
1,"Rpeaks[30]",1159
1,"Rpeaks[31]",1194
1,"Rpeaks[32]",1231
1,"Rpeaks[33]",1266
1,"Rpeaks[34]",1303
1,"Rpeaks[35]",1338
1,"Rpeaks[36]",1374
1,"Rpeaks[37]",1409
1,"Rpeaks[38]",1446
1,"Rpeaks[39]",1481
1,"Rpeaks[40]",1519
1,"Rpeaks[41]",1554
1,"Rpeaks[42]",1591
1,"Rpeaks[43]",1625
1,"Rpeaks[44]",1662
1,"Rpeaks[45]",1697
1,"Rpeaks[46]",1734
1,"Rpeaks[47]",1769
1,"Rpeaks[48]",1806
1,"Rpeaks[49]",1841
1,"Rpeaks[50]",1877
1,"Rpeaks[51]",1912
1,"Rpeaks[52]",1949
1,"Rpeaks[53]",1984
1,"Rpeaks[54]",2021
1,"Rpeaks[55]",2057
1,"Rpeaks[56]",2093
1,"Rpeaks[57]",2130
1,"Rpeaks[58]",2166
1,"Rpeaks[59]",2202
1,"Rpeaks[60]",2238
1,"Rpeaks[61]",2274
1,"Rpeaks[62]",2311
1,"Rpeaks[63]",2346
1,"Rpeaks[64]",2383
1,"Rpeaks[65]",2419
1,"Rpeaks[66]",2455
1,"Rpeaks[67]",2490
1,"Rpeaks[68]",2527
1,"Rpeaks[69]",2562
