"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
0.38378906,-0.58935547,1.6416016,1,0,1,1,1,4
-0.2709961,-0.9814453,1.7578125,1,0,2,1,1,4
-0.81396484,-1.4682617,1.9345703,1,0,3,1,1,4
-1.3769531,-1.6416016,1.9443359,1,0,4,1,1,4
-1.8237305,-1.409668,1.4145508,1,0,5,1,1,4
-1.7426758,-0.8510742,1.4921875,1,0,6,1,1,4
-1.8085938,-0.41210938,1.2680664,1,0,7,1,1,4
-1.402832,0.68847656,1.4599609,1,0,8,1,1,4
-0.80078125,1.546875,1.2124023,1,0,9,1,1,4
-0.6147461,1.8793945,0.98046875,1,0,10,1,1,4
-0.3178711,1.6074219,1.0063477,1,0,11,1,1,4
0.1381836,1.5551758,1.0234375,1,0,12,1,1,4
0.29736328,1.2705078,1.2744141,1,0,13,1,1,4
0.15673828,0.57373047,2.125,1,0,14,1,1,4
0.453125,0.052246094,3.711914,1,0,15,1,1,4
0.51708984,-0.11279297,4.4648438,1,0,16,1,1,4
1.1762695,0.56347656,2.6538086,1,0,17,1,1,4
3.4121094,0.071777344,1.7290039,1,0,18,1,1,4
5.2299805,-0.49169922,1.8930664,1,0,19,2,1,4
6.3588867,-2.7890625,2.7763672,1,0,20,2,1,4
6.0043945,-4.2304688,2.8251953,1,0,21,2,1,4
3.8452148,-3.7797852,2.7949219,1,0,22,2,1,4
3.4248047,-2.7558594,2.520996,1,0,23,2,1,4
3.5922852,-1.5307617,2.5566406,1,0,24,2,1,4
3.7192383,-0.6557617,2.2573242,1,0,25,2,1,4
4.1132812,-0.2758789,2.1118164,1,0,26,2,1,4
4.760254,-0.06542969,1.8676758,1,0,27,2,1,4
5.1518555,-0.1171875,1.7949219,1,0,28,2,1,4
4.4213867,-0.018554688,1.6743164,1,0,29,2,1,4
3.9311523,-0.0073242188,1.565918,1,0,30,2,1,4
3.8486328,0.18261719,1.6621094,1,0,31,2,1,4
3.4799805,0.16455078,1.7583008,1,0,32,2,1,4
2.8544922,0.015136719,1.8803711,1,0,33,2,1,4
2.2749023,-0.20214844,1.8911133,1,0,34,2,1,4
1.543457,-0.47558594,1.8657227,1,0,35,2,1,4
0.6621094,-0.65722656,1.6787109,1,0,36,2,1,4
-0.19482422,-0.6855469,1.6694336,1,0,37,3,1,4
-0.55566406,-0.4482422,1.8916016,1,0,38,3,1,4
-0.76416016,0.6669922,2.3657227,1,0,39,3,1,4
-1.0356445,1.1547852,2.5131836,1,0,40,3,1,4
-1.4604492,1.1264648,2.0878906,1,0,41,3,1,4
-1.4282227,1.1508789,1.6044922,1,0,42,3,1,4
-1.3857422,0.65966797,1.6728516,1,0,43,3,1,4
-1.5673828,-0.30517578,1.1616211,1,0,44,3,1,4
-1.4633789,-0.8178711,0.95458984,1,0,45,3,1,4
-1.0166016,-1.3227539,0.76953125,1,0,46,3,1,4
