"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",78,"right"
1,"Rpeaks[1]",114,"left"
1,"Rpeaks[2]",151,"right"
1,"Rpeaks[3]",186,"left"
1,"Rpeaks[4]",223,"right"
1,"Rpeaks[5]",259,"left"
1,"Rpeaks[6]",296,"right"
1,"Rpeaks[7]",331,"left"
1,"Rpeaks[8]",367,"right"
1,"Rpeaks[9]",402,"left"
1,"Rpeaks[10]",440,"right"
1,"Rpeaks[11]",476,"left"
1,"Rpeaks[12]",512,"right"
1,"Rpeaks[13]",547,"left"
1,"Rpeaks[14]",584,"right"
1,"Rpeaks[15]",619,"left"
1,"Rpeaks[16]",655,"right"
1,"Rpeaks[17]",691,"left"
1,"Rpeaks[18]",727,"right"
1,"Rpeaks[19]",763,"left"
1,"Rpeaks[20]",800,"right"
1,"Rpeaks[21]",835,"left"
1,"Rpeaks[22]",871,"right"
1,"Rpeaks[23]",907,"left"
1,"Rpeaks[24]",943,"right"
1,"Rpeaks[25]",979,"left"
1,"Rpeaks[26]",1016,"right"
1,"Rpeaks[27]",1051,"left"
1,"Rpeaks[28]",1087,"right"
1,"Rpeaks[29]",1123,"left"
1,"Rpeaks[30]",1159,"right"
1,"Rpeaks[31]",1194,"left"
1,"Rpeaks[32]",1231,"right"
1,"Rpeaks[33]",1266,"left"
1,"Rpeaks[34]",1303,"right"
1,"Rpeaks[35]",1338,"left"
1,"Rpeaks[36]",1374,"right"
1,"Rpeaks[37]",1409,"left"
1,"Rpeaks[38]",1446,"right"
1,"Rpeaks[39]",1481,"left"
1,"Rpeaks[40]",1519,"right"
1,"Rpeaks[41]",1554,"left"
1,"Rpeaks[42]",1591,"right"
1,"Rpeaks[43]",1625,"left"
1,"Rpeaks[44]",1662,"right"
1,"Rpeaks[45]",1697,"left"
1,"Rpeaks[46]",1734,"right"
1,"Rpeaks[47]",1769,"left"
1,"Rpeaks[48]",1806,"right"
1,"Rpeaks[49]",1841,"left"
1,"Rpeaks[50]",1877,"right"
1,"Rpeaks[51]",1912,"left"
1,"Rpeaks[52]",1949,"right"
1,"Rpeaks[53]",1984,"left"
1,"Rpeaks[54]",2021,"right"
1,"Rpeaks[55]",2057,"left"
1,"Rpeaks[56]",2093,"right"
1,"Rpeaks[57]",2130,"left"
1,"Rpeaks[58]",2166,"right"
1,"Rpeaks[59]",2202,"left"
1,"Rpeaks[60]",2238,"right"
1,"Rpeaks[61]",2274,"left"
1,"Rpeaks[62]",2311,"right"
1,"Rpeaks[63]",2346,"left"
1,"Rpeaks[64]",2383,"right"
1,"Rpeaks[65]",2419,"left"
1,"Rpeaks[66]",2455,"right"
1,"Rpeaks[67]",2490,"left"
1,"Rpeaks[68]",2527,"right"
1,"Rpeaks[69]",2562,"left"
1,"Rpeaks[70]",2599,"right"
1,"Rpeaks[71]",2636,"left"
1,"Rpeaks[72]",2672,"right"
1,"Rpeaks[73]",2706,"left"
1,"Rpeaks[74]",2743,"right"
1,"Rpeaks[75]",2779,"left"
1,"Rpeaks[76]",2815,"right"
1,"Rpeaks[77]",2850,"left"
1,"Rpeaks[78]",2887,"right"
1,"Rpeaks[79]",2922,"left"
2,"Rpeaks[0]",91,"right"
2,"Rpeaks[1]",126,"left"
2,"Rpeaks[2]",163,"right"
2,"Rpeaks[3]",199,"left"
2,"Rpeaks[4]",235,"right"
2,"Rpeaks[5]",270,"left"
2,"Rpeaks[6]",307,"right"
2,"Rpeaks[7]",343,"left"
2,"Rpeaks[8]",379,"right"
2,"Rpeaks[9]",415,"left"
2,"Rpeaks[10]",451,"right"
2,"Rpeaks[11]",486,"left"
2,"Rpeaks[12]",523,"right"
2,"Rpeaks[13]",558,"left"
2,"Rpeaks[14]",595,"right"
2,"Rpeaks[15]",630,"left"
2,"Rpeaks[16]",668,"right"
2,"Rpeaks[17]",703,"left"
2,"Rpeaks[18]",740,"right"
2,"Rpeaks[19]",776,"left"
2,"Rpeaks[20]",812,"right"
2,"Rpeaks[21]",847,"left"
2,"Rpeaks[22]",884,"right"
2,"Rpeaks[23]",920,"left"
2,"Rpeaks[24]",957,"right"
2,"Rpeaks[25]",992,"left"
2,"Rpeaks[26]",1029,"right"
2,"Rpeaks[27]",1064,"left"
2,"Rpeaks[28]",1101,"right"
2,"Rpeaks[29]",1135,"left"
2,"Rpeaks[30]",1172,"right"
2,"Rpeaks[31]",1206,"left"
2,"Rpeaks[32]",1244,"right"
2,"Rpeaks[33]",1279,"left"
2,"Rpeaks[34]",1315,"right"
2,"Rpeaks[35]",1350,"left"
2,"Rpeaks[36]",1387,"right"
2,"Rpeaks[37]",1422,"left"
2,"Rpeaks[38]",1459,"right"
2,"Rpeaks[39]",1495,"left"
2,"Rpeaks[40]",1532,"right"
2,"Rpeaks[41]",1568,"left"
2,"Rpeaks[42]",1605,"right"
2,"Rpeaks[43]",1640,"left"
2,"Rpeaks[44]",1677,"right"
2,"Rpeaks[45]",1712,"left"
2,"Rpeaks[46]",1750,"right"
2,"Rpeaks[47]",1784,"left"
2,"Rpeaks[48]",1821,"right"
