"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",71
1,"Rpeaks[1]",109
1,"Rpeaks[2]",146
1,"Rpeaks[3]",182
1,"Rpeaks[4]",219
1,"Rpeaks[5]",256
1,"Rpeaks[6]",293
1,"Rpeaks[7]",330
1,"Rpeaks[8]",367
1,"Rpeaks[9]",403
1,"Rpeaks[10]",441
1,"Rpeaks[11]",477
1,"Rpeaks[12]",514
1,"Rpeaks[13]",550
1,"Rpeaks[14]",586
1,"Rpeaks[15]",624
1,"Rpeaks[16]",659
1,"Rpeaks[17]",696
1,"Rpeaks[18]",733
1,"Rpeaks[19]",769
1,"Rpeaks[20]",806
1,"Rpeaks[21]",843
1,"Rpeaks[22]",880
1,"Rpeaks[23]",917
1,"Rpeaks[24]",953
1,"Rpeaks[25]",991
1,"Rpeaks[26]",1028
1,"Rpeaks[27]",1063
1,"Rpeaks[28]",1100
1,"Rpeaks[29]",1138
1,"Rpeaks[30]",1175
1,"Rpeaks[31]",1212
1,"Rpeaks[32]",1249
1,"Rpeaks[33]",1286
1,"Rpeaks[34]",1323
1,"Rpeaks[35]",1359
1,"Rpeaks[36]",1395
1,"Rpeaks[37]",1433
1,"Rpeaks[38]",1470
1,"Rpeaks[39]",1507
1,"Rpeaks[40]",1543
1,"Rpeaks[41]",1580
1,"Rpeaks[42]",1617
1,"Rpeaks[43]",1654
1,"Rpeaks[44]",1691
1,"Rpeaks[45]",1728
1,"Rpeaks[46]",1765
1,"Rpeaks[47]",1802
1,"Rpeaks[48]",1839
1,"Rpeaks[49]",1875
1,"Rpeaks[50]",1911
1,"Rpeaks[51]",1947
1,"Rpeaks[52]",1984
1,"Rpeaks[53]",2021
1,"Rpeaks[54]",2058
1,"Rpeaks[55]",2095
1,"Rpeaks[56]",2131
1,"Rpeaks[57]",2168
1,"Rpeaks[58]",2205
1,"Rpeaks[59]",2242
1,"Rpeaks[60]",2279
1,"Rpeaks[61]",2315
1,"Rpeaks[62]",2352
1,"Rpeaks[63]",2389
1,"Rpeaks[64]",2424
1,"Rpeaks[65]",2461
1,"Rpeaks[66]",2498
1,"Rpeaks[67]",2534
1,"Rpeaks[68]",2570
1,"Rpeaks[69]",2607
1,"Rpeaks[70]",2644
1,"Rpeaks[71]",2681
1,"Rpeaks[72]",2717
1,"Rpeaks[73]",2753
1,"Rpeaks[74]",2790
1,"Rpeaks[75]",2826
1,"Rpeaks[76]",2863
1,"Rpeaks[77]",2900
1,"Rpeaks[78]",2937
2,"No Peaks",""
