"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
-0.6894531,1.065918,1.5161133,1,0,1,1,1,4
-0.52783203,1.1123047,1.4189453,1,0,2,1,1,4
-0.14794922,1.1748047,1.4697266,1,0,3,1,1,4
-0.025878906,1.5395508,1.6923828,1,0,4,1,1,4
-0.41259766,1.0043945,2.0795898,1,0,5,1,1,4
-0.203125,0.2529297,3.0585938,1,0,6,1,1,4
0.052734375,-0.1875,2.775879,1,0,7,1,1,4
0.45458984,-0.027832031,2.1289062,1,0,8,1,1,4
1.2705078,-0.9819336,2.8759766,1,0,9,1,1,4
2.1088867,-0.9536133,3.4106445,1,0,10,1,1,4
3.4545898,-0.72558594,4.248535,1,0,11,1,1,4
6.810547,0.061523438,3.2441406,1,0,12,1,1,4
10.633789,0.9086914,3.4667969,1,0,13,1,1,4
4.1655273,-1.2197266,2.7226562,1,0,14,1,1,4
2.565918,-1.5830078,1.6293945,1,0,15,1,1,4
4.669922,-1.1733398,2.5229492,1,0,16,1,1,4
4.1308594,-1.4775391,2.1396484,1,0,17,1,1,4
4.2612305,-1.6884766,2.1816406,1,0,18,1,1,4
4.5512695,-1.6166992,1.9375,1,0,19,2,1,4
4.8168945,-1.3032227,1.8383789,1,0,20,2,1,4
4.5498047,-1.2617188,1.6914062,1,0,21,2,1,4
4.2875977,-1.0600586,1.7573242,1,0,22,2,1,4
3.8408203,-0.7373047,1.706543,1,0,23,2,1,4
3.3603516,-0.5810547,1.5302734,1,0,24,2,1,4
2.7270508,-0.31835938,1.5556641,1,0,25,2,1,4
1.890625,-0.28125,1.3916016,1,0,26,2,1,4
1.0185547,-0.25683594,1.2241211,1,0,27,2,1,4
0.55859375,-0.14648438,1.1625977,1,0,28,2,1,4
0.12695312,0.2211914,1.5317383,1,0,29,2,1,4
-0.36572266,0.7011719,1.84375,1,0,30,2,1,4
-0.62939453,1.1665039,2.036621,1,0,31,2,1,4
-1.0605469,1.2207031,2.0664062,1,0,32,2,1,4
-1.5410156,1.2763672,1.7475586,1,0,33,2,1,4
-1.6645508,1.1337891,1.5063477,1,0,34,2,1,4
-1.5180664,0.5991211,1.2114258,1,0,35,2,1,4
-1.1445312,-0.17089844,1.1816406,1,0,36,2,1,4
-0.81689453,-0.6821289,1.2617188,1,0,37,3,1,4
-0.71484375,-0.9975586,1.3657227,1,0,38,3,1,4
-0.6118164,-1.2548828,1.4370117,1,0,39,3,1,4
-0.48632812,-1.4135742,1.4213867,1,0,40,3,1,4
-0.24658203,-1.5869141,1.4267578,1,0,41,3,1,4
-0.01171875,-1.2548828,1.503418,1,0,42,3,1,4
-0.17236328,-0.4580078,1.5839844,1,0,43,3,1,4
-0.2705078,-0.037597656,2.0825195,1,0,44,3,1,4
0.18408203,0.4477539,2.168457,1,0,45,3,1,4
0.46728516,0.5151367,2.4580078,1,0,46,3,1,4
1.3427734,1.3730469,2.2993164,1,0,47,3,1,4
1.3564453,1.487793,2.7504883,1,0,48,3,1,4
1.8803711,0.68603516,3.2802734,1,0,49,3,1,4
3.7519531,0.48779297,3.628418,1,0,50,3,1,4
6.6796875,0.049316406,3.1054688,1,0,51,3,1,4
8.42334,0.46044922,2.8588867,1,0,52,3,1,4
8.871094,1.5087891,1.9165039,1,0,53,3,1,4
5.13916,2.239746,2.2543945,1,0,54,3,1,4
4.4052734,2.0810547,1.7246094,1,0,55,4,1,4
5.1567383,2.114746,2.0405273,1,0,56,4,1,4
4.7768555,1.5449219,1.8046875,1,0,57,4,1,4
5.008301,1.4204102,1.7338867,1,0,58,4,1,4
4.791992,1.1083984,1.6953125,1,0,59,4,1,4
4.671875,0.92529297,1.769043,1,0,60,4,1,4
4.4609375,0.7265625,1.7143555,1,0,61,4,1,4
3.7993164,0.5078125,1.6489258,1,0,62,4,1,4
3.005371,0.39892578,1.5981445,1,0,63,4,1,4
2.0898438,0.40185547,1.5092773,1,0,64,4,1,4
1.2714844,0.43652344,1.4370117,1,0,65,4,1,4
0.22998047,-0.020507812,1.34375,1,0,66,4,1,4
-0.3935547,-0.50683594,1.4746094,1,0,67,4,1,4
-0.9760742,-1.0810547,1.6323242,1,0,68,4,1,4
-1.4746094,-1.4418945,2.0039062,1,0,69,4,1,4
-1.8549805,-1.2524414,1.9960938,1,0,70,4,1,4
-1.9775391,-0.796875,1.5263672,1,0,71,4,1,4
-1.4101562,-0.31591797,1.2373047,1,0,72,4,1,4
-1.1914062,-0.09082031,1.4731445,1,0,73,5,1,4
-0.7338867,0.42089844,1.7675781,1,0,74,5,1,4
-0.60009766,0.95214844,1.5649414,1,0,75,5,1,4
-0.43896484,1.1176758,1.3808594,1,0,76,5,1,4
-0.06689453,1.25,1.3178711,1,0,77,5,1,4
0.21728516,1.7094727,1.4916992,1,0,78,5,1,4
-0.08203125,1.2641602,1.5224609,1,0,79,5,1,4
0.030273438,0.6044922,2.6738281,1,0,80,5,1,4
0.2944336,-0.1743164,2.3676758,1,0,81,5,1,4
0.6586914,-0.25390625,1.559082,1,0,82,5,1,4
0.8857422,-0.9897461,3.0405273,1,0,83,5,1,4
2.1884766,-1.1650391,3.9448242,1,0,84,5,1,4
3.5273438,-0.76416016,4.078125,1,0,85,5,1,4
5.9902344,0.22753906,2.8256836,1,0,86,5,1,4
9.181641,1.0791016,3.1118164,1,0,87,5,1,4
5.4003906,-1.0727539,2.4545898,1,0,88,5,1,4
2.65625,-1.8120117,1.5561523,1,0,89,5,1,4
4.1435547,-1.3300781,2.3232422,1,0,90,5,1,4
4.2768555,-1.7001953,1.9077148,1,0,91,6,1,4
3.8046875,-1.5073242,2.0703125,1,0,92,6,1,4
4.3344727,-1.2524414,1.7915039,1,0,93,6,1,4
4.9067383,-1.1425781,1.6953125,1,0,94,6,1,4
4.705078,-1.0786133,1.6049805,1,0,95,6,1,4
4.5117188,-0.8725586,1.6137695,1,0,96,6,1,4
4.2529297,-0.72753906,1.6318359,1,0,97,6,1,4
3.8891602,-0.3305664,1.6733398,1,0,98,6,1,4
3.2480469,-0.31103516,1.6206055,1,0,99,6,1,4
2.413086,-0.4946289,1.5639648,1,0,100,6,1,4
1.4462891,-0.52246094,1.6328125,1,0,101,6,1,4
0.6875,-0.46972656,1.3491211,1,0,102,6,1,4
0.2548828,-0.265625,1.3110352,1,0,103,6,1,4
0.021972656,-0.05517578,1.6904297,1,0,104,6,1,4
-0.38623047,0.32470703,2.2226562,1,0,105,6,1,4
-0.6923828,0.60253906,2.5112305,1,0,106,6,1,4
-1.1157227,0.625,2.2817383,1,0,107,6,1,4
-1.5849609,0.6147461,1.9111328,1,0,108,6,1,4
-1.7109375,0.47558594,1.4116211,1,0,109,7,1,4
-1.4731445,-0.15185547,1.3979492,1,0,110,7,1,4
-1.3334961,-0.41455078,1.3588867,1,0,111,7,1,4
-0.9892578,-0.5234375,1.2094727,1,0,112,7,1,4
-0.7426758,-0.8774414,1.3447266,1,0,113,7,1,4
-0.30859375,-1.109375,1.2275391,1,0,114,7,1,4
-0.04736328,-1.0556641,1.237793,1,0,115,7,1,4
0.0063476562,-0.8183594,1.3984375,1,0,116,7,1,4
-0.14160156,-0.3623047,1.9975586,1,0,117,7,1,4
-0.059570312,0.33007812,2.0708008,1,0,118,7,1,4
-0.51416016,0.6274414,2.2172852,1,0,119,7,1,4
-0.16308594,0.4921875,1.7856445,1,0,120,7,1,4
1.7617188,1.0498047,2.604004,1,0,121,7,1,4
2.1357422,1.1660156,2.9384766,1,0,122,7,1,4
2.7783203,0.29833984,3.150879,1,0,123,7,1,4
