"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"Rpeaks[0]",90,"left"
1,"Rpeaks[1]",130,"right"
1,"Rpeaks[2]",171,"left"
1,"Rpeaks[3]",214,"right"
1,"Rpeaks[4]",256,"left"
1,"Rpeaks[5]",297,"right"
1,"Rpeaks[6]",339,"left"
1,"Rpeaks[7]",381,"right"
1,"Rpeaks[8]",422,"left"
1,"Rpeaks[9]",464,"right"
1,"Rpeaks[10]",504,"left"
1,"Rpeaks[11]",549,"right"
1,"Rpeaks[12]",590,"left"
1,"Rpeaks[13]",633,"right"
1,"Rpeaks[14]",674,"left"
1,"Rpeaks[15]",716,"right"
1,"Rpeaks[16]",758,"left"
1,"Rpeaks[17]",800,"right"
1,"Rpeaks[18]",841,"left"
1,"Rpeaks[19]",885,"right"
1,"Rpeaks[20]",926,"left"
1,"Rpeaks[21]",969,"right"
1,"Rpeaks[22]",1010,"left"
1,"Rpeaks[23]",1053,"right"
1,"Rpeaks[24]",1095,"left"
1,"Rpeaks[25]",1136,"right"
1,"Rpeaks[26]",1178,"left"
1,"Rpeaks[27]",1220,"right"
1,"Rpeaks[28]",1262,"left"
1,"Rpeaks[29]",1303,"right"
1,"Rpeaks[30]",1344,"left"
1,"Rpeaks[31]",1386,"right"
1,"Rpeaks[32]",1426,"left"
1,"Rpeaks[33]",1470,"right"
1,"Rpeaks[34]",1510,"left"
1,"Rpeaks[35]",1552,"right"
1,"Rpeaks[36]",1594,"left"
1,"Rpeaks[37]",1637,"right"
1,"Rpeaks[38]",1677,"left"
1,"Rpeaks[39]",1720,"right"
1,"Rpeaks[40]",1759,"left"
1,"Rpeaks[41]",1802,"right"
1,"Rpeaks[42]",1843,"left"
1,"Rpeaks[43]",1886,"right"
1,"Rpeaks[44]",1928,"left"
1,"Rpeaks[45]",1971,"right"
1,"Rpeaks[46]",2011,"left"
1,"Rpeaks[47]",2052,"right"
1,"Rpeaks[48]",2091,"left"
1,"Rpeaks[49]",2134,"right"
1,"Rpeaks[50]",2175,"left"
1,"Rpeaks[51]",2216,"right"
1,"Rpeaks[52]",2256,"left"
1,"Rpeaks[53]",2298,"right"
1,"Rpeaks[54]",2339,"left"
1,"Rpeaks[55]",2381,"right"
1,"Rpeaks[56]",2421,"left"
1,"Rpeaks[57]",2463,"right"
1,"Rpeaks[58]",2504,"left"
1,"Rpeaks[59]",2546,"right"
1,"Rpeaks[60]",2590,"left"
1,"Rpeaks[61]",2630,"right"
1,"Rpeaks[62]",2669,"left"
1,"Rpeaks[63]",2712,"right"
1,"Rpeaks[64]",2755,"left"
1,"Rpeaks[65]",2796,"right"
1,"Rpeaks[66]",2835,"left"
1,"Rpeaks[67]",2877,"right"
1,"Rpeaks[68]",2919,"left"
