"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",79
1,"Rpeaks[1]",121
1,"Rpeaks[2]",160
1,"Rpeaks[3]",201
1,"Rpeaks[4]",243
1,"Rpeaks[5]",284
1,"Rpeaks[6]",323
1,"Rpeaks[7]",365
1,"Rpeaks[8]",408
1,"Rpeaks[9]",448
1,"Rpeaks[10]",489
1,"Rpeaks[11]",529
1,"Rpeaks[12]",570
1,"Rpeaks[13]",611
1,"Rpeaks[14]",651
1,"Rpeaks[15]",693
1,"Rpeaks[16]",735
1,"Rpeaks[17]",774
1,"Rpeaks[18]",817
1,"Rpeaks[19]",857
1,"Rpeaks[20]",897
1,"Rpeaks[21]",936
1,"Rpeaks[22]",978
1,"Rpeaks[23]",1019
1,"Rpeaks[24]",1059
1,"Rpeaks[25]",1100
1,"Rpeaks[26]",1141
1,"Rpeaks[27]",1181
1,"Rpeaks[28]",1223
1,"Rpeaks[29]",1263
1,"Rpeaks[30]",1307
1,"Rpeaks[31]",1347
1,"Rpeaks[32]",1388
1,"Rpeaks[33]",1429
1,"Rpeaks[34]",1472
1,"Rpeaks[35]",1512
1,"Rpeaks[36]",1551
1,"Rpeaks[37]",1591
1,"Rpeaks[38]",1632
1,"Rpeaks[39]",1671
1,"Rpeaks[40]",1711
1,"Rpeaks[41]",1752
1,"Rpeaks[42]",1795
1,"Rpeaks[43]",1835
1,"Rpeaks[44]",1876
1,"Rpeaks[45]",1917
1,"Rpeaks[46]",1958
1,"Rpeaks[47]",2000
1,"Rpeaks[48]",2039
1,"Rpeaks[49]",2080
1,"Rpeaks[50]",2122
1,"Rpeaks[51]",2163
1,"Rpeaks[52]",2203
1,"Rpeaks[53]",2244
1,"Rpeaks[54]",2285
1,"Rpeaks[55]",2325
1,"Rpeaks[56]",2367
1,"Rpeaks[57]",2407
1,"Rpeaks[58]",2448
1,"Rpeaks[59]",2490
1,"Rpeaks[60]",2531
1,"Rpeaks[61]",2571
1,"Rpeaks[62]",2616
1,"Rpeaks[63]",2654
1,"Rpeaks[64]",2696
1,"Rpeaks[65]",2735
1,"Rpeaks[66]",2775
1,"Rpeaks[67]",2816
1,"Rpeaks[68]",2857
1,"Rpeaks[69]",2899
1,"Rpeaks[70]",2938
2,"No Peaks",""
