"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
0.56884766,-0.67529297,1.2734375,1,0,1,1,1,4
0.4892578,-0.47705078,2.400879,1,0,2,1,1,4
0.010253906,-0.60546875,2.7875977,1,0,3,1,1,4
1.2373047,-0.90185547,2.709961,1,0,4,1,1,4
2.7807617,-0.65722656,2.6333008,1,0,5,1,1,4
3.2226562,0.05859375,2.600586,1,0,6,1,1,4
3.3671875,1.0224609,2.7094727,1,0,7,1,1,4
3.8510742,1.8525391,2.8955078,1,0,8,1,1,4
4.0961914,2.1381836,2.7783203,1,0,9,1,1,4
4.7314453,2.1640625,2.8364258,1,0,10,1,1,4
5.3876953,1.8852539,2.793457,1,0,11,1,1,4
3.8496094,1.453125,2.2807617,1,0,12,1,1,4
3.793457,1.5673828,2.510254,1,0,13,1,1,4
4.1220703,1.4428711,2.3588867,1,0,14,1,1,4
4.446289,1.2407227,2.2939453,1,0,15,1,1,4
4.572754,1.0371094,1.9570312,1,0,16,1,1,4
4.4941406,0.75683594,1.9750977,1,0,17,1,1,4
4.475586,0.6645508,1.9384766,1,0,18,1,1,4
4.0913086,0.6567383,1.9492188,1,0,19,2,1,4
3.5112305,0.5488281,2.0703125,1,0,20,2,1,4
2.7182617,0.35253906,1.8842773,1,0,21,2,1,4
1.8320312,0.18554688,1.7802734,1,0,22,2,1,4
1.2568359,0.19921875,1.5844727,1,0,23,2,1,4
0.7836914,-0.072753906,1.5317383,1,0,24,2,1,4
0.31982422,-0.6411133,1.6547852,1,0,25,2,1,4
-0.100097656,-1.0688477,1.5849609,1,0,26,2,1,4
-0.1899414,-1.1484375,1.7480469,1,0,27,2,1,4
-0.4169922,-0.79785156,1.9941406,1,0,28,2,1,4
-0.69140625,-0.42041016,1.9228516,1,0,29,2,1,4
-0.9863281,-0.24023438,1.7729492,1,0,30,2,1,4
-1.1191406,0.28027344,1.6132812,1,0,31,2,1,4
-1.3955078,0.60595703,1.328125,1,0,32,2,1,4
-1.5097656,0.7553711,0.9038086,1,0,33,2,1,4
-1.0825195,0.9375,0.56640625,1,0,34,2,1,4
-0.2109375,0.9301758,0.42529297,1,0,35,2,1,4
0.37939453,0.5253906,0.86621094,1,0,36,2,1,4
0.7368164,0.02734375,1.7036133,1,0,37,3,1,4
0.703125,-0.55566406,3.5263672,1,0,38,3,1,4
0.44433594,-0.50146484,3.519043,1,0,39,3,1,4
0.09863281,0.047851562,2.102539,1,0,40,3,1,4
2.302246,0.83691406,2.1826172,1,0,41,3,1,4
5.5981445,0.75097656,2.800293,1,0,42,3,1,4
6.717285,-0.19042969,3.1757812,1,0,43,3,1,4
5.2026367,-1.6772461,3.3623047,1,0,44,3,1,4
2.4047852,-2.3735352,2.5776367,1,0,45,3,1,4
3.5454102,-2.3422852,2.8925781,1,0,46,3,1,4
2.7817383,-1.8969727,2.4047852,1,0,47,3,1,4
2.972168,-1.855957,2.4238281,1,0,48,3,1,4
3.182129,-1.2075195,2.354004,1,0,49,3,1,4
4.0131836,-1.0771484,2.2441406,1,0,50,3,1,4
4.557129,-0.8408203,2.1567383,1,0,51,3,1,4
4.370117,-0.86328125,1.8574219,1,0,52,3,1,4
4.147949,-0.64941406,1.9750977,1,0,53,3,1,4
3.815918,-0.30615234,1.9902344,1,0,54,3,1,4
3.5532227,-0.14404297,2.0229492,1,0,55,4,1,4
2.900879,-0.17529297,2.0644531,1,0,56,4,1,4
2.2436523,-0.20263672,1.8574219,1,0,57,4,1,4
1.7026367,-0.21191406,1.7255859,1,0,58,4,1,4
1.2109375,-0.0029296875,1.6318359,1,0,59,4,1,4
0.82470703,0.09716797,1.8105469,1,0,60,4,1,4
0.6826172,0.25097656,2.1313477,1,0,61,4,1,4
0.46289062,0.73535156,2.0541992,1,0,62,4,1,4
0.12109375,1.1176758,2.109375,1,0,63,4,1,4
-0.25976562,0.7470703,2.213379,1,0,64,4,1,4
-1.0224609,0.67578125,1.7851562,1,0,65,4,1,4
-1.3110352,0.3413086,1.234375,1,0,66,4,1,4
-1.4106445,-0.083496094,1.1171875,1,0,67,4,1,4
-1.4311523,-0.41210938,0.9082031,1,0,68,4,1,4
-1.4926758,-0.74560547,0.56884766,1,0,69,4,1,4
-1.0136719,-0.79052734,0.17041016,1,0,70,4,1,4
-0.25683594,-0.7055664,0.38671875,1,0,71,4,1,4
0.29541016,-0.5986328,0.9291992,1,0,72,4,1,4
0.2548828,-0.43798828,1.9306641,1,0,73,5,1,4
0.19433594,-0.26367188,2.8598633,1,0,74,5,1,4
-0.20019531,-0.38916016,2.8769531,1,0,75,5,1,4
0.08691406,-0.8256836,2.4072266,1,0,76,5,1,4
2.5029297,-0.59033203,2.274414,1,0,77,5,1,4
3.4902344,0.34570312,2.354004,1,0,78,5,1,4
3.7480469,1.0620117,2.6166992,1,0,79,5,1,4
3.815918,1.7729492,2.7294922,1,0,80,5,1,4
3.7045898,2.008789,2.644043,1,0,81,5,1,4
4.5004883,2.0273438,2.7885742,1,0,82,5,1,4
4.538574,1.5566406,2.784668,1,0,83,5,1,4
3.099121,1.0043945,2.5058594,1,0,84,5,1,4
3.3583984,0.97314453,2.5361328,1,0,85,5,1,4
3.760254,1.0004883,2.4365234,1,0,86,5,1,4
4.3789062,1.0888672,2.397461,1,0,87,5,1,4
4.7666016,1.1264648,2.2333984,1,0,88,5,1,4
5.224121,1.1586914,2.1435547,1,0,89,5,1,4
5.279785,1.1630859,2.2324219,1,0,90,5,1,4
4.45459,0.98535156,2.0786133,1,0,91,6,1,4
3.765625,0.94091797,2.145996,1,0,92,6,1,4
2.9169922,0.9140625,2.09375,1,0,93,6,1,4
2.1083984,0.86035156,1.9692383,1,0,94,6,1,4
1.5849609,0.64404297,1.887207,1,0,95,6,1,4
1.078125,0.4638672,1.6474609,1,0,96,6,1,4
0.83154297,0.008300781,1.5454102,1,0,97,6,1,4
0.77246094,-0.43115234,1.4052734,1,0,98,6,1,4
0.34033203,-0.94628906,1.6855469,1,0,99,6,1,4
0.0024414062,-1.2919922,1.6591797,1,0,100,6,1,4
-0.25732422,-0.85546875,1.7001953,1,0,101,6,1,4
-0.4189453,-0.19921875,1.6777344,1,0,102,6,1,4
-0.5654297,0.078125,1.328125,1,0,103,6,1,4
-0.7578125,0.5136719,1.2900391,1,0,104,6,1,4
-0.8535156,0.7036133,1.2495117,1,0,105,6,1,4
-0.94628906,0.6464844,1.2148438,1,0,106,6,1,4
-0.7973633,0.5185547,1.0102539,1,0,107,6,1,4
-0.52246094,0.40820312,0.7910156,1,0,108,6,1,4
0.03515625,0.20410156,1.3510742,1,0,109,7,1,4
0.21240234,-0.067871094,3.1533203,1,0,110,7,1,4
-0.03173828,-0.50878906,4.195801,1,0,111,7,1,4
-0.35498047,0.38916016,2.6606445,1,0,112,7,1,4
0.5048828,1.140625,1.4804688,1,0,113,7,1,4
2.5307617,0.98535156,2.1469727,1,0,114,7,1,4
4.282715,0.375,2.6176758,1,0,115,7,1,4
5.2924805,-1.0087891,2.9697266,1,0,116,7,1,4
5.1689453,-2.2246094,3.0507812,1,0,117,7,1,4
3.4091797,-2.4121094,2.7700195,1,0,118,7,1,4
3.4394531,-2.746582,2.6347656,1,0,119,7,1,4
3.0786133,-2.137207,2.5009766,1,0,120,7,1,4
